Competizione,Turno,Data,Casa,Ospite,Periodo,Lato,Squadra,ID partita,Goal previsti (xG),Possesso palla,Tiri totali,Tiri in porta,Grandi occasioni,Calci d'angolo,Passaggi,Cartellini gialli,Cartellini rossi,xG sui Tiri in porta (xGOT),Tiri fuori,Tiri fermati,Tiri dall'area di rigore,Tiri da fuori area,Pali colpiti,Gol di testa,Palloni toccati nell'area avversaria,Passaggi filtranti riusciti,Fuorigioco,Punizioni,Passaggi lunghi,Passaggi offensivi,Cross,Assist previsti (xA),Rimesse Laterali,Falli,Tackles,Contrasti vinti,Respinte difensive,Palle intercettate,Errori che hanno portato al tiro,Errori che hanno portato al gol,Parate,xGot affrontati,Gol evitati
FA Cup,3° turno,09.01.2026,Preston,Wigan,Totale,Ospite,Wigan,zZW42nBc,1.71,30%,10,3,3,2,62% (146/235),1.0,,1.4,6,1,8,2,0,,22,1,2,9,32% (24/75),51% (46/91),6% (1/16),0.37,36,10,71% (10/14),36,31,2,0,0,2,0.49,0.49
FA Cup,3° turno,09.01.2026,Preston,Wigan,1° tempo,Casa,Preston,zZW42nBc,0.23,66%,5,0,0,3,83% (217/262),,,0.0,3,2,4,1,0,,8,0,1,7,41% (12/29),72% (46/64),33% (3/9),0.25,13,3,57% (4/7),31,26,2,1,0,0,0.0,0.0
FA Cup,3° turno,09.01.2026,Preston,Wigan,1° tempo,Ospite,Wigan,zZW42nBc,0.21,34%,3,0,1,1,66% (87/131),,,0.0,3,0,3,0,0,,7,1,0,3,33% (13/39),50% (19/38),11% (1/9),0.24,22,7,75% (3/4),15,6,0,0,0,0,0.0,0.0
FA Cup,3° turno,09.01.2026,Preston,Wigan,2° tempo,Casa,Preston,zZW42nBc,0.31,73%,7,2,0,0,82% (244/296),1.0,,0.49,4,1,5,2,0,,22,0,2,3,49% (20/41),65% (50/77),38% (3/8),0.65,9,6,44% (4/9),28,20,4,0,0,2,1.4,0.4
FA Cup,3° turno,09.01.2026,Preston,Wigan,2° tempo,Ospite,Wigan,zZW42nBc,1.5,27%,7,3,2,1,57% (59/104),1.0,,1.4,3,1,5,2,0,,15,0,2,6,31% (11/36),51% (27/53),0% (0/7),0.13,14,3,70% (7/10),21,25,2,0,0,2,0.49,0.49
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,Totale,Casa,Port Vale,2PUtsuqK,1.74,45%,13,4,1,8,67% (195/293),2.0,,2.42,5,4,9,4,0,,20,1,5,13,44% (34/78),55% (42/76),25% (5/20),0.84,20,8,54% (13/24),80,55,12,1,0,1,0.18,0.18
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,Totale,Ospite,Fleetwood,2PUtsuqK,1.23,55%,15,1,0,8,67% (235/353),2.0,,0.18,8,6,10,5,0,,38,0,1,8,44% (38/87),52% (73/140),20% (6/30),0.56,27,13,60% (6/10),66,31,3,1,0,3,2.42,1.42
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,1° tempo,Casa,Port Vale,2PUtsuqK,1.61,46%,8,3,1,4,67% (93/139),0.0,,2.19,3,2,7,1,0,,13,1,3,6,45% (15/33),61% (22/36),29% (4/14),0.76,11,2,46% (6/13),41,31,4,1,0,1,0.18,0.18
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,1° tempo,Ospite,Fleetwood,2PUtsuqK,0.24,54%,5,1,0,1,61% (104/171),1.0,,0.18,1,3,3,2,0,,21,0,0,2,50% (24/48),52% (40/77),18% (2/11),0.2,17,6,60% (3/5),35,16,1,0,0,2,2.19,1.19
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,2° tempo,Casa,Port Vale,2PUtsuqK,0.13,45%,5,1,0,4,66% (102/154),2.0,,0.23,2,2,2,3,0,,7,0,2,7,42% (19/45),50% (20/40),17% (1/6),0.08,9,6,64% (7/11),39,24,8,0,0,0,0.0,0.0
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,2° tempo,Ospite,Fleetwood,2PUtsuqK,0.99,55%,10,0,0,7,72% (131/182),1.0,,0.0,7,3,7,3,0,,17,0,1,6,36% (14/39),52% (33/63),21% (4/19),0.36,10,7,60% (3/5),31,15,2,1,0,1,0.23,0.23
FA Cup,3° turno,10.01.2026,Everton,Sunderland,Totale,Casa,Everton,OY97SuUQ,1.48,45%,14,3,1,0,83% (437/526),1.0,,0.99,9,2,7,7,0,,23,0,0,20,49% (39/80),73% (130/177),20% (5/25),1.08,24,16,63% (17/27),74,34,12,1,0,5,1.25,0.25
FA Cup,3° turno,10.01.2026,Everton,Sunderland,Totale,Ospite,Sunderland,OY97SuUQ,0.92,55%,18,6,0,7,86% (555/647),5.0,,1.25,7,5,10,8,0,,40,0,1,16,43% (27/63),77% (154/199),23% (5/22),1.44,27,20,67% (12/18),55,22,9,0,0,2,0.99,-0.01
FA Cup,3° turno,10.01.2026,Everton,Sunderland,1° tempo,Casa,Everton,OY97SuUQ,0.17,41%,5,0,0,0,82% (147/180),0.0,,0.0,4,1,2,3,0,,6,0,0,5,52% (17/33),60% (26/43),0% (0/4),0.12,11,6,57% (4/7),24,13,4,1,0,3,1.17,0.17
FA Cup,3° turno,10.01.2026,Everton,Sunderland,1° tempo,Ospite,Sunderland,OY97SuUQ,0.49,59%,8,4,0,3,85% (229/268),1.0,,1.17,1,3,3,5,0,,12,0,0,6,29% (7/24),77% (57/74),25% (1/4),0.69,12,5,100% (5/5),19,9,3,0,0,0,0.0,0.0
FA Cup,3° turno,10.01.2026,Everton,Sunderland,2° tempo,Casa,Everton,OY97SuUQ,1.1,55%,7,3,1,0,85% (209/247),1.0,,0.99,3,1,4,3,0,,13,0,0,12,43% (10/23),78% (73/93),33% (5/15),0.7,12,6,58% (7/12),32,9,4,0,0,0,0.0,0.0
FA Cup,3° turno,10.01.2026,Everton,Sunderland,2° tempo,Ospite,Sunderland,OY97SuUQ,0.12,45%,2,0,0,1,83% (169/204),2.0,,0.0,2,0,2,0,0,,17,0,1,6,48% (13/27),69% (35/51),0% (0/6),0.24,9,12,38% (3/8),21,8,4,0,0,2,0.99,-0.01
FA Cup,3° turno,10.01.2026,Everton,Sunderland,Supplementari,Casa,Everton,OY97SuUQ,0.21,36%,2,0,0,0,82% (81/99),0.0,,0.0,2,0,1,1,0,,4,0,0,3,50% (12/24),76% (31/41),0% (0/6),0.26,1,4,75% (6/8),18,12,4,0,0,2,0.08,0.08
FA Cup,3° turno,10.01.2026,Everton,Sunderland,Supplementari,Ospite,Sunderland,OY97SuUQ,0.31,64%,8,2,0,3,90% (157/175),2.0,,0.08,4,2,5,3,0,,11,0,0,4,58% (7/12),84% (62/74),33% (4/12),0.51,6,3,80% (4/5),15,5,2,0,0,0,0.0,0.0
FA Cup,3° turno,10.01.2026,Cheltenham,Leicester,Totale,Casa,Cheltenham,2LjdZmsB,0.62,29%,9,3,1,1,71% (175/245),1.0,,0.27,6,0,5,4,0,,10,0,0,11,33% (18/54),53% (39/74),10% (1/10),0.52,23,9,71% (12/17),39,40,13,1,0,3,1.53,-0.47
FA Cup,3° turno,10.01.2026,Cheltenham,Leicester,Totale,Ospite,Leicester,2LjdZmsB,0.85,71%,16,5,1,10,85% (515/603),1.0,,1.53,8,3,8,8,1,,20,0,0,9,37% (18/49),79% (132/168),22% (5/23),0.78,23,11,61% (11/18),52,36,6,0,0,3,0.27,0.27
FA Cup,3° turno,10.01.2026,Cheltenham,Leicester,1° tempo,Casa,Cheltenham,2LjdZmsB,0.4,28%,4,1,1,0,69% (91/131),,,0.02,3,0,2,2,0,,2,0,0,5,29% (10/34),46% (16/35),0% (0/1),0.32,10,7,89% (8/9),22,22,6,0,0,1,1.35,-0.65
FA Cup,3° turno,10.01.2026,Cheltenham,Leicester,1° tempo,Ospite,Leicester,2LjdZmsB,0.37,72%,9,3,0,6,86% (284/329),,,1.35,5,1,3,6,1,,8,0,0,7,41% (11/27),80% (76/95),14% (2/14),0.33,7,5,67% (6/9),28,17,4,0,0,1,0.02,0.02
FA Cup,3° turno,10.01.2026,Cheltenham,Leicester,2° tempo,Casa,Cheltenham,2LjdZmsB,0.22,30%,5,2,0,1,74% (84/114),1.0,,0.25,3,0,3,2,0,,8,0,0,6,40% (8/20),59% (23/39),11% (1/9),0.2,13,2,50% (4/8),17,18,7,1,0,2,0.18,0.18
FA Cup,3° turno,10.01.2026,Cheltenham,Leicester,2° tempo,Ospite,Leicester,2LjdZmsB,0.48,70%,7,2,1,4,84% (231/274),1.0,,0.18,3,2,5,2,0,,12,0,0,2,32% (7/22),77% (56/73),33% (3/9),0.45,16,6,56% (5/9),24,19,2,0,0,2,0.25,0.25
FA Cup,3° turno,10.01.2026,Wolves,Shrewsbury,Totale,Casa,Wolves,xv5vnRQG,4.68,68%,23,10,9,8,91% (637/697),1.0,,5.86,9,4,13,10,1,,32,2,2,12,48% (10/21),83% (151/183),15% (3/20),3.64,17,9,90% (9/10),31,13,4,0,0,0,0.9,-0.1
FA Cup,3° turno,10.01.2026,Wolves,Shrewsbury,Totale,Ospite,Shrewsbury,xv5vnRQG,0.96,32%,6,2,1,2,81% (264/325),2.0,,0.9,2,2,3,3,0,,10,0,0,9,31% (17/54),48% (31/64),13% (1/8),0.31,14,12,91% (10/11),35,24,13,0,1,4,5.86,-0.14
FA Cup,3° turno,10.01.2026,Wolves,Shrewsbury,1° tempo,Casa,Wolves,xv5vnRQG,1.91,69%,10,3,3,3,90% (333/369),0.0,,2.76,6,1,6,4,0,,13,1,2,6,40% (6/15),81% (72/89),20% (2/10),1.36,9,3,100% (3/3),14,6,1,0,0,0,0.9,-0.1
