Competizione,Turno,Data,Casa,Ospite,Lato,Squadra,Modulo,Gruppo,Ordine,Numero,Giocatore,Ruolo,Rating,Entrato al,Uscito al,ID partita
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Ospite,Nottingham,4-2-3-1,Panchina,8,5,Murillo,,6.7,97',,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Ospite,Nottingham,4-2-3-1,Panchina,9,3,Williams N.,,7.4,46',,MTifJyiD
FA Cup,3° turno,09.01.2026,Preston,Wigan,Casa,Preston,3-4-3,Titolare,1,1,Iversen D.,Portiere,,,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Casa,Preston,3-4-3,Titolare,2,14,Storey J.,,,,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Casa,Preston,3-4-3,Titolare,3,6,Lindsay L.,,,,81',zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Casa,Preston,3-4-3,Titolare,4,19,Gibson L.,,,,46',zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Casa,Preston,3-4-3,Titolare,5,2,Valentin P.,,,,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Casa,Preston,3-4-3,Titolare,6,8,McCann A.,Capitano,,,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Casa,Preston,3-4-3,Titolare,7,15,Thompson J.,,,,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Casa,Preston,3-4-3,Titolare,8,26,Small T.,,,,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Casa,Preston,3-4-3,Titolare,9,17,Dobbin L.,,,,72',zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Casa,Preston,3-4-3,Titolare,10,9,Jebbison D.,,,,65',zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Casa,Preston,3-4-3,Titolare,11,10,Frokjaer-Jensen M.,,,,64',zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Casa,Preston,3-4-3,Panchina,1,21,Devine A.,,,72',,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Casa,Preston,3-4-3,Panchina,2,16,Hughes A.,,,46',,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Casa,Preston,3-4-3,Panchina,3,7,Keane W.,,,,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Casa,Preston,3-4-3,Panchina,4,42,Offiah O.,,,,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Casa,Preston,3-4-3,Panchina,5,28,Osmajic M.,,,65',,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Casa,Preston,3-4-3,Panchina,6,44,Potts B.,,,81',,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Casa,Preston,3-4-3,Panchina,7,24,Smith M.,,,64',,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Casa,Preston,3-4-3,Panchina,8,12,Walton J.,Portiere,,,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Casa,Preston,3-4-3,Panchina,9,4,Whiteman B.,,,,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Ospite,Wigan,3-4-2-1,Titolare,1,1,Tickle S.,Portiere,,,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Ospite,Wigan,3-4-2-1,Titolare,2,4,Aimson W.,,,,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Ospite,Wigan,3-4-2-1,Titolare,3,23,Carragher J.,Capitano,,,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Ospite,Wigan,3-4-2-1,Titolare,4,3,Fox M.,,,,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Ospite,Wigan,3-4-2-1,Titolare,5,21,Borges Rodrigues R.,,,,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Ospite,Wigan,3-4-2-1,Titolare,6,6,Weir J.,,,,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Ospite,Wigan,3-4-2-1,Titolare,7,17,Smith M.,,,,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Ospite,Wigan,3-4-2-1,Titolare,8,44,Hungbo J.,,,,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Ospite,Wigan,3-4-2-1,Titolare,9,43,Bettoni H.,,,,78',zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Ospite,Wigan,3-4-2-1,Titolare,10,8,Wright C.,,,,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Ospite,Wigan,3-4-2-1,Titolare,11,11,Costelloe D.,,,,90+1',zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,Ospite,Wigan,3-4-2-1,Panchina,1,37,Asamoah M.,,,78',,zZW42nBc
