Competizione,Turno,Data,Casa,Ospite,Periodo,Minuto,Lato,Tipo evento,Giocatore,Punteggio dopo,ID partita
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Rigori,2,Casa,Rigore sbagliato,McClean J.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Rigori,2,Ospite,Rigore Assegnato,Igor Jesus,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Rigori,2,Ospite,Rigore sbagliato,Igor Jesus,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Rigori,3,Casa,Rigore Assegnato,Doyle C.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Rigori,3,Casa,Rigore,Doyle C.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Rigori,3,Ospite,Rigore Assegnato,Hudson-Odoi C.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Rigori,3,Ospite,Rigore,Hudson-Odoi C.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Rigori,4,Casa,Rigore Assegnato,Thomason G.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Rigori,4,Casa,Rigore,Thomason G.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Rigori,4,Ospite,Rigore Assegnato,Williams N.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Rigori,4,Ospite,Rigore,Williams N.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Rigori,5,Casa,Rigore Assegnato,Rodriguez J.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Rigori,5,Casa,Rigore,Rodriguez J.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Rigori,5,Ospite,Rigore Assegnato,Hutchinson O.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Rigori,5,Ospite,Rigore sbagliato,Hutchinson O.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Preston,Wigan,2 Tempo,46',Casa,Sostituzione - Esce,Gibson L.,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,2 Tempo,46',Casa,Sostituzione - Entra,Hughes A.,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,2 Tempo,64',Casa,Sostituzione - Esce,Frokjaer-Jensen M.,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,2 Tempo,64',Casa,Sostituzione - Entra,Smith M.,,zZW42nBc
FA Cup,3° turno,09.01.2026,Preston,Wigan,2 Tempo,65',Casa,Sostituzione - Esce,Jebbison D.,,zZW42nBc
