Competizione,Turno,Data,Casa,Ospite,Gol casa 90,Gol ospite 90,Gol casa dts,Gol ospite dts,Rigori casa,Rigori ospite,Risultato (esteso),Nota andata/ritorno,Stat giocatori disponibili,ID partita
FA Cup,5° turno,08.03.2026,Fulham,Southampton,0,1,,,,,0-1,,Sì,ngJJrBDa
FA Cup,5° turno,08.03.2026,Port Vale,Sunderland,1,0,,,,,1-0,,Sì,O2KqbRse
FA Cup,5° turno,08.03.2026,Leeds,Norwich,3,0,,,,,3-0,,Sì,rcUujgLP
FA Cup,5° turno,09.03.2026,West Ham,Brentford,2,2,2,2,5,3,"2-2, poi rigori 5-3",,Sì,ny8tqO15
FA Cup,QUARTI DI FINALE,04.04.2026,Manchester City,Liverpool,4,0,,,,,4-0,,Sì,rmHHwXNs
FA Cup,QUARTI DI FINALE,04.04.2026,Chelsea,Port Vale,7,0,,,,,7-0,,Sì,nHVoqg0K
FA Cup,QUARTI DI FINALE,04.04.2026,Southampton,Arsenal,2,1,,,,,2-1,,Sì,jDKPyBhf
FA Cup,QUARTI DI FINALE,05.04.2026,West Ham,Leeds,2,2,2,2,2,4,"2-2, poi rigori 2-4",,Sì,EgMYT5mm
FA Cup,SEMI FINALI,25.04.2026,Manchester City,Southampton,2,1,,,,,2-1,Campo neutro - Wembley Stadium.,Sì,QJ08pSZF
FA Cup,SEMI FINALI,26.04.2026,Chelsea,Leeds,1,0,,,,,1-0,Campo neutro - Wembley Stadium.,Sì,Yq4Gr64S
FA Cup,FINALE,16.05.2026,Chelsea,Manchester City,0,1,,,,,0-1,Campo neutro - Wembley Stadium.,Sì,6uTuOILk
