league,season,date,home_team,away_team,p_over25_open_est,p_under25_open_est,metodo,correzione_bias,mae_atteso,motivo
bundesliga,1718,2017-12-02,Leverkusen,Dortmund,0.6135,0.3865,"inversione 1X2 apertura -> (lambda,mu) -> matrice DC (rho=-0.06), meno il bias medio fittato leave-one-league-out",0.0209,0.0267,"linea O/U originale corrotta (overround impossibile), dato vero non recuperabile"
bundesliga,1718,2017-12-02,Hoffenheim,RB Leipzig,0.556,0.444,"inversione 1X2 apertura -> (lambda,mu) -> matrice DC (rho=-0.06), meno il bias medio fittato leave-one-league-out",0.0209,0.0267,"linea O/U originale corrotta (overround impossibile), dato vero non recuperabile"
bundesliga,1718,2017-12-09,Ein Frankfurt,Bayern Munich,0.6355,0.3645,"inversione 1X2 apertura -> (lambda,mu) -> matrice DC (rho=-0.06), meno il bias medio fittato leave-one-league-out",0.0209,0.0267,"linea O/U originale corrotta (overround impossibile), dato vero non recuperabile"
bundesliga,1718,2018-02-24,Bayern Munich,Hertha,0.7043,0.2957,"inversione 1X2 apertura -> (lambda,mu) -> matrice DC (rho=-0.06), meno il bias medio fittato leave-one-league-out",0.0209,0.0267,"linea O/U originale corrotta (overround impossibile), dato vero non recuperabile"
bundesliga,1718,2018-05-05,Werder Bremen,Leverkusen,0.6803,0.3197,"inversione 1X2 apertura -> (lambda,mu) -> matrice DC (rho=-0.06), meno il bias medio fittato leave-one-league-out",0.0209,0.0267,"linea O/U originale corrotta (overround impossibile), dato vero non recuperabile"
bundesliga,1819,2019-03-30,Dortmund,Wolfsburg,0.585,0.415,"inversione 1X2 apertura -> (lambda,mu) -> matrice DC (rho=-0.06), meno il bias medio fittato leave-one-league-out",0.0209,0.0267,"linea O/U originale corrotta (overround impossibile), dato vero non recuperabile"
ligue_1,1718,2017-10-29,Lyon,Metz,0.8159,0.1841,"inversione 1X2 apertura -> (lambda,mu) -> matrice DC (rho=-0.06), meno il bias medio fittato leave-one-league-out",0.0237,0.0267,"linea O/U originale corrotta (overround impossibile), dato vero non recuperabile"
ligue_1,1718,2018-02-04,Monaco,Lyon,0.5454,0.4546,"inversione 1X2 apertura -> (lambda,mu) -> matrice DC (rho=-0.06), meno il bias medio fittato leave-one-league-out",0.0237,0.0267,"linea O/U originale corrotta (overround impossibile), dato vero non recuperabile"
