manager_key,grafia,qid,qid_candidato,nome_wd,nascita,titolo,club_confermati,stato
alexander nouri,Alexander Nouri,,Q2642761,,,,0,club_diversi
albert riera,Albert Riera,Q215435,,Albert Riera,1982-04-15,Albert Riera,1,risolto
david gallego,David Gallego,,Q17030351,,,,0,club_diversi
boris schommers,Boris Schommers,,Q61703851,,,,0,senza_p6087
salvatore bocchetti,Salvatore Bocchetti,,Q314744,,,,0,senza_p6087
voro,Voro,,Q460497,,,,0,senza_p6087
cristobal parralo,Cristóbal Parralo,,Q2049205,,,,0,club_diversi
martin demichelis,Martín Demichelis,Q150947,,Martín Demichelis,1980-12-20,Martín Demichelis,1,risolto
tony pulis,Tony Pulis,,Q334541,,,,0,club_diversi
ante covic,Ante Covic,,Q535480,,,,0,senza_p6087
luigi delneri,Luigi Delneri,,Q332742,,,,0,club_diversi
thierry henry,Thierry Henry,Q45901,,Thierry Henry,1977-08-17,Thierry Henry,1,risolto
antonio mohamed,Antonio Mohamed,,Q603690,,,,0,club_diversi
jan moritz lichte,Jan-Moritz Lichte,Q72200628,,Jan-Moritz Lichte,1980-01-12,Jan-Moritz Lichte,1,risolto
mike jackson,Mike Jackson,,,,,,0,residuo
ryan mason,Ryan Mason,Q4459692,,Ryan Mason,1991-06-13,Ryan Mason,1,risolto
slavisa jokanovic,Slavisa Jokanovic,,Q944426,,,,0,club_diversi
sandro wagner,Sandro Wagner,,Q523555,,,,0,senza_p6087
sebastian beccacece,Sebastián Beccacece,,Q7442628,,,,0,club_diversi
dimitrios grammozis,Dimitrios Grammozis,,Q470558,,,,0,senza_p6087
miroslav tanjga,Miroslav Tanjga,,Q781490,,,,0,senza_p6087
lorenzo d anna,Lorenzo D'Anna,,Q3836930,,,,0,senza_p6087
romain pitau,Romain Pitau,,Q2213222,,,,0,senza_p6087
abdel bouhazama,Abdel Bouhazama,,Q116059330,,,,0,senza_p6087
ahmed kantari,Ahmed Kantari,,Q44656,,,,0,senza_p6087
paul simonis,Paul Simonis,,Q129485667,,,,0,senza_p6087
christian gross,Christian Gross,,Q115587,,,,0,club_diversi
jean marc furlan,Jean-Marc Furlan,Q129086,,Jean-Marc Furlan,1957-11-20,Jean-Marc Furlan,1,risolto
jose ramon sandoval,José Ramón Sandoval,,Q302532,,,,0,club_diversi
huub stevens,Huub Stevens,,Q436057,,,,0,club_diversi
philippe hinschberger,Philippe Hinschberger,,Q977105,,,,0,club_diversi
andriy shevchenko,Andriy Shevchenko,Q41244,,Andrij Ševčenko,1976-09-29,Andriy Shevchenko,1,risolto
denis zanko,Denis Zanko,,Q3022980,,,,0,club_diversi
sylvinho,Sylvinho,Q312002,,Sylvinho,1974-04-12,Sylvinho,1,risolto
jurgen klinsmann,Jürgen Klinsmann,Q57079,,Jürgen Klinsmann,1964-07-30,Jürgen Klinsmann,1,risolto
mark van bommel,Mark van Bommel,Q151853,,Mark van Bommel,1977-04-22,Mark van Bommel,1,risolto
leo franco,Leo Franco,Q47503,,Leo Franco,1977-05-20,Leo Franco,1,risolto
diego alonso,Diego Alonso,,Q2144609,,,,0,club_diversi
alexis trujillo,Alexis Trujillo,Q4721544,,Alexis Trujillo,1965-07-30,Alexis Trujillo,1,risolto
christian titz,Christian Titz,Q50404825,,Christian Titz,1971-04-01,Christian Titz,1,risolto
ghislain printant,Ghislain Printant,,Q18704794,,,,0,club_diversi
fabrizio castori,Fabrizio Castori,,Q3737975,,,,0,senza_p6087
massimo rastelli,Massimo Rastelli,,Q3851429,,,,0,club_diversi
simon rusk,Simon Rusk,,Q7519709,,,,0,senza_p6087
nathan jones,Nathan Jones,,,,,,0,residuo
craig shakespeare,Craig Shakespeare,Q5181434,,Craig Shakespeare,1963-10-26,Craig Shakespeare,1,risolto
julien sable,Julien Sablé,,Q27733,,,,0,senza_p6087
giovanni de biasi,Giovanni De Biasi,,Q562201,,,,0,club_diversi
veljko paunovic,Veljko Paunovic,Q612930,,Veljko Paunović,1977-08-21,Veljko Paunovic,1,risolto
peter zeidler,Peter Zeidler,Q3376975,,Peter Zeidler,1962-08-08,Peter Zeidler,1,risolto
xisco munoz,Xisco Muñoz,,Q301390,,,,0,senza_p6087
raymond domenech,Raymond Domenech,Q192648,,Raymond Domenech,1952-01-24,Raymond Domenech,1,risolto
zsolt low,Zsolt Löw,,Q227356,,,,0,senza_p6087
steve davis,Steve Davis,,Q310450,,,,0,senza_p6087
rene wagner,René Wagner,,Q694885,,,,0,senza_p6087
pako ayestaran,Pako Ayestarán,,Q723458,,,,0,club_diversi
javier pereira,Javier Pereira,,Q104853253,,,,0,senza_p6087
francisco rufete,Francisco Rufete,,Q534178,,,,0,senza_p6087
nasser larguet,Nasser Larguet,,Q3336239,,,,0,senza_p6087
felix magath,Felix Magath,Q153293,,Felix Magath,1953-07-26,Felix Magath,1,risolto
bruno grougi,Bruno Grougi,,Q39730,,,,0,senza_p6087
diego cocca,Diego Cocca,,Q772376,,,,0,club_diversi
heiko butscher,Heiko Butscher,,Q719435,,,,0,senza_p6087
bernd hollerbach,Bernd Hollerbach,,Q823637,,,,0,club_diversi
manolo marquez,Manolo Márquez,,Q5993881,,,,0,club_diversi
darren moore,Darren Moore,Q725692,,Darren Moore,1974-04-22,Darren Moore,1,risolto
mathieu le scornet,Mathieu Le Scornet,Q116282627,,Mathieu Le Scornet,1983-05-02,Mathieu Le Scornet,1,risolto
zoumana camara,Zoumana Camara,,Q227053,,,,0,senza_p6087
fernando da cruz,Fernando Da Cruz,,Q19544240,,,,0,club_diversi
fabio cannavaro,Fabio Cannavaro,Q102027,,Fabio Cannavaro,1973-09-13,Fabio Cannavaro,1,risolto
calum mcfarlane,Calum McFarlane,Q137668183,,Calum McFarlane,1985-11-13,Calum McFarlane,1,risolto
michael wimmer,Michael Wimmer,Q114660054,,Michael Wimmer,1980-06-18,Michael Wimmer,1,risolto
aitor karanka,Aitor Karanka,Q373064,,Aitor Karanka,1973-09-18,Aitor Karanka,1,risolto
ruben torrecilla,Rubén Torrecilla,,Q4888917,,,,0,senza_p6087
freddie ljungberg,Freddie Ljungberg,Q10560,,Fredrik Ljungberg,1977-04-16,Freddie Ljungberg,1,risolto
andrea soncin,Andrea Soncin,,Q2846417,,,,0,club_diversi
marie louise eta,Marie-Louise Eta,Q1897161,,Marie-Louise Eta,1991-07-07,Marie-Louise Eta,1,risolto
david unsworth,David Unsworth,,Q340077,,,,0,club_diversi
nico willig,Nico Willig,,Q63244015,,,,0,senza_p6087
cristian stellini,Cristian Stellini,,Q461177,,,,0,senza_p6087
frank de boer,Frank de Boer,Q219657,,Frank de Boer,1970-05-15,Frank de Boer,1,risolto
gian piero ventura,Gian Piero Ventura,Q2631653,,Gian Piero Ventura,1948-01-14,Gian Piero Ventura,1,risolto
hayden mullins,Hayden Mullins,Q945233,,Hayden Mullins,1979-03-27,Hayden Mullins,1,risolto
patrick collot,Patrick Collot,,Q3369353,,,,0,club_diversi
duncan ferguson,Duncan Ferguson,Q465623,,Duncan Ferguson,1971-12-27,Duncan Ferguson,1,risolto
luis zubeldia,Luis Zubeldía,,Q1779261,,,,0,club_diversi
andries jonker,Andries Jonker,,Q510529,,,,0,club_diversi
marco kostmann,Marco Kostmann,,Q1800624,,,,0,senza_p6087
paquito,Paquito,,,,,,0,disambigua
luis cembranos,Luis Cembranos,,Q2323759,,,,0,club_diversi
alessandro agostini,Alessandro Agostini,,Q869044,,,,0,senza_p6087
marco grote,Marco Grote,,Q97601443,,,,0,senza_p6087
michael skubala,Michael Skubala,,Q116741718,,,,0,senza_p6087
graeme jones,Graeme Jones,Q5592304,,Graeme Jones,1970-03-13,Graeme Jones,1,risolto
sergio mantecon,Sergio Mantecón,,Q7454313,,,,0,senza_p6087
sebastien tambouret,Sébastien Tambouret,,,,,,0,residuo
alberto lasarte,Alberto Lasarte,,Q122854664,,,,0,senza_p6087
alvaro del moral,Álvaro del Moral,,Q9098242,,,,0,senza_p6087
dennis schmitt,Dennis Schmitt,,Q39078948,,,,0,senza_p6087
markus feldhoff,Markus Feldhoff,,Q1901472,,,,0,senza_p6087
gary megson,Gary Megson,,Q1337010,,,,0,club_diversi
rui pedro silva,Rui Pedro Silva,,Q110221860,,,,0,senza_p6087
aaron danks,Aaron Danks,,Q114795122,,,,0,senza_p6087
adam sadler,Adam Sadler,Q62073073,,Adam Sadler,1980-01-09,Adam Sadler,1,risolto
mike tullberg,Mike Tullberg,,Q460260,,,,0,senza_p6087
michel padovani,Michel Padovani,,Q3310493,,,,0,senza_p6087
luis blanco,Luis Blanco,,,,,,0,disambigua
sergi barjuan,Sergi Barjuan,Q342223,,Sergi Barjuan,1971-12-28,Sergi Barjuan,1,risolto
leon britton,Leon Britton,Q1374216,,Leon Britton,1982-09-16,Leon Britton,1,risolto
babak keyhanfar,Babak Keyhanfar,,,,,,0,residuo
