manager_key,grafia,qid,qid_candidato,nome_wd,nascita,titolo,club_confermati,stato
claude puel,Claude Puel,Q128898,,Claude Puel,1961-09-02,Claude Puel,3,risolto
paco lopez,Paco López,,Q2519433,,,,0,club_diversi
thiago motta,Thiago Motta,Q191885,,Thiago Motta,1982-08-28,Thiago Motta,4,risolto
rudi garcia,Rudi Garcia,Q923131,,Rudi Garcia,1964-02-20,Rudi Garcia,3,risolto
sinisa mihajlovic,Siniša Mihajlović,Q294351,,Siniša Mihajlović,1969-02-20,Siniša Mihajlović,2,risolto
stephane moulin,Stéphane Moulin,,Q3501975,,,,0,senza_p6087
thierry laurey,Thierry Laurey,,Q3524369,,,,0,club_diversi
peter bosz,Peter Bosz,Q1029982,,Peter Bosz,1963-11-21,Peter Bosz,1,risolto
quique sanchez flores,Quique Sánchez Flores,Q352313,,Quique Sánchez Flores,1965-02-05,Quique Sánchez Flores,4,risolto
ole werner,Ole Werner,,Q27050003,,,,0,senza_p6087
paolo zanetti,Paolo Zanetti,,Q1494098,,,,0,senza_p6087
raffaele palladino,Raffaele Palladino,Q282551,,Raffaele Palladino,1984-04-17,Raffaele Palladino,2,risolto
hansi flick,Hansi Flick,Q577384,,Hans-Dieter Flick,1965-02-24,Hansi Flick,2,risolto
lucien favre,Lucien Favre,Q539920,,Lucien Favre,1957-11-02,Lucien Favre,1,risolto
diego martinez,Diego Martínez,,Q131550925,,,,0,senza_p6087
leonardo semplici,Leonardo Semplici,Q26696437,,Leonardo Semplici,1967-07-18,Leonardo Semplici,1,risolto
javier calleja,Javier Calleja,,Q1332523,,,,0,senza_p6087
igor tudor,Igor Tudor,Q276544,,Igor Tudor,1978-04-16,Igor Tudor,6,risolto
eduardo coudet,Eduardo Coudet,,Q2547652,,,,0,club_diversi
jean louis gasset,Jean-Louis Gasset,Q2732465,,Jean-Louis Gasset,1953-12-09,Jean-Louis Gasset,4,risolto
luca gotti,Luca Gotti,Q3838152,,Luca Gotti,1967-09-13,Luca Gotti,1,risolto
quique setien,Quique Setién,Q2444534,,Quique Setién,1958-09-27,Quique Setién,3,risolto
zinedine zidane,Zinédine Zidane,Q1835,,Zinédine Zidane,1972-06-23,Zinédine Zidane,1,risolto
walter mazzarri,Walter Mazzarri,Q370838,,Walter Mazzarri,1961-10-01,Walter Mazzarri,3,risolto
eric roy,Éric Roy,,Q2410614,,,,0,club_diversi
rafael benitez,Rafael Benítez,Q144048,,Rafael Benítez,1960-04-16,Rafael Benítez,3,risolto
dean smith,Dean Smith,,Q202584,,,,0,senza_p6087
daniel farke,Daniel Farke,Q30015253,,Daniel Farke,1976-10-30,Daniel Farke,3,risolto
vicente moreno,Vicente Moreno,Q3321444,,Vicente Moreno,1974-10-26,Vicente Moreno,2,risolto
david guion,David Guion,,Q5234461,,,,0,club_diversi
xabi alonso,Xabi Alonso,Q208104,,Xabi Alonso,1981-11-25,Xabi Alonso,2,risolto
gerardo seoane,Gerardo Seoane,Q339173,,Gerardo Seoane,1978-10-30,Gerardo Seoane,2,risolto
rolando maran,Rolando Maran,Q3940276,,Rolando Maran,1963-07-14,Rolando Maran,2,risolto
javier aguirre,Javier Aguirre,Q194311,,Javier Aguirre,1958-12-01,Javier Aguirre,2,risolto
regis le bris,Régis Le Bris,Q3455749,,Régis Le Bris,1975-12-06,Régis Le Bris,2,risolto
bo svensson,Bo Svensson,,Q887456,,,,0,senza_p6087
pascal gastien,Pascal Gastien,Q3367427,,Pascal Gastien,1963-12-02,Pascal Gastien,1,risolto
ole gunnar solskjær,Ole Gunnar Solskjær,Q18976,,Ole Gunnar Solskjær,1973-02-26,Ole Gunnar Solskjær,1,risolto
luis garcia,Luis García,,Q112281294,,,,0,senza_p6087
vincent kompany,Vincent Kompany,Q201381,,Vincent Kompany,1986-04-10,Vincent Kompany,2,risolto
rubi,Rubi,Q5573535,,Joan Francesc Ferrer Sicilia,1970-02-05,Rubi (footballer),1,risolto
sandro schwarz,Sandro Schwarz,Q1582732,,Sandro Schwarz,1978-10-17,Sandro Schwarz,2,risolto
gary o neil,Gary O'Neil,Q731946,,Gary O'Neil,1983-05-18,Gary O'Neil,2,risolto
pablo machin,Pablo Machín,Q11697229,,Pablo Machín,1975-04-07,Pablo Machín,3,risolto
frank lampard,Frank Lampard,Q41533,,Frank Lampard,1978-06-20,Frank Lampard,2,risolto
pal dardai,Pál Dárdai,Q742429,,Pál Dárdai,1976-03-16,Pál Dárdai,1,risolto
xavi,Xavi,,,,,,0,residuo
luis enrique,Luis Enrique,Q222789,,Luis Enrique,1970-05-08,Luis Enrique,1,risolto
davide ballardini,Davide Ballardini,Q1024171,,Davide Ballardini,1964-01-06,Davide Ballardini,1,risolto
dieter hecking,Dieter Hecking,Q73135,,Dieter Hecking,1964-09-12,Dieter Hecking,2,risolto
frank schmidt,Frank Schmidt,,Q212139,,,,0,senza_p6087
carles martinez,Carles Martínez,,Q119505783,,,,0,senza_p6087
javi gracia,Javi Gracia,Q4886441,,Javi Gracia,1970-05-01,Javi Gracia,3,risolto
alessio dionisi,Alessio Dionisi,Q65127311,,Alessio Dionisi,1980-04-01,Alessio Dionisi,1,risolto
gaizka garitano,Gaizka Garitano,,Q742677,,,,0,club_diversi
jocelyn gourvennec,Jocelyn Gourvennec,,Q2702339,,,,0,senza_p6087
david wagner,David Wagner,Q871069,,David Wagner,1971-10-19,David Wagner (footballer),1,risolto
oscar garcia,Óscar García,,,,,,0,residuo
mauricio pellegrino,Mauricio Pellegrino,Q313131,,Mauricio Pellegrino,1971-10-05,Mauricio Pellegrino,1,risolto
manuel baum,Manuel Baum,,Q15896593,,,,0,senza_p6087
will still,Will Still,Q42097340,,Will Still,1992-10-14,Will Still,2,risolto
heiko herrlich,Heiko Herrlich,Q677546,,Heiko Herrlich,1971-12-03,Heiko Herrlich,2,risolto
edin terzic,Edin Terzic,Q61709977,,Edin Terzić,1982-10-30,Edin Terzic,1,risolto
chris wilder,Chris Wilder,Q5108471,,Chris Wilder,1967-09-23,Chris Wilder,1,risolto
inigo perez,Iñigo Pérez,,Q2499750,,,,0,senza_p6087
didier digard,Didier Digard,,Q267128,,,,0,senza_p6087
asier garitano,Asier Garitano,,Q4806891,,,,0,club_diversi
erik ten hag,Erik ten Hag,Q2844569,,Erik ten Hag,1970-02-03,Erik ten Hag,2,risolto
abelardo,Abelardo,,,,,,0,residuo
scott parker,Scott Parker,Q213989,,Scott Parker,1980-10-13,Scott Parker,3,risolto
dino toppmoller,Dino Toppmöller,,Q877918,,,,0,senza_p6087
claudio giraldez,Claudio Giráldez,,Q20534503,,,,0,senza_p6087
frederic antonetti,Frédéric Antonetti,Q128824,,Frédéric Antonetti,1961-08-19,Frédéric Antonetti,2,risolto
domenico tedesco,Domenico Tedesco,Q28916689,,Domenico Tedesco,1985-09-12,Domenico Tedesco,2,risolto
steve bruce,Steve Bruce,Q331904,,Steve Bruce,1960-12-31,Steve Bruce,1,risolto
alexander blessin,Alexander Blessin,,Q1560347,,,,0,senza_p6087
aurelio andreazzoli,Aurelio Andreazzoli,Q4734615,,Aurelio Andreazzoli,1953-11-05,Aurelio Andreazzoli,1,risolto
bruno labbadia,Bruno Labbadia,Q57548,,Bruno Labbadia,1966-02-08,Bruno Labbadia,3,risolto
francisco rodriguez,Francisco Rodríguez,,,,,,0,residuo
luka elsner,Luka Elsner,,Q1695581,,,,0,club_diversi
leonardo jardim,Leonardo Jardim,Q2162382,,Leonardo Jardim,1974-08-01,Leonardo Jardim,1,risolto
ange postecoglou,Ange Postecoglou,Q2849301,,Ange Postecoglou,1965-08-27,Ange Postecoglou,2,risolto
alexandre dujeux,Alexandre Dujeux,,Q2833638,,,,0,senza_p6087
giuseppe iachini,Giuseppe Iachini,Q604969,,Giuseppe Iachini,1964-05-07,Giuseppe Iachini,1,risolto
marcelo bielsa,Marcelo Bielsa,Q31575,,Marcelo Bielsa,1955-07-21,Marcelo Bielsa,2,risolto
fabian hurzeler,Fabian Hürzeler,Q115819313,,Fabian Hürzeler,1993-02-26,Fabian Hürzeler,1,risolto
chris hughton,Chris Hughton,,Q351004,,,,0,club_diversi
cesc fabregas,Cesc Fàbregas,Q17499,,Cesc Fàbregas,1987-05-04,Cesc Fàbregas,1,risolto
kosta runjaic,Kosta Runjaić,,Q1785131,,,,0,club_diversi
jorge sampaoli,Jorge Sampaoli,Q1089864,,Jorge Sampaoli,1960-03-13,Jorge Sampaoli,3,risolto
jose bordalas,José Bordalás,Q3323802,,José Bordalás,1964-03-05,José Bordalás,1,risolto
arne slot,Arne Slot,Q1029223,,Arne Slot,1978-09-17,Arne Slot,1,risolto
manolo gonzalez,Manolo González,Q107613083,,Manolo González,1979-01-14,Manolo González,1,risolto
pierre sage,Pierre Sage,Q123584452,,Pierre Sage,1979-05-05,Pierre Sage,2,risolto
filippo inzaghi,Filippo Inzaghi,Q126503,,Filippo Inzaghi,1973-08-09,Filippo Inzaghi,3,risolto
alberto gilardino,Alberto Gilardino,Q182451,,Alberto Gilardino,1982-07-05,Alberto Gilardino,2,risolto
andre breitenreiter,André Breitenreiter,,Q517257,,,,0,club_diversi
olivier pantaloni,Olivier Pantaloni,Q2073968,,Olivier Pantaloni,1966-12-13,Olivier Pantaloni,1,risolto
ruben baraja,Rubén Baraja,,Q299488,,,,0,club_diversi
markus gisdol,Markus Gisdol,,Q9318057,,,,0,club_diversi
xavier garcia pimienta,Xavier García Pimienta,,,,,,0,residuo
julian schuster,Julian Schuster,Q66301,,Julian Schuster,1985-04-15,Julian Schuster,1,risolto
eusebio,Eusebio,,Q162043,,,,0,senza_p6087
steve cooper,Steve Cooper,Q24183505,,Steve Cooper,1979-12-10,Steve Cooper (football manager),2,risolto
paolo vanoli,Paolo Vanoli,Q3362674,,Paolo Vanoli,1972-08-12,Paolo Vanoli,1,risolto
bernard blaquart,Bernard Blaquart,,Q2897549,,,,0,senza_p6087
rob edwards,Rob Edwards,,,,,,0,residuo
liam rosenior,Liam Rosenior,Q1336865,,Liam Rosenior,1984-07-09,Liam Rosenior,2,risolto
fabio pecchia,Fabio Pecchia,,Q1087530,,,,0,club_diversi
thomas reis,Thomas Reis,,Q2426747,,,,0,senza_p6087
paulo sousa,Paulo Sousa,,Q314440,,,,0,club_diversi
jess thorup,Jess Thorup,,Q6517092,,,,0,club_diversi
alessio lisci,Alessio Lisci,,Q109890596,,,,0,senza_p6087
fran escriba,Fran Escribá,Q3259945,,Fran Escribá,1965-05-03,Fran Escribá,1,risolto
markus weinzierl,Markus Weinzierl,Q15772,,Markus Weinzierl,1974-12-28,Markus Weinzierl,2,risolto
friedhelm funkel,Friedhelm Funkel,,Q679901,,,,0,club_diversi
carlos corberan,Carlos Corberán,Q27983031,,Carlos Corberán,1983-04-07,Carlos Corberán,1,risolto
bo henriksen,Bo Henriksen,,Q4931102,,,,0,senza_p6087
fabio liverani,Fabio Liverani,,Q381262,,,,0,club_diversi
alvaro cervera,Álvaro Cervera,Q250859,,Álvaro Cervera,1965-09-20,Álvaro Cervera,1,risolto
christian ilzer,Christian Ilzer,,Q32592613,,,,0,senza_p6087
ralf rangnick,Ralf Rangnick,,Q57902,,,,0,club_diversi
philippe clement,Philippe Clement,Q1338480,,Philippe Clement,1974-03-22,Philippe Clement,1,risolto
ronald koeman,Ronald Koeman,Q192635,,Ronald Koeman,1963-03-21,Ronald Koeman,2,risolto
enzo maresca,Enzo Maresca,Q317282,,Enzo Maresca,1980-02-10,Enzo Maresca,1,risolto
thomas letsch,Thomas Letsch,Q22692810,,Thomas Letsch,1968-08-26,Thomas Letsch,1,risolto
pacheta,Pacheta,Q1704254,,José Rojo Martín,1968-03-23,Pacheta,1,risolto
vincenzo montella,Vincenzo Montella,Q297768,,Vincenzo Montella,1974-06-18,Vincenzo Montella,3,risolto
gabriele cioffi,Gabriele Cioffi,,Q1615609,,,,0,club_diversi
gerald baticle,Gérald Baticle,Q2019843,,Gérald Baticle,1969-09-10,Gérald Baticle,1,risolto
christian gourcuff,Christian Gourcuff,,Q128900,,,,0,club_diversi
sam allardyce,Sam Allardyce,,Q334388,,,,0,club_diversi
frank kramer,Frank Kramer,,,,,,0,residuo
cristian chivu,Cristian Chivu,Q210491,,Cristian Chivu,1980-10-26,Cristian Chivu,2,risolto
martin schmidt,Martin Schmidt,Q17352998,Q15834231,Martin Schmidt,1967-04-12,Martin Schmidt (football manager),2,risolto
daniele de rossi,Daniele De Rossi,Q168497,,Daniele De Rossi,1983-07-24,Daniele De Rossi,2,risolto
andre villas boas,André Villas-Boas,Q212914,,André Villas-Boas,1977-10-17,André Villas-Boas,1,risolto
fabio grosso,Fabio Grosso,Q230529,,Fabio Grosso,1977-11-28,Fabio Grosso,3,risolto
habib beye,Habib Beye,Q314643,,Habib Beye,1977-10-19,Habib Beye,2,risolto
alain casanova,Alain Casanova,Q128842,,Alain Casanova,1961-09-18,Alain Casanova,1,risolto
ruben amorim,Rúben Amorim,Q368682,,Rúben Amorim,1985-01-27,Rúben Amorim,1,risolto
andrea sottil,Andrea Sottil,,Q547067,,,,0,senza_p6087
diego lopez,Diego López,,,,,,0,residuo
bruno lage,Bruno Lage,,Q56434101,,,,0,club_diversi
jesse marsch,Jesse Marsch,Q1336179,,Jesse Marsch,1973-11-08,Jesse Marsch,2,risolto
cesare prandelli,Cesare Prandelli,,Q218380,,,,0,club_diversi
carlos carvalhal,Carlos Carvalhal,Q1042799,,Carlos Carvalhal,1965-12-04,Carlos Carvalhal,1,risolto
mark hughes,Mark Hughes,Q214513,,Mark Hughes,1963-11-01,Mark Hughes,2,risolto
vitor pereira,Vítor Pereira,,,,,,0,residuo
pascal dupraz,Pascal Dupraz,,Q3367394,,,,0,senza_p6087
sabri lamouchi,Sabri Lamouchi,,Q1883,,,,0,club_diversi
enrico maaßen,Enrico Maaßen,,Q107207828,,,,0,senza_p6087
arsene wenger,Arsène Wenger,Q47576,,Arsène Wenger,1949-10-22,Arsène Wenger,1,risolto
steven gerrard,Steven Gerrard,Q459830,,Steven Gerrard,1980-05-30,Steven Gerrard,1,risolto
andrea pirlo,Andrea Pirlo,Q43926,,Andrea Pirlo,1979-05-19,Andrea Pirlo,1,risolto
borja jimenez,Borja Jiménez,Q66752039,,Borja Jiménez,1985-01-21,Borja Jiménez,1,risolto
eder sarabia,Eder Sarabia,Q106834887,,Eder Sarabia,1980-09-27,Eder Sarabia,1,risolto
fabio pisacane,Fabio Pisacane,,Q3737807,,,,0,senza_p6087
marcel rapp,Marcel Rapp,,Q1893160,,,,0,senza_p6087
vahid halilhodzic,Vahid Halilhodzic,Q463933,,Vahid Halilhodžić,1952-10-15,Vahid Halilhodzic,1,risolto
cuco ziganda,Cuco Ziganda,,Q704571,,,,0,club_diversi
philippe montanier,Philippe Montanier,Q746357,,Philippe Montanier,1964-11-15,Philippe Montanier,1,risolto
patrice garande,Patrice Garande,,Q933813,,,,0,club_diversi
fabien mercadal,Fabien Mercadal,,Q49049107,,,,0,senza_p6087
roberto donadoni,Roberto Donadoni,Q294718,,Roberto Donadoni,1963-09-09,Roberto Donadoni,1,risolto
keith andrews,Keith Andrews,Q316704,,Keith Joseph Andrews,1980-09-13,Keith Andrews (footballer),1,risolto
juan carlos unzue,Juan Carlos Unzué,,Q560712,,,,0,club_diversi
kieran mckenna,Kieran McKenna,Q57017948,,Kieran McKenna,1986-05-14,Kieran McKenna,1,risolto
neil warnock,Neil Warnock,,Q948505,,,,0,club_diversi
carlos cuesta,Carlos Cuesta,,Q116776804,,,,0,senza_p6087
jean louis garcia,Jean-Louis Garcia,,Q3166782,,,,0,senza_p6087
robert moreno,Robert Moreno,Q63969036,,Robert Moreno,1977-09-19,Robert Moreno,1,risolto
luis castro,Luís Castro,,,,,,0,disambigua
stephane jobard,Stéphane Jobard,Q66021525,,Stéphane Jobard,1971-02-22,Stéphane Jobard,1,risolto
achim beierlorzer,Achim Beierlorzer,Q19257969,,Achim Beierlorzer,1967-11-20,Achim Beierlorzer,1,risolto
walter zenga,Walter Zenga,Q294302,,Walter Zenga,1960-04-28,Walter Zenga,2,risolto
tayfun korkut,Tayfun Korkut,,Q708808,,,,0,club_diversi
torsten lieberknecht,Torsten Lieberknecht,,Q1673975,,,,0,senza_p6087
francesco farioli,Francesco Farioli,Q106247695,,Francesco Farioli,1989-04-10,Francesco Farioli,1,risolto
laszlo boloni,László Bölöni,Q353222,,László Bölöni,1953-03-11,László Bölöni,1,risolto
merlin polzin,Merlin Polzin,,Q124514448,,,,0,club_diversi
stefan leitl,Stefan Leitl,,Q2336933,,,,0,senza_p6087
vincent hognon,Vincent Hognon,,Q1383750,,,,0,club_diversi
peter stoger,Peter Stöger,,Q697397,,,,0,club_diversi
bruno irles,Bruno Irles,Q2926839,,Bruno Irles,1975-08-16,Bruno Irles,1,risolto
laurent blanc,Laurent Blanc,Q1839,,Laurent Blanc,1965-11-19,Laurent Blanc,1,risolto
kasper hjulmand,Kasper Hjulmand,Q2406011,,Kasper Hjulmand,1972-04-09,Kasper Hjulmand,1,risolto
moreno longo,Moreno Longo,Q3862936,,Moreno Longo,1976-02-14,Moreno Longo,2,risolto
eugen polanski,Eugen Polanski,,Q5117,,,,0,senza_p6087
alessandro nesta,Alessandro Nesta,Q227892,,Alessandro Nesta,1976-03-19,Alessandro Nesta,1,risolto
juan muniz,Juan Muñiz,,,,,,0,disambigua
eduardo berizzo,Eduardo Berizzo,,Q586415,,,,0,club_diversi
paco jemez,Paco Jémez,Q2311040,,Francisco Jémez Martín,1970-04-18,Paco Jémez,1,risolto
giovanni stroppa,Giovanni Stroppa,,Q2656692,,,,0,club_diversi
