Giornata,Data,Squadra,Campo,Avversario,Risultato squadra,Esito,Periodo,Goal previsti (xG),Possesso palla %,Tiri totali,Tiri in porta,Grandi occasioni,Calci d'angolo,Passaggi riusciti,Passaggi totali,Passaggi %,Cartellini gialli,Cartellini rossi,xG sui Tiri in porta (xGOT),Tiri fuori,Tiri fermati,Tiri dall'area di rigore,Tiri da fuori area,Pali colpiti,Palloni toccati nell'area avversaria,Passaggi filtranti riusciti,Fuorigioco,Punizioni,Passaggi lunghi riusciti,Passaggi lunghi totali,Passaggi lunghi %,Passaggi offensivi riusciti,Passaggi offensivi totali,Passaggi offensivi %,Cross riusciti,Cross totali,Cross %,Assist previsti (xA),Rimesse Laterali,Falli,Tackles riusciti,Tackles totali,Tackles %,Contrasti vinti,Respinte difensive,Palle intercettate,Errori che hanno portato al tiro,Errori che hanno portato al gol,Parate,xGot affrontati,Gol evitati,Gol di testa
2,30.08.2025,Parma,Casa,Atalanta,1-1,N,1° tempo,0.11,47,4,1,0,0,176,217,81,,,0.17,2,1,0,4,0,10,0,1,5,14,35,40,40,63,63,0,6,0,0.14,8,1,3,5,60,15,11,4,1,0,0,0,0,
2,30.08.2025,Atalanta,Trasferta,Parma,1-1,N,1° tempo,0.29,53,5,0,0,2,200,242,83,,,0,3,2,3,2,1,11,0,2,1,15,32,47,30,48,63,0,5,0,0.64,8,5,9,15,60,32,22,4,0,0,1,0.17,0.17,
2,30.08.2025,Parma,Casa,Atalanta,1-1,N,2° tempo,0.57,45,3,2,1,1,93,128,73,2,,1.06,1,0,3,0,0,9,0,0,10,9,22,41,28,54,52,3,17,18,0.15,9,7,3,5,60,26,5,4,0,0,2,0.55,-0.45,
2,30.08.2025,Atalanta,Trasferta,Parma,1-1,N,2° tempo,0.52,55,6,3,1,0,134,178,75,2,,0.55,1,2,5,1,0,14,0,2,7,16,34,47,34,52,65,2,4,50,0.62,9,10,5,8,63,27,27,3,0,0,1,1.06,0.06,
2,30.08.2025,Pisa,Casa,Roma,0-1,P,Totale,0.55,31,7,3,2,1,176,266,66,2,,0.4,4,0,2,5,0,8,0,2,10,18,54,33,42,68,62,2,11,18,0.46,19,14,12,22,55,53,37,11,0,0,4,0.81,-0.19,
2,30.08.2025,Roma,Trasferta,Pisa,1-0,V,Totale,0.78,69,10,5,1,7,485,581,83,1,,0.81,2,3,6,4,0,35,0,1,14,30,62,48,147,199,74,5,27,19,1.46,26,10,7,16,44,66,23,7,0,0,3,0.4,0.4,
2,30.08.2025,Pisa,Casa,Roma,0-1,P,1° tempo,0.36,28,2,1,2,0,85,128,66,1,,0.32,1,0,2,0,0,5,0,0,5,11,25,44,24,38,63,1,5,20,0.33,10,4,4,9,44,26,21,6,0,0,1,0.2,0.2,
2,30.08.2025,Roma,Trasferta,Pisa,1-0,V,1° tempo,0.07,72,2,1,0,2,277,330,84,1,,0.2,0,1,1,1,0,7,0,1,4,14,33,42,68,98,69,3,12,25,0.24,14,5,3,7,43,28,8,5,0,0,1,0.32,0.32,
2,30.08.2025,Pisa,Casa,Roma,0-1,P,2° tempo,0.19,35,5,2,0,1,91,138,66,1,,0.08,3,0,0,5,0,3,0,2,5,7,29,24,18,30,60,1,6,17,0.13,9,10,8,13,62,27,16,5,0,0,3,0.61,-0.39,
2,30.08.2025,Roma,Trasferta,Pisa,1-0,V,2° tempo,0.71,65,8,4,1,5,208,251,83,0,,0.61,2,2,5,3,0,28,0,0,10,16,29,55,79,101,78,2,15,13,1.22,12,5,4,9,44,38,15,2,0,0,2,0.08,0.08,
