Competizione,Turno,Data,Casa,Ospite,Lato,Squadra,Giocatore,Ruolo,Stato,Rating,ID partita,PENALTIES_COMMITTED,PENALTY_SHOOTOUT_ATTEMPTS_SAVES,PENALTY_SHOOTOUT_ATTEMPTS_SCORED,HIT_WOODWORK,TURNOVERS,CHALLENGE_LOST,PENALTIES_NOT_CONVERTED,PENALTY_SHOOTOUT_ATTEMPTS_NOT_CONVERTED,GOALS_PREVENTED_NO_PENALTIES,PASSES_OPEN_PLAY_ACCURACY,PASSES_OPEN_PLAY_ACCURATE,PASSES_OPEN_PLAY_TOTAL,DUELS_EFFICIENCY,TACKLE_LAST_MAN,CLEARANCES_OFF_LINE,BIG_CHANCES_SAVED,PENALTIES_SAVED,GOALS_PENALTY,PENALTIES_WON,ASSISTS_GOAL,BIG_CHANCES_CREATED,BIG_CHANCES_MISSED,CARDS_RED,CARDS_YELLOW,CLEARANCES,CROSSES_ACCURACY,CROSSES_TOTAL,CROSSES_ACCURATE,DRIBBLES_EFFICIENCY,DUELS_AERIAL_TOTAL,DRIBBLES_TOTAL,DRIBBLES_WON,DUELS_AERIAL_EFFICIENCY,DUELS_AERIAL_WON,DUELS_GROUND_EFFICIENCY,DUELS_GROUND_TOTAL,DUELS_GROUND_WON,DUELS_TOTAL,ERRORS_LEAD_TO_GOAL,ERRORS_LEAD_TO_SHOT,EXPECTED_ASSISTS,EXPECTED_GOALS,EXPECTED_GOALS_ON_TARGET,EXPECTED_GOALS_ON_TARGET_FACED,FOULS_COMMITTED,FOULS_SUFFERED,GOALS,GOALS_CONCEDED,GOALS_OWN,GOALS_PREVENTED,INTERCEPTIONS,KEEPER_SWEEPER_TOTAL,KEEPER_THROWS_TOTAL,LONG_BALLS_ACCURACY,LONG_BALLS_TOTAL,LONG_BALLS_ACCURATE,MATCH_MINUTES_PLAYED,OFFSIDES,PASSES_ACCURACY,PASSES_TOTAL,PASSES_ACCURATE,PASSES_FINAL_THIRD_ACCURACY,PASSES_FINAL_THIRD_TOTAL,PASSES_FINAL_THIRD_ACCURATE,PUNCHES_TOTAL,SAVES_TOTAL,SHOTS_BLOCKED,SHOTS_BOX_IN,SHOTS_BOX_OUT,SHOTS_HEAD,SHOTS_OFF_TARGET,SHOTS_ON_TARGET,SHOTS_TOTAL,TACKLES_EFFICIENCY,TACKLES_TOTAL,TACKLES_WON,TOUCHES_BOX_OPPOSITE,TOUCHES_TOTAL,SHOTS_FACED,CARDS_YELLOW_SECOND,MATCH_ON_PITCH_LIVE,MATCH_MINUTES_PLAYED_LIVE,KEY_PASSES,BOX_ENTRIES_EFFICIENCY,BOX_ENTRIES_ACCURATE,BOX_ENTRIES_TOTAL,THROUGH_BALLS,LAYOFFS_ACCURACY,LAYOFFS_ACCURATE,LAYOFFS_TOTAL,FINAL_THIRD_ENTRIES_TOTAL,FINAL_THIRD_ENTRIES_SUCCESSFUL,FINAL_THIRD_ENTRIES_EFFICIENCY,BALL_RECOVERIES,HIGH_CLAIM_EFFICIENCY,HIGH_CLAIM_TOTAL,HIGH_CLAIM_SAVED,DUELS_WON,OUTFIELDER_BLOCKS,PROGRESSIVE_CARRIES,PROGRESSIVE_PASSES_TOTAL,PROGRESSIVE_PASSES_ACCURACY,PROGRESSIVE_PASSES_ACCURATE
DFB-Pokal,1/32 finale,15.08.2025,Grossaspach,Leverkusen,Casa,Grossaspach,Celiktas Volkan,Centrocampista,Titolare,4.5,WCzgdbmJ,0,0,0,0,0,1,0,0,0.7775,0.733333,11,15,0.625,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0.0,2,0,0,1.0,2,0.5,6,3,8,0,0,0.02504,0.0602,0.0,1.7775,2,0,0,1,0,0.7775,1,0,0,0.5,2,1,66,0,0.75,16,12,0.5,4,2,0,0,0,1,0,0,0,1,1,0.333333,3,1,1,23,1,1,0,66,0,0.0,0,1,0,1.0,1,1,2,0,0.0,1,0.0,0,0,5,0,0,0,0.0,0
DFB-Pokal,1/32 finale,15.08.2025,Grossaspach,Leverkusen,Casa,Grossaspach,Eisele Fabian,Attaccante,Titolare,6.6,WCzgdbmJ,0,0,0,0,4,0,0,0,0.7775,0.363636,4,11,0.615385,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0.0,4,0,0,0.25,1,0.777778,9,7,13,0,0,0.168018,0.0968,0.0,1.7775,2,4,0,1,0,0.7775,0,0,0,0.0,1,0,70,0,0.416667,12,5,0.571429,7,4,0,0,0,2,0,1,2,0,2,0.666667,3,2,6,28,1,0,0,70,1,0.0,0,2,0,0.0,0,1,1,0,0.0,2,0.0,0,0,8,0,0,0,0.0,0
DFB-Pokal,1/32 finale,15.08.2025,Grossaspach,Leverkusen,Casa,Grossaspach,Landwehr Benedikt,Terzino,Titolare,6.7,WCzgdbmJ,0,0,0,0,1,2,0,0,1.1347,0.777778,14,18,0.615385,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2,0,0.0,1,2,0,1.0,1,0.583333,12,7,13,0,0,0.008412,0.0,0.0,3.1347,2,0,0,2,0,1.1347,1,0,0,0.428571,7,3,77,0,0.777778,18,14,0.75,4,3,0,0,0,0,0,0,0,0,0,0.714286,7,5,1,44,2,0,0,77,0,0.0,0,2,0,0.0,0,0,4,0,0.0,3,0.0,0,0,8,0,0,0,0.0,0
DFB-Pokal,1/32 finale,15.08.2025,Grossaspach,Leverkusen,Casa,Grossaspach,Nuraj Arbnor,Difensore centrale,Titolare,5.9,WCzgdbmJ,0,0,0,0,1,1,0,0,0.2039,1.0,21,21,0.5,0,0,0,0,0,0,0,0,0,0,0,4,0.0,1,0,0.0,2,0,0,0.5,1,0.5,4,2,6,0,0,0.01899,0.0,0.0,3.9538,0,1,0,4,0,-0.0462,1,0,0,1.0,2,2,90,0,1.0,25,25,1.0,6,6,0,0,0,0,0,0,0,0,0,0.0,1,0,1,36,4,0,0,90,1,0.0,0,1,0,0.0,0,0,3,0,0.0,2,0.0,0,0,3,1,0,0,0.0,0
DFB-Pokal,1/32 finale,15.08.2025,Grossaspach,Leverkusen,Casa,Grossaspach,Stoppel Lukas,Centrocampista,Subentrato,5.7,WCzgdbmJ,1,0,0,0,0,0,0,0,-0.5736,0.6,3,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,1,0,0.0,0,0.0,2,0,2,0,0,0.008605,0.0,0.0,2.1763,1,0,0,3,0,-0.8237,0,0,0,1.0,2,2,20,0,0.6,5,3,0.5,2,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,8,3,0,0,20,1,0.0,0,0,0,0.0,0,0,2,0,0.0,1,0.0,0,0,0,0,0,0,0.0,0
DFB-Pokal,1/32 finale,15.08.2025,Grossaspach,Leverkusen,Casa,Grossaspach,Ender Lorenz,Difensore,Subentrato,,WCzgdbmJ,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,2,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0
DFB-Pokal,1/32 finale,15.08.2025,Grossaspach,Leverkusen,Casa,Grossaspach,Kunde Marius,Attaccante,Subentrato,6.3,WCzgdbmJ,0,0,0,0,0,0,0,0,-0.5736,0.5,3,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,2,0,2,0,0,0.000173,0.0432,0.028,2.1763,2,0,0,3,0,-0.8237,1,0,0,0.333333,3,1,20,0,0.625,8,5,0.0,2,0,0,0,0,1,0,0,0,1,1,0.0,0,0,1,10,3,0,0,20,0,0.0,0,0,0,0.0,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0
DFB-Pokal,1/32 finale,15.08.2025,Grossaspach,Leverkusen,Ospite,Leverkusen,Kofane Christian,Attaccante,Subentrato,7.6,WCzgdbmJ,0,0,0,0,1,0,0,0,0.028,0.5,1,2,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.5,2,1,2,0,0,0.018571,0.2541,0.0691,0.028,0,1,1,0,0,0.028,0,0,0,0.0,0,0,12,0,0.5,2,1,0.5,2,1,0,0,1,1,1,0,0,1,2,0.0,0,0,3,6,0,0,0,12,0,0.0,0,0,0,0.0,0,0,1,0,0.0,1,0.0,0,0,1,0,0,0,0.0,0
DFB-Pokal,1/32 finale,15.08.2025,Grossaspach,Leverkusen,Casa,Grossaspach,Aidonis Antonis,Difensore centrale,Titolare,5.9,WCzgdbmJ,0,0,0,0,1,2,0,0,0.2039,0.807692,21,26,0.285714,0,0,0,0,0,0,0,0,0,0,0,5,0.0,2,0,1.0,1,1,1,0.0,0,0.333333,6,2,7,0,0,0.011071,0.0,0.0,3.9538,3,0,0,4,0,-0.0462,2,0,0,0.538462,13,7,90,0,0.774194,31,24,0.375,8,3,0,0,0,0,0,0,0,0,0,0.0,1,0,0,49,4,0,0,90,0,0.0,0,4,0,0.0,0,0,7,0,0.0,1,0.0,0,0,2,2,0,0,0.0,0
DFB-Pokal,1/32 finale,15.08.2025,Grossaspach,Leverkusen,Casa,Grossaspach,Mistl Christian,Centrocampista,Titolare,6.0,WCzgdbmJ,0,0,0,0,0,1,0,0,0.7775,0.736842,14,19,0.6,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,1,0,0,0.0,0,0.75,4,3,5,0,0,0.027234,0.0,0.0,1.7775,0,1,0,1,0,0.7775,1,0,0,0.0,1,0,70,0,0.761905,21,16,0.833333,6,5,0,0,0,0,0,0,0,0,0,0.5,2,1,0,27,1,0,0,70,0,0.0,0,1,0,1.0,1,1,2,0,0.0,3,0.0,0,0,3,0,0,0,0.0,0
