Competizione,Turno,Data,Casa,Ospite,Lato,Squadra,Modulo,Gruppo,Ordine,Numero,Giocatore,Ruolo,Rating,Entrato al,Uscito al,ID partita
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,Ospite,Stoccarda,3-4-2-1,Panchina,6,16,Karazor A.,,,,,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,Ospite,Stoccarda,3-4-2-1,Panchina,7,28,Nartey N.,,,84',,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,Ospite,Stoccarda,3-4-2-1,Panchina,8,8,Tomas T.,,,84',,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,Ospite,Stoccarda,3-4-2-1,Panchina,9,4,Vagnoman J.,,,,,2VWWP3Cc
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Casa,Stoccarda,3-4-1-2,Titolare,1,33,Nubel A.,Portiere,7.3,,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Casa,Stoccarda,3-4-1-2,Titolare,2,3,Hendriks R.,,7.1,,98',dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Casa,Stoccarda,3-4-1-2,Titolare,3,24,Chabot J.,,8.5,,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Casa,Stoccarda,3-4-1-2,Titolare,4,7,Mittelstadt M.,,6.8,,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Casa,Stoccarda,3-4-1-2,Titolare,5,18,Leweling J.,,7.6,,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Casa,Stoccarda,3-4-1-2,Titolare,6,16,Karazor A.,Capitano,7.2,,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Casa,Stoccarda,3-4-1-2,Titolare,7,6,Stiller A.,,7.2,,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Casa,Stoccarda,3-4-1-2,Titolare,8,10,Fuhrich C.,,6.9,,118',dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Casa,Stoccarda,3-4-1-2,Titolare,9,28,Nartey N.,,6.5,,63',dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Casa,Stoccarda,3-4-1-2,Titolare,10,9,Demirovic E.,,6.3,,91',dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Casa,Stoccarda,3-4-1-2,Titolare,11,26,Undav D.,,9.3,,118',dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Casa,Stoccarda,3-4-1-2,Panchina,1,30,Andres C.,,,,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Casa,Stoccarda,3-4-1-2,Panchina,2,22,Assignon L.,,,,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Casa,Stoccarda,3-4-1-2,Panchina,3,27,Bouanani B.,,,118',,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Casa,Stoccarda,3-4-1-2,Panchina,4,1,Bredlow F.,Portiere,,,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Casa,Stoccarda,3-4-1-2,Panchina,5,11,El Khannouss B.,,7.5,63',,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Casa,Stoccarda,3-4-1-2,Panchina,6,14,Jaquez L.,,6.8,98',,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Casa,Stoccarda,3-4-1-2,Panchina,7,8,Tomas T.,,7.8,91',,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Casa,Stoccarda,3-4-1-2,Panchina,8,4,Vagnoman J.,,,118',,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Casa,Stoccarda,3-4-1-2,Panchina,9,23,Zagadou D.,,,,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Ospite,Friburgo,4-2-3-1,Titolare,1,21,Muller F.,Portiere,8.4,,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Ospite,Friburgo,4-2-3-1,Titolare,2,29,Treu P.,,6.0,,113',dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Ospite,Friburgo,4-2-3-1,Titolare,3,28,Ginter M.,,7.1,,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Ospite,Friburgo,4-2-3-1,Titolare,4,3,Lienhart P.,,6.9,,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Ospite,Friburgo,4-2-3-1,Titolare,5,33,Makengo J.,,5.6,,101',dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Ospite,Friburgo,4-2-3-1,Titolare,6,8,Eggestein M.,,6.9,,,dAmVwZvJ
