Competizione,Turno,Data,Casa,Ospite,Periodo,Minuto,Lato,Tipo evento,Giocatore,Punteggio dopo,ID partita
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,2 Tempo,84',Ospite,Sostituzione - Entra,Holer L.,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Supplementari,91',Casa,Sostituzione - Esce,Demirovic E.,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Supplementari,91',Casa,Sostituzione - Entra,Tomas T.,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Supplementari,94',Ospite,Cartellino Giallo,Holer L.,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Supplementari,95',Casa,Cartellino Giallo,Hendriks R.,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Supplementari,98',Casa,Sostituzione - Esce,Hendriks R.,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Supplementari,98',Casa,Sostituzione - Entra,Jaquez L.,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Supplementari,101',Ospite,Sostituzione - Esce,Makengo J.,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Supplementari,101',Ospite,Sostituzione - Entra,Gunter C.,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Supplementari,102',Ospite,Sostituzione - Esce,Beste J.,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Supplementari,102',Ospite,Sostituzione - Entra,Kubler L.,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Supplementari,113',Ospite,Sostituzione - Esce,Treu P.,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Supplementari,113',Ospite,Sostituzione - Entra,Ogbus B.,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Supplementari,118',Casa,Sostituzione - Esce,Fuhrich C.,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Supplementari,118',Casa,Sostituzione - Entra,Bouanani B.,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,Supplementari,118',Casa,Sostituzione - Esce,Undav D.,,dAmVwZvJ
