league,season,date,home_team,away_team,result,m_home_c,k_home_c,c_model,c_market,deficit,home_won,imbalance_model,imbalance_market,disagreement,abs_disagreement,favourite_agree,matchday,month,m_home,m_draw,m_away,k_home,k_draw,k_away
serie_a,2021,2020-09-19,Fiorentina,Torino,H,0.6685317949233518,0.693200663349917,0.4026713219805024,0.3664357642024292,0.03623555777807319,1.0,0.3370635898467036,0.38640132669983407,-0.024668868426565238,0.024668868426565238,True,1,9,0.47972781504116757,0.2824158571303717,0.23785632782846086,0.5169013806576377,0.25432647718527385,0.2287721421570885
serie_a,2021,2020-09-20,Juventus,Sampdoria,H,0.8366351696857285,0.8433079434167574,0.17836718202698787,0.17042309300234,0.007944089024647882,1.0,0.673270339371457,0.6866158868335148,-0.006672773731028925,0.006672773731028925,True,2,9,0.6682496249849711,0.2012651999365618,0.1304851750784671,0.6656504544639402,0.21066739657759867,0.12368214895846115
serie_a,2021,2020-09-20,Parma,Napoli,A,0.32776493221829783,0.17710843373493979,0.39714719637929874,0.19493084121985357,0.20221635515944517,0.0,0.34447013556340433,0.6457831325301204,0.15065649848335805,0.15065649848335805,True,2,9,0.2429684191890143,0.25871136504867887,0.49832021576230684,0.13997631979552333,0.20965751407969832,0.6503661661247784
serie_a,2021,2020-09-20,Genoa,Crotone,H,0.6439562658886562,0.5527272727272727,0.44012446529456173,0.5928905768202949,-0.15276611152573316,1.0,0.28791253177731235,0.10545454545454547,0.09122899316138344,0.09122899316138344,True,2,9,0.45998377135882995,0.2856909766627477,0.2543252519784224,0.38898088213156706,0.2962516935119675,0.3147674243564655
serie_a,2021,2020-09-21,Milan,Bologna,H,0.7823741261479407,0.8121827411167513,0.24542223066016317,0.20802991350416158,0.03739231715600158,1.0,0.5647482522958813,0.6243654822335025,-0.0298086149688106,0.0298086149688106,True,3,9,0.5973133155912592,0.23653748810410935,0.16614919630463143,0.6459253624253322,0.20470439751380975,0.14937024006085806
serie_a,2021,2020-09-26,Torino,Atalanta,A,0.2608345894105776,0.24548192771084337,0.30223355278328085,0.28167604839156896,0.02055750439171189,0.0,0.47833082117884484,0.5090361445783133,0.015352661699734205,0.015352661699734205,True,4,9,0.20023995057545801,0.2323105956615977,0.5674494537629443,0.1902868675299216,0.22484368073700642,0.5848694517330719
serie_a,2021,2020-09-26,Sampdoria,Benevento,A,0.8144705620093006,0.7409638554216869,1.6845417141577732,1.3507876726629813,0.33375404149479193,0.0,0.6289411240186011,0.4819277108433737,0.07350670658761371,0.07350670658761371,True,4,9,0.6382534328434353,0.21635788619681628,0.1453886809597483,0.5548696519302911,0.2511515266631844,0.19397882140652453
serie_a,2021,2020-09-26,Cagliari,Lazio,A,0.31301982245907567,0.21166892808683863,0.3754498408282831,0.23783713533742556,0.13761270549085752,0.0,0.37396035508184866,0.5766621438263227,0.10135089437223704,0.10135089437223704,True,4,9,0.23039553719035855,0.2639586356532403,0.505645827156401,0.1638160897750884,0.22607398612666593,0.6101099240982457
serie_a,2021,2020-09-26,Inter,Fiorentina,H,0.7775920728099738,0.7984189723320159,0.2515532203194894,0.2251217913263154,0.026431428993173994,1.0,0.5551841456199476,0.5968379446640317,-0.020826899522042086,0.020826899522042086,True,4,9,0.5771187436020088,0.25781297960448246,0.16506827679350883,0.6246117219471308,0.2176892789474055,0.1576989991054637
serie_a,2021,2020-09-27,Crotone,Milan,A,0.19576114234150788,0.22191400832177535,0.2178589672847525,0.25091823176225275,-0.03305926447750024,0.0,0.6084777153169842,0.5561719833564494,-0.026152865980267476,0.026152865980267476,True,5,9,0.1504401590875088,0.23151164072661592,0.6180482001858754,0.1698362815893915,0.23467525608780457,0.5954884623228041
serie_a,2021,2020-09-27,Napoli,Genoa,H,0.8385132777498716,0.9127324749642345,0.17612486272215874,0.09131245888902052,0.08481240383313822,1.0,0.6770265554997432,0.825464949928469,-0.07421919721436288,0.07421919721436288,True,5,9,0.6607511503744663,0.21199679491352277,0.12725205471201095,0.7787107447994581,0.14683572003946505,0.07445353516107672
serie_a,2021,2020-09-27,Spezia,Sassuolo,A,0.44512301079368227,0.279179810725552,0.5890088308714123,0.32736556354302115,0.26164326732839116,0.0,0.10975397841263546,0.44164037854889604,0.1659432000681303,0.1659432000681303,True,5,9,0.32156928498765025,0.27757209312933057,0.40085862188301913,0.20886743986923015,0.2518533509768817,0.539279209153888
serie_a,2021,2020-09-27,Verona,Udinese,H,0.5761492083342256,0.5341726618705037,0.5513886095849763,0.6270361554478825,-0.07564754586290623,1.0,0.15229841666845112,0.06834532374100744,0.04197654646372184,0.04197654646372184,True,5,9,0.39661452186708956,0.3116114434769604,0.2917740346559501,0.36710348164441936,0.3127625057431073,0.32013401261247343
serie_a,2021,2020-09-28,Bologna,Parma,H,0.5927959456313162,0.656140350877193,0.5229050443770286,0.4213805634140638,0.10152448096296474,1.0,0.18559189126263242,0.31228070175438605,-0.06334440524587681,0.06334440524587681,True,6,9,0.4331136555597316,0.26937142746738274,0.2975149169728856,0.4865636700818661,0.2584457434581186,0.2549905864600153
serie_a,2021,2020-09-30,Lazio,Atalanta,A,0.4908169488832407,0.5009671179883946,0.674947698169509,0.6950832895868116,-0.0201355914173027,0.0,0.018366102233518644,0.0019342359767891004,-0.010150169105153872,0.010150169105153872,False,7,9,0.3699666723993093,0.24622270432775983,0.3838106232729307,0.3694286286852683,0.2625691079911825,0.3680022633235492
serie_a,2021,2020-09-30,Udinese,Spezia,A,0.8389563180483025,0.7240853658536586,1.8260796343271608,1.2876637576782635,0.5384158766488973,0.0,0.677912636096605,0.44817073170731714,0.11487095219464394,0.11487095219464394,True,7,9,0.6517562756396362,0.22313443308247227,0.12510929127789172,0.526816129287808,0.27243919828883784,0.20074467242335417
serie_a,2021,2020-09-30,Benevento,Inter,A,0.13635202024918786,0.1274131274131274,0.1465900240445466,0.13629306242725184,0.010296961617294764,0.0,0.7272959595016243,0.7451737451737452,0.008938892836060447,0.008938892836060447,True,7,9,0.11080715007171701,0.18734500692242578,0.7018478430058572,0.10531731221987758,0.17341867075914266,0.7212640170209798
serie_a,2021,2020-10-02,Fiorentina,Sampdoria,A,0.6801605867481708,0.7216,1.1399362427370163,1.2786963505218725,-0.13876010778485615,0.0,0.36032117349634163,0.44320000000000004,-0.041439413251829205,0.041439413251829205,True,8,10,0.4996553403778736,0.26538621891234226,0.23495844070978417,0.5488776845437991,0.23936019325970187,0.21176212219649904
serie_a,2021,2020-10-03,Sassuolo,Crotone,H,0.829323666224415,0.7956698240866037,0.1871447703409287,0.22857097304957463,-0.04142620270864594,1.0,0.65864733244883,0.5913396481732074,0.03365384213781131,0.03365384213781131,True,9,10,0.6609781698541637,0.2029913087331298,0.13603052141270644,0.6311730586983402,0.20673998235021548,0.16208695895144448
