Competizione,Turno,Data,Casa,Ospite,Lato,Squadra,Modulo,Gruppo,Ordine,Numero,Giocatore,Ruolo,Rating,Entrato al,Uscito al,ID partita
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,Ospite,Inter,3-5-2,Titolare,10,9,Thuram M.,,6.3,,82',xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,Ospite,Inter,3-5-2,Titolare,11,10,Martinez L.,Capitano,7.3,,77',xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,Ospite,Inter,3-5-2,Panchina,1,15,Acerbi F.,,,,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,Ospite,Inter,3-5-2,Panchina,2,14,Bonny A.,,6.4,77',,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,Ospite,Inter,3-5-2,Panchina,3,20,Calhanoglu H.,,,,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,Ospite,Inter,3-5-2,Panchina,4,30,Carlos Augusto,,6.3,77',,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,Ospite,Inter,3-5-2,Panchina,5,43,Cocchi M.,,,,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,Ospite,Inter,3-5-2,Panchina,6,36,Darmian M.,,,,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,Ospite,Inter,3-5-2,Panchina,7,6,de Vrij S.,,,,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,Ospite,Inter,3-5-2,Panchina,8,12,Di Gennaro R.,Portiere,,,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,Ospite,Inter,3-5-2,Panchina,9,17,Diouf A.,,,82',,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,Ospite,Inter,3-5-2,Panchina,10,94,Esposito F.,,,,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,Ospite,Inter,3-5-2,Panchina,11,16,Frattesi D.,,,,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,Ospite,Inter,3-5-2,Panchina,12,11,Luis Henrique,,6.5,68',,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,Ospite,Inter,3-5-2,Panchina,13,22,Mkhitaryan H.,,6.8,68',,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,Ospite,Inter,3-5-2,Panchina,14,48,Mosconi M.,,,,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,Ospite,Inter,3-5-2,Panchina,15,1,Sommer Y.,Portiere,,,,xYQFQSOk
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Casa,Atalanta,3-4-2-1,Titolare,1,29,Carnesecchi M.,Portiere,6.6,,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Casa,Atalanta,3-4-2-1,Titolare,2,42,Scalvini G.,,6.6,,94',UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Casa,Atalanta,3-4-2-1,Titolare,3,19,Djimsiti B.,,7.9,,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Casa,Atalanta,3-4-2-1,Titolare,4,23,Kolasinac S.,,6.5,,71',UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Casa,Atalanta,3-4-2-1,Titolare,5,77,Zappacosta D.,,7.0,,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Casa,Atalanta,3-4-2-1,Titolare,6,15,De Roon M.,Capitano,6.3,,71',UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Casa,Atalanta,3-4-2-1,Titolare,7,13,Ederson,,6.2,,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Casa,Atalanta,3-4-2-1,Titolare,8,47,Bernasconi L.,,7.3,,56',UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Casa,Atalanta,3-4-2-1,Titolare,9,17,De Ketelaere C.,,7.1,,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Casa,Atalanta,3-4-2-1,Titolare,10,59,Zalewski N.,,6.7,,71',UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Casa,Atalanta,3-4-2-1,Titolare,11,90,Krstovic N.,,6.9,,90',UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Casa,Atalanta,3-4-2-1,Panchina,1,69,Ahanor H.,,6.6,94',,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Casa,Atalanta,3-4-2-1,Panchina,2,5,Bakker M.,,,,,UTn2mTd2
