Competizione,Turno,Data,Casa,Ospite,Lato,Squadra,Modulo,Gruppo,Ordine,Numero,Giocatore,Ruolo,Rating,Entrato al,Uscito al,ID partita
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,Ospite,Manchester City,4-2-3-1,Panchina,7,4,Reijnders T.,,,,,rJ3qBSJD
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,Ospite,Manchester City,4-2-3-1,Panchina,8,26,Savinho,,,,,rJ3qBSJD
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,Ospite,Manchester City,4-2-3-1,Panchina,9,5,Stones J.,,,,,rJ3qBSJD
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Casa,Manchester City,4-2-2-2,Titolare,1,1,Trafford J.,Portiere,7.4,,,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Casa,Manchester City,4-2-2-2,Titolare,2,27,Nunes M.,,6.2,,,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Casa,Manchester City,4-2-2-2,Titolare,3,45,Khusanov A.,,5.8,,,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Casa,Manchester City,4-2-2-2,Titolare,4,6,Ake N.,Capitano,6.9,,46',d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Casa,Manchester City,4-2-2-2,Titolare,5,21,Ait-Nouri R.,,7.9,,,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Casa,Manchester City,4-2-2-2,Titolare,6,14,Nico,,7.4,,83',d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Casa,Manchester City,4-2-2-2,Titolare,7,33,O'Reilly N.,,6.7,,71',d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Casa,Manchester City,4-2-2-2,Titolare,8,47,Foden P.,,6.1,,72',d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Casa,Manchester City,4-2-2-2,Titolare,9,4,Reijnders T.,,8.5,,,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Casa,Manchester City,4-2-2-2,Titolare,10,42,Semenyo A.,,6.9,,71',d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Casa,Manchester City,4-2-2-2,Titolare,11,7,Marmoush O.,,9.2,,,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Casa,Manchester City,4-2-2-2,Panchina,1,68,Alleyne M.,,6.6,46',,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Casa,Manchester City,4-2-2-2,Panchina,2,10,Cherki R.,,6.9,72',,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Casa,Manchester City,4-2-2-2,Panchina,3,3,Dias R.,,,,,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,Casa,Manchester City,4-2-2-2,Panchina,4,25,Donnarumma G.,Portiere,,,,d01ERQJr
