Competizione,Turno,Data,Casa,Ospite,Periodo,Minuto,Lato,Tipo evento,Giocatore,Punteggio dopo,ID partita
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,2 Tempo,78',Casa,Cartellino Giallo,Nico,,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,2 Tempo,83',Casa,Sostituzione - Esce,Nico,,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,2 Tempo,83',Casa,Sostituzione - Entra,Lewis R.,,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,2 Tempo,90+1',Casa,Cartellino Giallo,Rodri,,d01ERQJr
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,2 Tempo,53',Casa,Cartellino Giallo,Arteta M.,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,2 Tempo,53',Casa,Non Dal Campo,Arteta M.,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,2 Tempo,56',Ospite,Cartellino Giallo,Delap L.,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,2 Tempo,60',Ospite,Sostituzione - Esce,Hato J.,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,2 Tempo,60',Ospite,Sostituzione - Entra,Estêvão,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,2 Tempo,60',Ospite,Sostituzione - Esce,Delap L.,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,2 Tempo,60',Ospite,Sostituzione - Entra,Palmer C.,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,2 Tempo,68',Ospite,Cartellino Giallo,Gusto M.,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,2 Tempo,69',Casa,Sostituzione - Esce,Gyökeres V.,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,2 Tempo,69',Casa,Sostituzione - Entra,Havertz K.,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,2 Tempo,69',Casa,Sostituzione - Esce,Madueke N.,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,2 Tempo,69',Casa,Sostituzione - Entra,Trossard L.,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,2 Tempo,71',Ospite,Cartellino Giallo,Estêvão,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,2 Tempo,75',Ospite,Sostituzione - Esce,Andrey Santos,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,2 Tempo,75',Ospite,Sostituzione - Entra,Garnacho A.,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,2 Tempo,87',Ospite,Sostituzione - Esce,Gusto M.,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,2 Tempo,87',Ospite,Sostituzione - Entra,Acheampong J.,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,2 Tempo,90+7',Casa,Gol,Havertz K.,1-0,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,2 Tempo,90+7',Casa,Assist,Rice D.,1-0,f3TFiSUj
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,1 Tempo,7',Ospite,Gol,White B.,0-1,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,1 Tempo,7',Ospite,Assist,Rice D.,0-1,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,1 Tempo,42',Casa,Cartellino Giallo,Estêvão,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,1 Tempo,42',Ospite,Cartellino Giallo,Trossard L.,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,1 Tempo,44',Casa,Cartellino Giallo,Cucurella M.,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,2 Tempo,49',Ospite,Gol,Gyökeres V.,0-2,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,2 Tempo,53',Casa,Sostituzione - Esce,Guiu M.,,OG6rAzoI
