Competizione,Turno,Data,Casa,Ospite,Lato,Squadra,Giocatore,Ruolo,Stato,Rating,ASSISTS_GOAL,BALL_RECOVERIES,BIG_CHANCES_CREATED,BIG_CHANCES_MISSED,BIG_CHANCES_SAVED,BOX_ENTRIES_ACCURATE,BOX_ENTRIES_EFFICIENCY,BOX_ENTRIES_TOTAL,CARDS_RED,CARDS_YELLOW,CARDS_YELLOW_SECOND,CHALLENGE_LOST,CLEARANCES,CLEARANCES_OFF_LINE,CROSSES_ACCURACY,CROSSES_ACCURATE,CROSSES_TOTAL,DRIBBLES_EFFICIENCY,DRIBBLES_TOTAL,DRIBBLES_WON,DUELS_AERIAL_EFFICIENCY,DUELS_AERIAL_TOTAL,DUELS_AERIAL_WON,DUELS_EFFICIENCY,DUELS_GROUND_EFFICIENCY,DUELS_GROUND_TOTAL,DUELS_GROUND_WON,DUELS_TOTAL,DUELS_WON,ERRORS_LEAD_TO_GOAL,ERRORS_LEAD_TO_SHOT,EXPECTED_ASSISTS,EXPECTED_GOALS,EXPECTED_GOALS_ON_TARGET,EXPECTED_GOALS_ON_TARGET_FACED,FINAL_THIRD_ENTRIES_EFFICIENCY,FINAL_THIRD_ENTRIES_SUCCESSFUL,FINAL_THIRD_ENTRIES_TOTAL,FOULS_COMMITTED,FOULS_SUFFERED,GOALS,GOALS_CONCEDED,GOALS_OWN,GOALS_PENALTY,GOALS_PREVENTED,GOALS_PREVENTED_NO_PENALTIES,HIGH_CLAIM_EFFICIENCY,HIGH_CLAIM_SAVED,HIGH_CLAIM_TOTAL,HIT_WOODWORK,INTERCEPTIONS,KEEPER_SWEEPER_TOTAL,KEEPER_THROWS_TOTAL,KEY_PASSES,LAYOFFS_ACCURACY,LAYOFFS_ACCURATE,LAYOFFS_TOTAL,LONG_BALLS_ACCURACY,LONG_BALLS_ACCURATE,LONG_BALLS_TOTAL,MATCH_MINUTES_PLAYED,MATCH_MINUTES_PLAYED_LIVE,MATCH_ON_PITCH_LIVE,OFFSIDES,OUTFIELDER_BLOCKS,PASSES_ACCURACY,PASSES_ACCURATE,PASSES_FINAL_THIRD_ACCURACY,PASSES_FINAL_THIRD_ACCURATE,PASSES_FINAL_THIRD_TOTAL,PASSES_OPEN_PLAY_ACCURACY,PASSES_OPEN_PLAY_ACCURATE,PASSES_OPEN_PLAY_TOTAL,PASSES_TOTAL,PENALTIES_COMMITTED,PENALTIES_NOT_CONVERTED,PENALTIES_SAVED,PENALTIES_WON,PENALTY_SHOOTOUT_ATTEMPTS_NOT_CONVERTED,PENALTY_SHOOTOUT_ATTEMPTS_SAVES,PENALTY_SHOOTOUT_ATTEMPTS_SCORED,PROGRESSIVE_CARRIES,PROGRESSIVE_PASSES_ACCURACY,PROGRESSIVE_PASSES_ACCURATE,PROGRESSIVE_PASSES_TOTAL,PUNCHES_TOTAL,SAVES_TOTAL,SHOTS_BLOCKED,SHOTS_BOX_IN,SHOTS_BOX_OUT,SHOTS_FACED,SHOTS_HEAD,SHOTS_OFF_TARGET,SHOTS_ON_TARGET,SHOTS_TOTAL,TACKLES_EFFICIENCY,TACKLES_TOTAL,TACKLES_WON,TACKLE_LAST_MAN,THROUGH_BALLS,TOUCHES_BOX_OPPOSITE,TOUCHES_TOTAL,TURNOVERS
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,Casa,Arsenal,Gabriel Jesus,Attaccante,Subentrato,,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.5,0.5,2,1,2,1,0,0,0.002,0.058,0.0,0.0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,8,8,0,0,0,0.8,4,0.5,1,2,0.75,3,4,5,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1,1,0,1,1.0,1,1,0,0,1,9,1
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,Casa,Arsenal,Hincapie Piero,Terzino,Titolare,5.5,0,2,0,0,0,0,0,1,0,1,0,1,2,0,0.0,0,0,0.0,1,0,0.0,1,0,0.333,0.4,5,2,6,2,0,0,0.007,0.075,0.0,1.363,0,0,2,1,0,0,2,0,0,-0.637,-0.637,0.0,0,0,0,0,0,0,0,0.0,0,0,0.25,1,4,65,65,0,0,0,0.625,10,0.5,2,4,0.6,9,15,16,0,0,0,0,0,0,0,0,0.25,1,4,0,0,0,1,0,2,1,1,0,1,0.5,2,1,0,0,1,26,0
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,Casa,Arsenal,Gabriel,Difensore centrale,Titolare,6.4,0,1,0,0,0,0,0,1,0,0,0,0,6,0,0.0,0,1,0.0,0,0,1.0,1,1,0.6,0.5,4,2,5,3,0,0,0.018,0.0,0.0,1.363,0,0,3,2,0,0,2,0,0,-0.637,-0.637,0.0,0,0,0,1,0,0,0,0.0,0,0,0.286,2,7,90,90,0,0,3,0.824,42,0.4,2,5,0.813,39,48,51,0,0,0,0,0,0,0,0,0.385,5,13,0,0,0,0,0,2,0,0,0,0,0.5,2,1,0,0,1,68,0
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,Casa,Arsenal,Trossard Leandro,Ala,Titolare,6.1,0,6,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0,0,0.0,0,0,1.0,2,2,0.833,0.75,4,3,6,5,0,0,0.024,0.077,0.0,1.363,0,0,2,0,3,0,2,0,0,-0.637,-0.637,0.0,0,0,0,0,0,0,1,1.0,1,1,0.4,2,5,82,82,0,0,0,0.615,8,0.5,3,6,0.615,8,13,13,0,0,0,0,0,0,0,0,0.333,1,3,0,0,1,0,1,2,0,0,0,1,0.0,0,0,0,0,1,26,2
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,Casa,Arsenal,Arrizabalaga Kepa,Portiere,Titolare,5.2,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1,0,1,0,1,0,0.002,0.0,0.0,1.363,0,0,5,1,0,0,2,0,0,-0.637,-0.637,0.5,1,2,0,0,2,2,0,0.0,0,0,0.5,8,16,90,90,0,0,0,0.75,24,0.4,2,5,0.714,20,28,32,0,0,0,0,0,0,0,0,0.467,7,15,0,0,0,0,0,2,0,0,0,0,0.0,0,0,0,0,0,38,1
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,Ospite,Manchester City,Trafford James,Portiere,Titolare,7.9,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.001,0.0,0.0,0.743,0,0,2,0,0,0,0,0,0,0.743,0.743,0.0,0,0,0,0,0,1,0,0.0,0,0,0.4,6,15,90,90,0,0,0,0.609,14,0.5,1,2,0.643,9,14,23,0,0,0,0,0,0,0,0,0.357,5,14,0,4,0,0,0,4,0,0,0,0,0.0,0,0,0,0,0,28,0
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,Ospite,Manchester City,Silva Bernardo,Centrocampista,Titolare,6.8,0,9,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0,2,1.0,2,2,0.0,1,0,0.5,0.571,7,4,8,4,0,0,0.052,0.0,0.0,0.743,0,0,4,3,0,0,0,0,0,0.743,0.743,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,3,90,90,0,0,0,0.896,60,0.842,16,19,0.905,57,63,67,0,0,0,0,0,0,0,0,0.143,1,7,0,0,0,0,0,0,0,0,0,0,1.0,2,2,0,0,1,79,0
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,Ospite,Manchester City,Rodri,Centrocampista,Titolare,8.0,0,6,0,0,0,0,0,2,0,0,0,1,0,0,0.0,0,0,0.0,0,0,0.667,3,2,0.667,0.667,3,2,6,4,0,0,0.047,0.037,0.0,0.743,0,0,15,0,3,0,0,0,0,0.743,0.743,0.0,0,0,0,2,0,0,0,0.0,0,0,0.583,7,12,90,90,0,0,1,0.892,83,0.741,20,27,0.889,80,90,93,0,0,0,0,0,0,0,0,0.25,2,8,0,0,1,0,1,0,0,0,0,1,0.0,0,0,0,0,1,102,0
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,Ospite,Manchester City,Nunes Matheus,Terzino,Titolare,8.6,1,7,1,0,0,0,0,4,0,0,0,0,3,0,0.0,0,2,0.0,0,0,0.5,2,1,0.75,0.833,6,5,8,6,0,0,0.418,0.0,0.0,0.743,0,0,10,1,2,0,0,0,0,0.743,0.743,0.0,0,0,0,3,0,0,2,0.0,0,0,0.4,2,5,90,90,0,0,0,0.873,69,0.813,13,16,0.87,67,77,79,0,0,0,0,0,0,0,0,0.333,3,9,0,0,0,0,0,0,0,0,0,0,0.667,3,2,0,0,2,95,0
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,Ospite,Manchester City,Cherki Rayan,Centrocampista offensivo,Titolare,7.1,0,4,0,0,0,0,0,4,0,0,0,1,1,0,0.2,1,5,0.5,4,2,0.0,2,0,0.429,0.5,12,6,14,6,0,0,0.101,0.129,0.0,0.743,0,0,6,0,2,0,0,0,0,0.743,0.743,0.0,0,0,0,0,0,0,1,1.0,2,2,0.0,0,2,89,89,0,0,0,0.882,45,0.75,18,24,0.88,44,50,51,0,0,0,0,0,0,0,0,0.455,5,11,0,0,1,1,0,0,0,0,0,1,0.5,2,1,0,0,7,72,4
