Turno sito,Turno nuovo
1/16 FINALE,3° turno
1/32 FINALE,2° turno
1/64 FINALE,1° turno
1/8 FINALE,4° turno (ottavi)
FINALE,Finale
QUARTI DI FINALE,Quarti di finale
SEMI FINALI,Semifinali (andata)
SEMI FINALI,Semifinali (ritorno)
