competizione,turno,data,casa,ospite,game_id,b_arbitro,b_allenatori,b_undici_titolari,b_minuti_giocati,b_sostituzioni,b_statistiche_individuali,b_statistiche_squadra,incrociabile
Copa del Rey,First Round,2025-10-30,Real Ávila CF,Real Avilés CF,4743275.0,True,True,True,False,True,False,True,False
Copa del Rey,First Round,2025-10-30,UD Logroñés,SD Ponferradina,4743273.0,True,True,True,False,True,False,True,False
Copa del Rey,First Round,2025-10-30,UD Sámano,Deportivo de La Coruña,4743271.0,True,True,True,False,True,False,True,False
Copa del Rey,Second Round,2025-12-02,CD Ebro,CA Osasuna,4766838.0,True,True,True,True,True,True,True,True
Copa del Rey,Second Round,2025-12-02,CD Guadalajara,AD Ceuta FC,4766856.0,True,True,True,True,True,False,True,False
Copa del Rey,Second Round,2025-12-02,CD Numancia,RCD Mallorca,4766839.0,True,True,True,True,True,True,True,True
Copa del Rey,Second Round,2025-12-02,CDA Navalcarnero,Getafe CF,4766850.0,True,True,True,True,True,True,True,True
Copa del Rey,Second Round,2025-12-02,Club Portugalete,Deportivo Alavés,4766834.0,True,True,True,True,True,True,True,True
Copa del Rey,Second Round,2025-12-02,Racing Ferrol,SD Huesca,4766842.0,True,True,True,True,True,False,True,False
Copa del Rey,Second Round,2025-12-03,CD Cieza,Levante UD,4766847.0,True,True,True,True,True,True,True,True
Copa del Rey,Second Round,2025-12-03,CD Eldense,UD Almería,4766858.0,True,True,True,True,True,False,True,False
Copa del Rey,Second Round,2025-12-03,CD Mirandés,Sporting Gijón,4766844.0,True,True,True,True,True,False,True,False
Copa del Rey,Second Round,2025-12-03,CD Quintanar del Rey,Elche CF,4766849.0,True,True,True,True,True,False,True,False
Copa del Rey,Second Round,2025-12-03,CF Talavera de la Reina,Málaga CF,4766857.0,True,True,True,False,True,False,True,False
Copa del Rey,Second Round,2025-12-03,Club Atlético Antoniano,Villarreal CF,4766852.0,True,True,True,True,True,False,True,False
Copa del Rey,Second Round,2025-12-03,Cultural Leonesa,FC Andorra,4766845.0,True,True,True,True,True,False,True,False
Copa del Rey,Second Round,2025-12-03,Ourense CF,Girona FC,4766833.0,True,True,True,True,True,False,True,False
Copa del Rey,Second Round,2025-12-03,Pontevedra CF,SD Eibar,4766841.0,True,True,True,True,True,False,True,False
Copa del Rey,Second Round,2025-12-03,Real Murcia CF,Cádiz CF,4766855.0,True,True,True,True,True,False,True,False
Copa del Rey,Second Round,2025-12-03,Reus FC Reddis,Real Sociedad,4766835.0,True,True,True,True,True,True,True,True
Copa del Rey,Second Round,2025-12-03,Torrent CF,Real Betis Balompié,4766851.0,False,True,True,True,True,True,True,False
Copa del Rey,Second Round,2025-12-04,CD Atlético Baleares,RCD Espanyol Barcelona,4766837.0,True,True,True,True,True,True,True,True
Copa del Rey,Second Round,2025-12-04,CD Extremadura 1924,Sevilla FC,4766848.0,True,True,True,True,True,True,True,True
Copa del Rey,Second Round,2025-12-04,CD Leganés,Albacete Balompié,4766860.0,True,True,True,True,True,False,True,False
Copa del Rey,Second Round,2025-12-04,CD Tenerife,Granada CF,4766859.0,True,True,True,True,True,False,True,False
Copa del Rey,Second Round,2025-12-04,CE Sabadell FC,Deportivo de La Coruña,4766840.0,True,True,True,True,True,False,True,False
Copa del Rey,Second Round,2025-12-04,FC Cartagena,Valencia CF,4807306.0,True,True,True,True,True,True,True,True
Copa del Rey,Second Round,2025-12-04,Real Zaragoza,Burgos CF,4766846.0,True,True,True,True,True,False,True,False
Copa del Rey,Second Round,2025-12-04,Real Ávila CF,Rayo Vallecano,4766853.0,True,True,True,True,True,True,True,True
Copa del Rey,Second Round,2025-12-04,SD Ponferradina,Racing Santander,4766843.0,True,True,True,True,True,False,True,False
