competizione,paese,turno,data,casa,ospite,gol_casa_90,gol_ospite_90,gol_casa_finale,gol_ospite_finale,rigori_casa,rigori_ospite,supplementari,gol_casa_dichiarato,gol_ospite_dichiarato,eventi_incompleti,divisione_casa,divisione_ospite,dentro_perimetro,arbitro,stadio,spettatori,allenatore_casa,allenatore_ospite,modulo_casa,modulo_ospite,game_id,competition_id,home_club_id,away_club_id,fonte,url,sigla_divisione_casa,sigla_divisione_ospite
Copa del Rey,ES,First Round,2025-10-28,Atlético Tordesillas,Burgos CF,1,1,1,2,,,True,1,2,False,3.0,2.0,True,Eder Mallo Fernández,Las Salinas,1500.0,Álex Izquierdo,Luis Miguel Ramis,4-5-1 flat,4-5-1 flat,4743266,CDR,41604,1536,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743266,,
Copa del Rey,ES,First Round,2025-10-28,CD Extremadura 1924,UD Las Palmas,3,1,3,1,,,False,3,1,False,3.0,2.0,True,Manuel Jesús Orellana Cid,Francisco de la Hera,4167.0,Cisqui,Luis García,4-4-2,4-2-3-1,4743308,CDR,101648,472,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743308,,
Copa del Rey,ES,First Round,2025-10-28,CD Guadalajara,CP Cacereño,2,1,2,1,,,False,2,1,False,3.0,3.0,True,Luis Enrique Morona Del Campo,Pedro Escartín,2834.0,Pere Martí,Julio Cobos,4-2-3-1,4-2-3-1,4743313,CDR,16576,11602,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743313,,
Copa del Rey,ES,First Round,2025-10-28,CD Roda,Granada CF,1,5,1,5,,,False,1,5,False,3.0,2.0,True,Salvador Lax Franco,Ciutat Esportiva Pamesa Ceràmica,1200.0,Miguel Ángel Muñoz,Pacheta,4-2-3-1,4-2-3-1,4743294,CDR,27448,16795,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743294,,
Copa del Rey,ES,First Round,2025-10-28,CD Toledo,Sevilla FC,1,4,1,4,,,False,1,4,False,3.0,1.0,True,Guillermo Cuadra Fernández,Salto del Caballo,6648.0,Borja Bardera,Matías Almeyda,4-2-3-1,4-3-3 Attacking,4743291,CDR,2929,368,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743291,,
Copa del Rey,ES,First Round,2025-10-28,CD Tropezón,Cultural Leonesa,1,3,1,3,,,False,1,3,False,3.0,2.0,True,Miguel González Díaz,Municipal de Santa Ana,1200.0,Fernando Crespo,Cuco Ziganda,5-3-2,4-4-2,4743314,CDR,40162,4542,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743314,,
Copa del Rey,ES,First Round,2025-10-28,CE Constància,Girona FC,1,1,2,3,,,True,2,3,False,3.0,1.0,True,Javier Alberola Rojas,FIBWI Estadi Nou Camp d'Inca,4000.0,Guillem Llaneras,Míchel,4-3-3 Attacking,4-2-3-1,4743315,CDR,20963,12321,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743315,,
Copa del Rey,ES,First Round,2025-10-28,CF Inter de Valdemoro,Getafe CF,0,11,0,11,,,False,0,11,False,3.0,1.0,True,Iosu Galech Apezteguía,Coliseum,7900.0,Álvaro Plata,José Bordalás,4-2-3-1,4-3-3 Attacking,4743304,CDR,122524,3709,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743304,,
Copa del Rey,ES,First Round,2025-10-28,CF Rayo Majadahonda,CF Talavera de la Reina,1,4,1,4,,,False,1,4,False,3.0,3.0,True,Alexandre Alemán Pérez,Cerro del Espino,1900.0,Guille Fernández,Diego Nogales,4-2-3-1,4-2-3-1,4743310,CDR,13702,47421,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743310,,
Copa del Rey,ES,First Round,2025-10-28,Ourense CF,Real Oviedo,2,2,4,2,,,True,4,2,False,3.0,1.0,True,Adrián Cordero Vega,O Couto,3300.0,Dani Llácer,Luis Carrión,4-2-3-1,4-2-3-1,4743264,CDR,55398,2497,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743264,,
Copa del Rey,ES,First Round,2025-10-28,RSD Alcalá,CD Tenerife,0,4,0,4,,,False,0,4,False,3.0,3.0,True,Ruben Ruiperez Marin,Municipal El Val,4500.0,Ángel Vivar Dorado,Álvaro Cervera,4-2-3-1,4-4-2,4743312,CDR,13436,648,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743312,,
Copa del Rey,ES,First Round,2025-10-28,SD Logroñés,Racing Santander,0,4,0,4,,,False,0,4,False,3.0,2.0,True,Alonso de Ena Wolf,Las Gaunas,3857.0,Adrián Cantabrana,José Alberto López,4-1-4-1,4-2-3-1,4743270,CDR,33303,630,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743270,,
Copa del Rey,ES,First Round,2025-10-28,SD Negreira,Real Sociedad,0,3,0,3,,,False,0,3,False,3.0,1.0,True,Isidro Díaz de Mera Escuderos,Jesús García Calvo,3000.0,Adrián Vázquez,Sergio Francisco,4-4-2,4-3-3 Attacking,4743262,CDR,20233,681,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743262,,
Copa del Rey,ES,First Round,2025-10-28,UCAM Murcia CF,Cádiz CF,1,3,1,3,,,False,1,3,False,3.0,2.0,True,Luis Bestard Servera,BeSoccer La Condomina,2777.0,Germán Crespo,Gaizka Garitano,4-2-3-1,4-2-3-1,4743298,CDR,34148,2687,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743298,,
Copa del Rey,ES,First Round,2025-10-28,UD Maracena,Valencia CF,0,5,0,5,,,False,0,5,False,3.0,1.0,True,Francisco José Hernández Maeso,Nuevo Los Cármenes,8558.0,Javier Vilaseca,Carlos Corberán,4-2-3-1,4-2-3-1,4743290,CDR,34119,1049,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743290,,
Copa del Rey,ES,First Round,2025-10-28,UD San Fernando,Albacete Balompié,0,3,0,3,,,False,0,3,False,3.0,2.0,True,Rafael Sánchez López,Eleuterio Valerón,2000.0,Juan Carlos Socorro,Alberto González,4-2-3-1,4-4-2,4743307,CDR,57379,1532,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743307,,
Copa del Rey,ES,First Round,2025-10-28,UP Langreo,Racing Ferrol,0,0,0,0,3.0,4.0,False,3,4,False,3.0,3.0,True,Guillermo Cueto Amigo,Ganzábal,600.0,Pablo Acebal,Pablo López,4-2-3-1,4-3-3 Attacking,4743274,CDR,16646,1176,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743274,,
