competizione,turno_diretta,data,casa,ospite,club_casa,club_ospite,id_diretta,game_id,turno_nostro
FA Cup,3° turno,2026-01-12,Liverpool,Barnsley,31,349,80rUVEzJ,4788528.0,Third Round
FA Cup,3° turno,2026-01-20,Salford,Swindon,34888,352,UZELZdyf,4788511.0,Third Round
FA Cup,4° turno,2026-02-13,Hull,Chelsea,3008,631,GU556NXG,4808360.0,Fourth Round
FA Cup,4° turno,2026-02-13,Wrexham,Ipswich,1112,677,p8SFMZNE,4808361.0,Fourth Round
FA Cup,4° turno,2026-02-14,Burton,West Ham,2963,379,Of9D412T,4808362.0,Fourth Round
FA Cup,4° turno,2026-02-14,Manchester City,Salford,281,34888,pUikwmj4,4808364.0,Fourth Round
FA Cup,4° turno,2026-02-14,Burnley,Mansfield,1132,3820,4CkTbWV7,4808363.0,Fourth Round
FA Cup,4° turno,2026-02-14,Southampton,Leicester,180,1003,j97fFiGl,4808367.0,Fourth Round
FA Cup,4° turno,2026-02-14,Norwich,West Brom,1123,984,zZxWMrIc,4808365.0,Fourth Round
FA Cup,4° turno,2026-02-14,Aston Villa,Newcastle,405,762,UXVvLMnA,4808368.0,Fourth Round
FA Cup,4° turno,2026-02-14,Liverpool,Brighton,31,1237,A5IItPkR,4808369.0,Fourth Round
FA Cup,4° turno,2026-02-15,Birmingham,Leeds,337,399,AHz58q34,4808370.0,Fourth Round
FA Cup,4° turno,2026-02-15,Grimsby,Wolves,1034,543,0KhC2EWr,4808371.0,Fourth Round
FA Cup,4° turno,2026-02-15,Oxford Utd,Sunderland,988,289,dnnL0h1e,4808372.0,Fourth Round
FA Cup,4° turno,2026-02-15,Stoke,Fulham,512,931,WOQNKDhR,4808373.0,Fourth Round
FA Cup,4° turno,2026-02-15,Arsenal,Wigan,11,1071,x4xcA5Yi,4808374.0,Fourth Round
FA Cup,4° turno,2026-02-16,Macclesfield,Brentford,85287,1148,8SppauQj,4808375.0,Fourth Round
FA Cup,4° turno,2026-03-03,Port Vale,Bristol City,1211,698,MefAn2to,4808366.0,Fourth Round
FA Cup,5° turno,2026-03-06,Wolves,Liverpool,543,31,EuLBpXrm,4827502.0,Round of 16
FA Cup,5° turno,2026-03-07,Mansfield,Arsenal,3820,11,nRvZvTCO,4827505.0,Round of 16
FA Cup,5° turno,2026-03-07,Wrexham,Chelsea,1112,631,fJMRtkrC,4827503.0,Round of 16
FA Cup,5° turno,2026-03-07,Newcastle,Manchester City,762,281,2wFraWct,4827501.0,Round of 16
FA Cup,5° turno,2026-03-08,Fulham,Southampton,931,180,ngJJrBDa,4827506.0,Round of 16
FA Cup,5° turno,2026-03-08,Port Vale,Sunderland,1211,289,O2KqbRse,4827508.0,Round of 16
FA Cup,5° turno,2026-03-08,Leeds,Norwich,399,1123,rcUujgLP,4827507.0,Round of 16
FA Cup,5° turno,2026-03-09,West Ham,Brentford,379,1148,ny8tqO15,4827504.0,Round of 16
FA Cup,QUARTI DI FINALE,2026-04-04,Manchester City,Liverpool,281,31,rmHHwXNs,4844306.0,Quarter-Finals
FA Cup,QUARTI DI FINALE,2026-04-04,Chelsea,Port Vale,631,1211,nHVoqg0K,4844307.0,Quarter-Finals
FA Cup,QUARTI DI FINALE,2026-04-04,Southampton,Arsenal,180,11,jDKPyBhf,4844308.0,Quarter-Finals
FA Cup,QUARTI DI FINALE,2026-04-05,West Ham,Leeds,379,399,EgMYT5mm,4844309.0,Quarter-Finals
FA Cup,SEMI FINALI,2026-04-25,Manchester City,Southampton,281,180,QJ08pSZF,4859279.0,Semi-Finals
FA Cup,SEMI FINALI,2026-04-26,Chelsea,Leeds,631,399,Yq4Gr64S,4859278.0,Semi-Finals
FA Cup,FINALE,2026-05-16,Chelsea,Manchester City,631,281,6uTuOILk,,Final
