competizione,turno_diretta,data,casa,ospite,club_casa,club_ospite,id_diretta,game_id,turno_nostro
DFB-Pokal,QUARTI DI FINALE,2026-02-03,Leverkusen,St. Pauli,15,35,b1w0jTWN,4782526.0,Quarter-Finals
DFB-Pokal,1/8 FINALE,2025-12-03,Amburgo,Kiel,41,269,pA5nAoI8,4761587.0,Round of 16
DFB-Pokal,1/8 FINALE,2025-12-03,Union Berlino,Bayern,89,27,hGI0nrQ1,4761581.0,Round of 16
DFB-Pokal,1/8 FINALE,2025-12-03,Bochum,Stoccarda,80,79,QakDen3F,4761582.0,Round of 16
DFB-Pokal,1/8 FINALE,2025-12-03,Friburgo,Darmstadt,60,105,d24Q23Ar,4761584.0,Round of 16
DFB-Pokal,1/8 FINALE,2025-12-02,Dortmund,Leverkusen,16,15,IHhZ0sue,4761580.0,Round of 16
DFB-Pokal,1/8 FINALE,2025-12-02,RB Lipsia,Magdeburg,23826,187,txae8PnL,4761586.0,Round of 16
DFB-Pokal,1/8 FINALE,2025-12-02,Hertha,Kaiserslautern,44,2,nFwMgQXR,4761583.0,Round of 16
DFB-Pokal,1/8 FINALE,2025-12-02,Monchengladbach,St. Pauli,18,35,dlPil4ek,4761585.0,Round of 16
DFB-Pokal,1/16 FINALE,2025-10-29,Colonia,Bayern,3,27,UTBdLGkg,4717160.0,Second Round
DFB-Pokal,1/16 FINALE,2025-10-29,Darmstadt,Schalke,105,33,QZTU6Hz0,4717158.0,Second Round
DFB-Pokal,1/16 FINALE,2025-10-29,Dusseldorf,Friburgo,38,60,Ugemfvif,4717154.0,Second Round
DFB-Pokal,1/16 FINALE,2025-10-29,Union Berlino,Bielefeld,89,10,bmSx5e5C,4717156.0,Second Round
DFB-Pokal,1/16 FINALE,2025-10-29,Furth,Kaiserslautern,65,2,xfF4JfK5,4717147.0,Second Round
DFB-Pokal,1/16 FINALE,2025-10-29,Illertissen,Magdeburg,1468,187,bPqjEarQ,4717145.0,Second Round
DFB-Pokal,1/16 FINALE,2025-10-29,Magonza,Stoccarda,39,79,QLldhIL6,4717149.0,Second Round
DFB-Pokal,1/16 FINALE,2025-10-29,Paderborn,Leverkusen,127,15,Ikrv3ZZO,4717159.0,Second Round
DFB-Pokal,1/16 FINALE,2025-10-28,Augusta,Bochum,167,80,xdG81MbK,4717148.0,Second Round
DFB-Pokal,1/16 FINALE,2025-10-28,Cottbus,RB Lipsia,25,23826,U7zM8w6m,4717151.0,Second Round
DFB-Pokal,1/16 FINALE,2025-10-28,Monchengladbach,Karlsruher,18,48,WbTMwJ6D,4717152.0,Second Round
DFB-Pokal,1/16 FINALE,2025-10-28,St. Pauli,Hoffenheim,35,533,8ENmNxLt,4717150.0,Second Round
DFB-Pokal,1/16 FINALE,2025-10-28,Francoforte,Dortmund,24,16,dtcud0Ms,4717153.0,Second Round
DFB-Pokal,1/16 FINALE,2025-10-28,Heidenheim,Amburgo,2036,41,Wh8DHYlI,4717146.0,Second Round
DFB-Pokal,1/16 FINALE,2025-10-28,Hertha,Elversberg,44,64,AquEuux1,4717157.0,Second Round
DFB-Pokal,1/16 FINALE,2025-10-28,Wolfsburg,Kiel,82,269,IT63jdjJ,4717155.0,Second Round
DFB-Pokal,1/32 FINALE,2025-08-27,Wehen,Bayern,108,27,tMhdEiQ1,4623575.0,First Round
DFB-Pokal,1/32 FINALE,2025-08-26,Braunschweig,Stoccarda,23,79,Uuv9JRpp,4623595.0,First Round
DFB-Pokal,1/32 FINALE,2025-08-18,RW Essen,Dortmund,56,16,pfamGDek,4623596.0,First Round
