date,season,league,home_team,away_team,home_goals,away_goals,result,home_sot,away_sot,odds_home,odds_draw,odds_away,odds_over25,odds_under25,home_xg,away_xg,home_npxg,home_ppda,home_deep,away_npxg,away_ppda,away_deep,home_squad_value,away_squad_value,home_absent_count_est,home_absent_value_est,away_absent_count_est,away_absent_value_est,home_rest_days_full,away_rest_days_full,home_midweek_europe,away_midweek_europe,odds_home_open,odds_draw_open,odds_away_open,odds_over25_open,odds_under25_open
2017-08-19,1718,serie_a,Juventus,Cagliari,3,0,H,7,2,1.15,7.72,20.79,1.55,2.41,1.27155,1.39829,1.27155,9.958333333333334,9.0,0.636992,16.653846153846153,5.0,496300000.0,56700000.0,0.0,0.0,0.0,0.0,,,0,0,,,,,
2017-08-19,1718,serie_a,Verona,Napoli,1,3,A,4,12,7.59,4.71,1.41,1.61,2.29,1.39528,2.62234,0.633985,31.58333333333333,4.0,2.62234,10.0,13.0,37725000.0,,2.0,2000000.0,0.0,0.0,,,0,0,,,,,
2017-08-20,1718,serie_a,Atalanta,Roma,0,1,A,6,1,3.12,3.39,2.27,1.76,2.06,1.48324,0.362356,1.48324,5.827586206896552,4.0,0.362356,9.26923076923077,5.0,105600000.0,321000000.0,0.0,0.0,3.0,23500000.0,,,0,0,,,,,
2017-08-20,1718,serie_a,Bologna,Torino,1,1,D,3,3,3.14,3.27,2.33,2.07,1.75,0.568427,0.314472,0.568427,15.0,6.0,0.314472,10.15,4.0,66150000.0,129975000.0,2.0,3400000.0,3.0,6750000.0,,,0,0,,,,,
2017-08-20,1718,serie_a,Crotone,Milan,0,3,A,2,10,5.71,4.02,1.59,1.75,2.06,0.302867,2.0921,0.302867,38.18181818181818,3.0,1.3308,4.222222222222222,18.0,33800000.0,272550000.0,1.0,700000.0,0.0,0.0,,,0,0,,,,,
2017-08-20,1718,serie_a,Inter,Fiorentina,3,0,H,6,3,1.55,4.11,6.07,1.71,2.13,2.71454,0.411971,1.95324,18.4375,12.0,0.411971,13.4,3.0,253000000.0,128075000.0,1.0,15000000.0,0.0,0.0,,,0,0,,,,,
2017-08-20,1718,serie_a,Lazio,Spal,0,0,D,13,2,1.29,5.37,10.9,1.67,2.18,0.757926,0.625722,0.757926,6.923076923076923,6.0,0.625722,22.818181818181817,2.0,,53300000.0,3.0,42000000.0,1.0,4000000.0,,,0,0,,,,,
2017-08-20,1718,serie_a,Sampdoria,Benevento,2,1,H,6,7,1.66,3.71,5.5,1.96,1.85,2.84573,1.05409,2.84573,6.6,11.0,1.05409,18.27272727272728,3.0,91050000.0,61300000.0,1.0,4000000.0,4.0,5525000.0,,,0,0,,,,,
2017-08-20,1718,serie_a,Sassuolo,Genoa,0,0,D,3,4,2.16,3.32,3.42,1.96,1.85,0.448836,0.973373,0.448836,16.928571428571427,5.0,0.973373,9.608695652173912,11.0,113000000.0,91300000.0,1.0,1000000.0,2.0,4400000.0,,,0,0,,,,,
2017-08-20,1718,serie_a,Udinese,Chievo,1,2,A,5,3,2.09,3.25,3.72,2.23,1.65,0.725552,0.422866,0.725552,12.3,4.0,0.422866,13.85,4.0,74200000.0,,0.0,0.0,2.0,3750000.0,,,0,0,,,,,
2017-08-26,1718,serie_a,Benevento,Bologna,0,1,A,5,4,2.7,3.15,2.73,2.18,1.67,0.798588,1.79492,0.798588,9.0,11.0,1.79492,11.578947368421051,1.0,61300000.0,66150000.0,4.0,5525000.0,2.0,3400000.0,6.0,6.0,0,0,,,,,
2017-08-26,1718,serie_a,Genoa,Juventus,2,4,A,3,7,9.06,4.55,1.38,1.84,1.96,1.21323,2.13228,0.451933,25.88235294117647,8.0,1.37098,16.933333333333334,9.0,91300000.0,496300000.0,1.0,4000000.0,1.0,25000000.0,6.0,7.0,0,0,,,,,
2017-08-26,1718,serie_a,Roma,Inter,1,3,A,3,8,2.29,3.49,3.03,1.63,2.26,1.34009,2.45224,1.34009,12.454545454545457,10.0,2.45224,14.0,10.0,321000000.0,253000000.0,3.0,23500000.0,1.0,15000000.0,6.0,6.0,0,0,,,,,
2017-08-27,1718,serie_a,Chievo,Lazio,1,2,A,5,3,3.49,3.29,2.16,2.0,1.81,0.772094,1.36642,0.772094,10.26923076923077,10.0,1.36642,13.789473684210526,7.0,,,2.0,3750000.0,2.0,35000000.0,7.0,7.0,0,0,,,,,
2017-08-27,1718,serie_a,Crotone,Verona,0,0,D,4,0,2.45,3.14,3.04,2.19,1.67,0.74833,0.227079,0.74833,10.928571428571429,5.0,0.227079,8.666666666666666,3.0,33800000.0,37725000.0,4.0,3500000.0,3.0,3200000.0,7.0,8.0,0,0,,,,,
2017-08-27,1718,serie_a,Fiorentina,Sampdoria,1,2,A,10,5,1.85,3.62,4.24,1.76,2.05,1.86088,2.14547,1.86088,7.074074074074074,11.0,1.38417,14.72222222222222,4.0,128075000.0,91050000.0,0.0,0.0,1.0,4000000.0,7.0,7.0,0,0,,,,,
2017-08-27,1718,serie_a,Milan,Cagliari,2,1,H,5,4,1.22,6.32,12.87,1.48,2.58,1.42114,0.559323,1.42114,9.851851851851851,2.0,0.559323,10.545454545454543,8.0,272550000.0,56700000.0,1.0,50000.0,1.0,3000000.0,7.0,8.0,0,0,,,,,
2017-08-27,1718,serie_a,Napoli,Atalanta,3,1,H,4,2,1.41,4.73,7.66,1.56,2.4,1.1536,0.633447,1.1536,7.3125,10.0,0.633447,10.666666666666666,3.0,,105600000.0,0.0,0.0,0.0,0.0,8.0,7.0,0,0,,,,,
