player_id,nome,nostro,censurato,stato,url,identita,bday_pagina,nascita_attesa,identita_wikidata,forma_discrepanza
51471,Mateo Kovacic,True,True,ok,https://en.wikipedia.org/wiki/Mateo_Kovacic,confermata_data,1994-05-06,1994-05-06,,
45320,Ángel Di María,True,True,ok,https://en.wikipedia.org/wiki/%C3%81ngel_Di_Mar%C3%ADa,confermata_data,1988-02-14,1988-02-14,,
124502,Matthias Ginter,True,True,ok,https://en.wikipedia.org/wiki/Matthias_Ginter,confermata_data,1994-01-19,1994-01-19,,
31909,Toni Kroos,True,True,ok,https://en.wikipedia.org/wiki/Toni_Kroos,confermata_data,1990-01-04,1990-01-04,,
61651,Jordan Henderson,True,True,ok,https://en.wikipedia.org/wiki/Jordan_Henderson,confermata_data,1990-06-17,1990-06-17,,
131075,Francesco Acerbi,True,True,ok,https://en.wikipedia.org/wiki/Francesco_Acerbi,confermata_data,1988-02-10,1988-02-10,,
238223,Ederson,True,True,nessun_infobox,https://en.wikipedia.org/wiki/Ederson,non_verificata,,1993-08-17,,
93720,Alexandre Lacazette,True,True,ok,https://en.wikipedia.org/wiki/Alexandre_Lacazette,confermata_data,1991-05-28,1991-05-28,,
182932,Davy Klaassen,True,True,ok,https://en.wikipedia.org/wiki/Davy_Klaassen,confermata_data,1993-02-21,1993-02-21,,
91970,Juan Cuadrado,True,True,ok,https://en.wikipedia.org/wiki/Juan_Cuadrado,confermata_data,1988-05-26,1988-05-26,,
181767,Marquinhos,True,True,ok,https://en.wikipedia.org/wiki/Marquinhos,confermata_data,1994-05-14,1994-05-14,,
206050,Paulo Dybala,True,True,ok,https://en.wikipedia.org/wiki/Paulo_Dybala,confermata_data,1993-11-15,1993-11-15,,
39728,Mats Hummels,True,True,ok,https://en.wikipedia.org/wiki/Mats_Hummels,confermata_data,1988-12-16,1988-12-16,,
126665,Idrissa Gueye,True,True,ok,https://en.wikipedia.org/wiki/Idrissa_Gueye,confermata_data,1989-09-26,1989-09-26,,
50219,Simon Mignolet,True,True,ok,https://en.wikipedia.org/wiki/Simon_Mignolet,confermata_data,1988-03-06,1988-03-06,,
