Competizione,Turno,Data,Casa,Ospite,Gol casa 90,Gol ospite 90,Gol casa dts,Gol ospite dts,Rigori casa,Rigori ospite,Risultato (esteso),Nota andata/ritorno,Stat giocatori disponibili,ID partita
Coppa di Francia,7° turno,15.11.2025,Montmorillon,Beaucouze,0,1,,,,,0-1,,No,UoT32cAk
Coppa di Francia,7° turno,15.11.2025,SS Allinges,Istres,1,2,,,,,1-2,,No,W6o5ebGl
Coppa di Francia,7° turno,15.11.2025,Seignosse Capbreton,Marmande,2,3,,,,,2-3,,No,vXluSf2m
Coppa di Francia,7° turno,15.11.2025,Etoile Matoury,Le Geldar,1,1,,,2,3,"1-1, poi rigori 2-3",,No,vePoFU5F
Coppa di Francia,7° turno,15.11.2025,Auch,Canet Roussillon,1,4,,,,,1-4,,No,0nwlQYWa
Coppa di Francia,7° turno,15.11.2025,Gouzon Avenir,Chauvigny,1,5,,,,,1-5,,No,APCFgTRH
Coppa di Francia,7° turno,15.11.2025,Moulien,AS Le Gosier,2,3,,,,,2-3,,No,h2Bmk9Mk
Coppa di Francia,7° turno,15.11.2025,Quetigny,St. Etienne,1,3,,,,,1-3,,No,SOyIbppm
Coppa di Francia,7° turno,16.11.2025,Reims Ste Anne,GFC Ajaccio,2,1,,,,,2-1,,No,YJHjaXct
Coppa di Francia,7° turno,16.11.2025,Saint-Pauloise,Dominicaine,1,0,,,,,1-0,,No,SlTmwk6d
Coppa di Francia,7° turno,16.11.2025,Avion,Torcy,0,2,,,,,0-2,,No,4O5Oi7dU
Coppa di Francia,7° turno,16.11.2025,Bassin d'Arcachon,Blagnac,4,1,,,,,4-1,,No,YXM7p3IE
Coppa di Francia,7° turno,16.11.2025,Camon,Lusitanos,0,7,,,,,0-7,,No,2a97ekc5
Coppa di Francia,7° turno,16.11.2025,Cormontreuil,Porto Portugais,5,2,,,,,5-2,,No,KztYBAsn
Coppa di Francia,7° turno,16.11.2025,ES Cappelle,Abbeville,2,3,,,,,2-3,,No,2Ja7dp0k
Coppa di Francia,7° turno,16.11.2025,Longuenesse,Bondues,0,2,,,,,0-2,,No,zNf1IRM8
Coppa di Francia,7° turno,16.11.2025,Etoile Bobigny,Villeneuve-la-Garenne,1,1,,,4,5,"1-1, poi rigori 4-5",,No,rXHTL4NN
Coppa di Francia,7° turno,16.11.2025,JA Drancy,Beauvais,0,0,,,3,4,"0-0, poi rigori 3-4",,No,nsjPq7Gq
Coppa di Francia,7° turno,16.11.2025,Mauguio Carnon,Selongey,0,0,,,2,4,"0-0, poi rigori 2-4",,No,6kBRauNP
Coppa di Francia,7° turno,16.11.2025,Mutzig,Raon L Etape,0,3,,,,,0-3,,No,xWzOfSic
Coppa di Francia,7° turno,16.11.2025,Nord Lozere,Ecotay Moingt,4,4,,,3,4,"4-4, poi rigori 3-4",,No,WWf6hcFa
Coppa di Francia,7° turno,16.11.2025,Olympique Marcquois,Aire-sur-la-Lys,5,0,,,,,5-0,,No,rmb9G5iL
Coppa di Francia,7° turno,16.11.2025,Pierrelatte,Lyon - La Duchere,0,2,,,,,0-2,,No,4KqDgxo1
Coppa di Francia,7° turno,16.11.2025,Pledran,Plabennec,0,2,,,,,0-2,,No,vyoP4R4M
Coppa di Francia,7° turno,16.11.2025,SA Beaumont,Aubervilliers,4,7,,,,,4-7,,No,S4g0Groo
Coppa di Francia,7° turno,16.11.2025,Saint-Brice Courcelles,Bogny,1,1,,,2,4,"1-1, poi rigori 2-4",,No,CKoIbPSk
Coppa di Francia,7° turno,16.11.2025,Saint-Cyr Collonges,Thonon-Evian,0,0,,,4,2,"0-0, poi rigori 4-2",,No,Ek3e6FU6
Coppa di Francia,7° turno,16.11.2025,SA Merignac,Colomiers,0,0,,,6,5,"0-0, poi rigori 6-5",,No,MyKKOLee
Coppa di Francia,7° turno,16.11.2025,Saint-Meziery,Perigny,1,1,,,2,4,"1-1, poi rigori 2-4",,No,dzAFOmRi
Coppa di Francia,7° turno,16.11.2025,Savigneux Montbrison,Feurs,3,5,,,,,3-5,,No,EeOuxxVI
Coppa di Francia,7° turno,16.11.2025,Wittenheim,Freyming,2,2,,,2,3,"2-2, poi rigori 2-3",,No,tv2w6Aph
Coppa di Francia,7° turno,16.11.2025,Le Poinconnet,Romorantin,0,2,,,,,0-2,,No,G2ZtAlCb
Coppa di Francia,7° turno,16.11.2025,Pen Hir,Les Sables,1,1,,,7,8,"1-1, poi rigori 7-8",,No,6oV3cqcd
Coppa di Francia,7° turno,16.11.2025,St. Renan,Stade Briochin,0,4,,,,,0-4,,No,bLRea5Sq
Coppa di Francia,7° turno,16.11.2025,Saint Amand,Dieppe,0,3,,,,,0-3,,No,ALKS3S7F
Coppa di Francia,7° turno,16.11.2025,Vitre,Plouvorn,1,1,,,3,4,"1-1, poi rigori 3-4",,No,Yc6bJQJF
Coppa di Francia,7° turno,16.11.2025,Touraine,Epernay,1,1,,,4,3,"1-1, poi rigori 4-3",,No,Um8NMRe4
Coppa di Francia,7° turno,16.11.2025,Agde,Montpellier,0,2,,,,,0-2,,No,AcrGst1s
Coppa di Francia,7° turno,16.11.2025,Boulogne,Dunkerque,2,2,,,3,5,"2-2, poi rigori 3-5",,No,fRHEfOU1
Coppa di Francia,7° turno,16.11.2025,Blois,Clermont,1,1,,,7,6,"1-1, poi rigori 7-6",,No,tpLbcBSh
Coppa di Francia,7° turno,16.11.2025,EBBE,Bordeaux,0,1,,,,,0-1,,No,MF6VxCG5
Coppa di Francia,7° turno,16.11.2025,Forbach,Red Star,0,2,,,,,0-2,,No,040Rfpxi
Coppa di Francia,7° turno,16.11.2025,Nancy,GSA Tomblaine,5,0,,,,,5-0,,No,AJgf2SqH
Coppa di Francia,8° turno,28.11.2025,Concarneau,Stade Briochin,1,0,,,,,1-0,,No,lAnqiQo3
Coppa di Francia,8° turno,28.11.2025,Sarreguemines,Nancy,3,4,,,,,3-4,,No,G0pLVIJP
Coppa di Francia,8° turno,28.11.2025,Annecy,Grenoble,1,2,,,,,1-2,,No,fFN7MEtC
Coppa di Francia,8° turno,29.11.2025,Torcy,Reims,1,5,,,,,1-5,,No,6eMhDkn1
Coppa di Francia,8° turno,29.11.2025,Montceau,Montpellier,0,2,,,,,0-2,,No,xx6CTAWs
Coppa di Francia,8° turno,29.11.2025,Bogny,Lusitanos,0,3,,,,,0-3,,No,jsHGKhBO
Coppa di Francia,8° turno,29.11.2025,Freyming,Besancon,1,0,,,,,1-0,,No,QcxfBTGD
Coppa di Francia,8° turno,29.11.2025,Sarre Union,Sochaux,0,6,,,,,0-6,,No,lx9GkDAb
Coppa di Francia,8° turno,29.11.2025,Reims Ste Anne,Amiens,0,4,,,,,0-4,,No,bksNirKN
Coppa di Francia,8° turno,29.11.2025,IC Croix,Le Geldar,2,1,,,,,2-1,,No,bPFzO60J
Coppa di Francia,8° turno,29.11.2025,Saint-Jean,Orleans,1,2,,,,,1-2,,No,UXXhnMso
Coppa di Francia,8° turno,29.11.2025,Biesheim,Red Star,1,1,,,9,8,"1-1, poi rigori 9-8",,No,vs6CXJXF
Coppa di Francia,8° turno,29.11.2025,Canet Roussillon,Rodez,1,0,,,,,1-0,,No,QwtwJKIM
Coppa di Francia,8° turno,29.11.2025,Saint-Malo,Bastia,0,0,,,4,5,"0-0, poi rigori 4-5",,No,UXyjZiQH
Coppa di Francia,8° turno,29.11.2025,Laval,Saint-Pauloise,6,0,,,,,6-0,,No,Ch7d6sZG
Coppa di Francia,8° turno,29.11.2025,Hauts Lyonnais,Feurs,1,1,,,4,2,"1-1, poi rigori 4-2",,No,A7Z4cnjn
Coppa di Francia,8° turno,29.11.2025,Abbeville,Dunkerque,0,5,,,,,0-5,,No,YsOpFBHl
Coppa di Francia,8° turno,29.11.2025,Romorantin,Blois,2,2,,,6,7,"2-2, poi rigori 6-7",,No,8ImsyEe5
Coppa di Francia,8° turno,29.11.2025,Beauvais,Dieppe,1,2,,,,,1-2,,No,GOA8iZun
Coppa di Francia,8° turno,29.11.2025,Olympique Marcquois,Bondues,2,0,,,,,2-0,,No,U9k6eQKb
Coppa di Francia,8° turno,29.11.2025,Villeneuve-la-Garenne,Le Mans,2,2,,,2,4,"2-2, poi rigori 2-4",,No,rDFuAPZi
Coppa di Francia,8° turno,29.11.2025,Selongey,Bourg en Bresse,2,3,,,,,2-3,,No,xzgEg4kB
Coppa di Francia,8° turno,29.11.2025,Lyon - La Duchere,Carnoux F.C.,3,1,,,,,3-1,,No,jLPHBxBd
Coppa di Francia,8° turno,29.11.2025,Plabennec,Les Herbiers,1,2,,,,,1-2,,No,nqyiQdsm
Coppa di Francia,8° turno,29.11.2025,SA Merignac,Pau FC,1,0,,,,,1-0,,No,8bPaOzCa
Coppa di Francia,8° turno,29.11.2025,Fontenay,Chateauroux,4,1,,,,,4-1,,No,j32vsR55
Coppa di Francia,8° turno,29.11.2025,Seyssinet,Istres,0,2,,,,,0-2,,No,0l6lVrPq
Coppa di Francia,8° turno,29.11.2025,APM Metz,Feignies-Aulnoye,0,2,,,,,0-2,,No,UmEVrmyg
Coppa di Francia,8° turno,29.11.2025,Yvetot,Bayeux,0,1,,,,,0-1,,No,GQDm8344
Coppa di Francia,8° turno,29.11.2025,Montreuil,Granville,1,1,,,4,3,"1-1, poi rigori 4-3",,No,KIA44L3T
Coppa di Francia,8° turno,29.11.2025,Steenvoorde,Bethune,0,0,,,20,21,"0-0, poi rigori 20-21",,No,xtdOp96t
