Competizione,Turno,Data,Casa,Ospite,Lato,Squadra,Giocatore,Ruolo,Stato,Rating,ID partita,PENALTIES_COMMITTED,PENALTY_SHOOTOUT_ATTEMPTS_SAVES,PENALTY_SHOOTOUT_ATTEMPTS_SCORED,HIT_WOODWORK,TURNOVERS,CHALLENGE_LOST,PENALTIES_NOT_CONVERTED,PENALTY_SHOOTOUT_ATTEMPTS_NOT_CONVERTED,GOALS_PREVENTED_NO_PENALTIES,PASSES_OPEN_PLAY_ACCURACY,PASSES_OPEN_PLAY_ACCURATE,PASSES_OPEN_PLAY_TOTAL,DUELS_EFFICIENCY,TACKLE_LAST_MAN,CLEARANCES_OFF_LINE,BIG_CHANCES_SAVED,PENALTIES_SAVED,GOALS_PENALTY,PENALTIES_WON,ASSISTS_GOAL,BIG_CHANCES_CREATED,BIG_CHANCES_MISSED,CARDS_RED,CARDS_YELLOW,CLEARANCES,CROSSES_ACCURACY,CROSSES_TOTAL,CROSSES_ACCURATE,DRIBBLES_EFFICIENCY,DUELS_AERIAL_TOTAL,DRIBBLES_TOTAL,DRIBBLES_WON,DUELS_AERIAL_EFFICIENCY,DUELS_AERIAL_WON,DUELS_GROUND_EFFICIENCY,DUELS_GROUND_TOTAL,DUELS_GROUND_WON,DUELS_TOTAL,ERRORS_LEAD_TO_GOAL,ERRORS_LEAD_TO_SHOT,EXPECTED_ASSISTS,EXPECTED_GOALS,EXPECTED_GOALS_ON_TARGET,EXPECTED_GOALS_ON_TARGET_FACED,FOULS_COMMITTED,FOULS_SUFFERED,GOALS,GOALS_CONCEDED,GOALS_OWN,GOALS_PREVENTED,INTERCEPTIONS,KEEPER_SWEEPER_TOTAL,KEEPER_THROWS_TOTAL,LONG_BALLS_ACCURACY,LONG_BALLS_TOTAL,LONG_BALLS_ACCURATE,MATCH_MINUTES_PLAYED,OFFSIDES,PASSES_ACCURACY,PASSES_TOTAL,PASSES_ACCURATE,PASSES_FINAL_THIRD_ACCURACY,PASSES_FINAL_THIRD_TOTAL,PASSES_FINAL_THIRD_ACCURATE,PUNCHES_TOTAL,SAVES_TOTAL,SHOTS_BLOCKED,SHOTS_BOX_IN,SHOTS_BOX_OUT,SHOTS_HEAD,SHOTS_OFF_TARGET,SHOTS_ON_TARGET,SHOTS_TOTAL,TACKLES_EFFICIENCY,TACKLES_TOTAL,TACKLES_WON,TOUCHES_BOX_OPPOSITE,TOUCHES_TOTAL,SHOTS_FACED,CARDS_YELLOW_SECOND,MATCH_ON_PITCH_LIVE,MATCH_MINUTES_PLAYED_LIVE,KEY_PASSES,BOX_ENTRIES_EFFICIENCY,BOX_ENTRIES_ACCURATE,BOX_ENTRIES_TOTAL,THROUGH_BALLS,LAYOFFS_ACCURACY,LAYOFFS_ACCURATE,LAYOFFS_TOTAL,FINAL_THIRD_ENTRIES_TOTAL,FINAL_THIRD_ENTRIES_SUCCESSFUL,FINAL_THIRD_ENTRIES_EFFICIENCY,BALL_RECOVERIES,HIGH_CLAIM_EFFICIENCY,HIGH_CLAIM_TOTAL,HIGH_CLAIM_SAVED,DUELS_WON,OUTFIELDER_BLOCKS,PROGRESSIVE_CARRIES,PROGRESSIVE_PASSES_TOTAL,PROGRESSIVE_PASSES_ACCURACY,PROGRESSIVE_PASSES_ACCURATE
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Casa,IC Croix,Bouzar Ahmed,Ala,Titolare,6.1,ryzrBvZ9,0,0,0,0,2,0,0,0,-1.8589,0.65,13,20,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4,0,0.25,0,4,1,0.0,0,0.4,5,2,5,0,0,0.101609,0.1686,0.0138,2.1411,0,1,0,4,0,-1.8589,0,0,0,0.0,2,0,90,0,0.65,20,13,0.875,8,7,0,0,1,1,1,0,0,1,2,0.0,0,0,2,35,4,0,0,90,0,0.0,0,6,0,0.0,0,1,2,0,0.0,6,0.0,0,0,2,0,0,0,0.0,0
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Casa,IC Croix,Burnel Remi,Ala,Titolare,5.8,ryzrBvZ9,0,0,0,0,2,3,0,0,-2.0333,0.782609,18,23,0.272727,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,0.0,4,1,0,0.5,2,0.142857,7,1,11,0,0,0.050925,0.0,0.0,1.9667,0,1,0,4,0,-2.0333,0,0,0,0.0,0,0,69,0,0.782609,23,18,0.727273,11,8,0,0,0,0,0,0,0,0,0,0.0,0,0,1,34,4,0,0,69,1,0.0,0,2,0,1.0,1,1,5,0,0.0,9,0.0,0,0,3,0,0,0,0.0,0
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Casa,IC Croix,Obino Brian,Centrocampista,Subentrato,6.2,ryzrBvZ9,0,0,0,0,0,0,0,0,0.1744,0.636364,7,11,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.5,2,1,2,0,0,0.000556,0.0,0.0,0.1744,1,0,0,0,0,0.1744,0,0,0,0.0,2,0,21,0,0.636364,11,7,0.333333,3,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,13,0,0,0,21,0,0.0,0,1,0,0.0,0,0,3,0,0.0,1,0.0,0,0,1,0,0,0,0.0,0
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Ospite,Reims,Demoncy Yohann,Centrocampista,Subentrato,6.4,ryzrBvZ9,0,0,0,0,0,0,0,0,0.0,0.958333,23,24,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.013089,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,13,0,0.958333,24,23,0.909091,11,10,0,0,0,0,0,0,0,0,0,0.0,0,0,0,24,0,0,0,13,0,0.0,0,0,0,0.0,0,1,3,0,0.0,1,0.0,0,0,0,0,0,0,0.0,0
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Ospite,Reims,Bassette Norman,Attaccante,Titolare,7.8,ryzrBvZ9,0,0,0,0,4,0,1,0,0.0138,0.692308,9,13,0.555556,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,0.0,5,1,0,0.6,3,0.5,4,2,9,0,0,0.021426,1.6635,0.5361,0.0138,1,2,1,0,0,0.0138,0,0,0,1.0,1,1,90,0,0.692308,13,9,0.625,8,5,0,0,1,5,2,1,3,3,7,0.0,0,0,8,30,0,0,0,90,0,0.0,0,1,0,0.4,2,5,1,0,0.0,2,0.0,0,0,5,0,0,0,0.0,0
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Ospite,Reims,Teuma Teddy,Centrocampista offensivo,Titolare,8.8,ryzrBvZ9,0,0,0,0,2,0,0,0,0.0138,0.833333,70,84,0.875,0,0,0,0,0,0,0,0,1,0,0,0,0.25,4,1,1.0,2,4,4,0.5,1,1.0,6,6,8,0,0,0.125261,0.9119,0.6175,0.0138,0,0,1,0,0,0.0138,3,0,0,0.7,10,7,77,1,0.835294,85,71,0.694444,36,25,0,0,0,1,2,0,2,1,3,1.0,2,2,4,106,0,0,0,77,1,0.0,0,8,0,0.666667,2,3,13,0,0.0,3,0.0,0,0,7,0,0,0,0.0,0
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Ospite,Reims,Olliero Alexandre,Portiere,Titolare,6.9,ryzrBvZ9,0,0,0,0,0,0,0,0,0.0138,0.882353,15,17,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,6.8e-05,0.0,0.0,0.0138,0,0,0,0,0,0.0138,0,1,5,0.25,4,1,90,0,0.85,20,17,0.0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,28,1,0,0,90,0,0.0,0,0,0,0.0,0,0,0,0,0.0,10,1.0,1,1,0,0,0,0,0.0,0
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Ospite,Reims,Debondt Mael,Attaccante,Subentrato,7.0,ryzrBvZ9,0,0,0,0,1,0,0,0,0.0,0.888889,32,36,0.571429,0,0,0,0,0,0,0,0,0,0,0,3,0.333333,3,1,0.0,4,1,0,0.5,2,0.666667,3,2,7,0,0,0.036767,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.666667,3,2,45,0,0.891892,37,33,0.769231,13,10,0,0,0,0,0,0,0,0,0,1.0,2,2,0,63,0,0,0,45,1,0.0,0,3,0,0.0,0,0,4,0,0.0,1,0.0,0,0,4,0,0,0,0.0,0
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Ospite,Reims,Diarra Thiemoko,Ala,Titolare,7.4,ryzrBvZ9,0,0,0,0,2,0,0,0,0.0138,0.902439,37,41,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1,0,1.0,0,1,1,0.0,0,1.0,4,4,4,0,0,0.236316,0.0,0.0,0.0138,0,2,0,0,0,0.0138,0,0,0,0.666667,3,2,62,0,0.904762,42,38,0.789474,19,15,0,0,0,0,0,0,0,0,0,0.0,1,0,1,51,0,0,0,62,0,0.0,0,2,1,1.0,2,2,6,0,0.0,4,0.0,0,0,4,0,0,0,0.0,0
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Ospite,Reims,Leoni Theo,Centrocampista,Titolare,8.0,ryzrBvZ9,0,0,0,0,2,0,0,0,0.0138,0.942857,66,70,1.0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,1.0,3,3,3,0,0,0.033175,0.0,0.0,0.0138,0,0,0,0,0,0.0138,0,0,0,1.0,5,5,62,0,0.942857,70,66,0.923077,13,12,0,0,0,0,0,0,0,0,0,1.0,3,3,0,77,0,0,0,62,1,0.0,0,0,0,1.0,3,3,6,0,0.0,2,0.0,0,0,3,0,0,0,0.0,0
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Ospite,Reims,Salama Amine,Attaccante,Subentrato,6.9,ryzrBvZ9,0,0,0,0,5,0,0,0,0.0,0.875,21,24,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,1,0,0.0,0,1,0,0.0,0,0.0,3,0,3,0,0,0.532063,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,28,1,0.875,24,21,0.823529,17,14,0,0,0,0,0,0,0,0,0,0.0,0,0,4,34,0,0,0,28,2,0.0,0,4,1,1.0,1,1,3,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Ospite,Reims,Sekine Hiroki,Terzino,Titolare,8.5,ryzrBvZ9,0,0,0,0,2,0,0,0,0.0138,0.895522,60,67,0.8,0,0,0,0,0,0,0,0,0,0,0,2,0.666667,3,2,1.0,1,1,1,1.0,1,0.75,4,3,5,0,0,0.089916,0.0721,0.3027,0.0138,1,0,1,0,0,0.0138,0,0,0,0.333333,3,1,90,0,0.895522,67,60,0.933333,30,28,0,0,0,1,0,0,0,1,1,1.0,2,2,4,89,0,0,0,90,2,0.0,0,2,0,1.0,1,1,7,0,0.0,5,0.0,0,0,4,0,0,0,0.0,0
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Ospite,Reims,Bojang Adama,Ala,Titolare,7.9,ryzrBvZ9,0,0,0,0,3,1,0,0,0.0138,0.825397,52,63,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0.25,0,4,1,0.0,0,0.5,8,4,8,0,0,0.084193,0.2313,0.2238,0.0138,0,0,1,0,0,0.0138,1,0,0,1.0,2,2,90,1,0.825397,63,52,0.758621,29,22,0,0,0,2,1,0,1,2,3,0.666667,3,2,5,82,0,0,0,90,1,0.0,0,6,0,0.75,3,4,4,0,0.0,6,0.0,0,0,4,0,0,0,0.0,0
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Ospite,Reims,Patrick John,Centrocampista,Subentrato,7.0,ryzrBvZ9,0,0,0,0,1,2,0,0,0.0,0.911765,31,34,0.571429,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1.0,1,1,1,1.0,1,0.5,6,3,7,0,0,0.181722,0.0158,0.0338,0.0,0,1,0,0,0,0.0,0,0,0,0.0,0,0,28,0,0.914286,35,32,0.769231,13,10,0,0,0,0,1,0,0,1,1,1.0,1,1,2,43,0,0,0,28,2,0.0,0,3,0,1.0,1,1,3,0,0.0,9,0.0,0,0,4,0,0,0,0.0,0
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Ospite,Reims,Busi Maxime,Terzino,Titolare,6.9,ryzrBvZ9,0,0,0,0,0,0,0,0,0.0138,0.948718,37,39,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1.0,0,2,2,0.0,0,0.75,4,3,4,0,0,0.010906,0.0,0.0,0.0138,1,0,0,0,0,0.0138,0,0,0,0.8,5,4,45,0,0.948718,39,37,0.875,8,7,0,0,0,0,0,0,0,0,0,1.0,1,1,0,47,0,0,0,45,0,0.0,0,1,0,1.0,1,1,6,0,0.0,4,0.0,0,0,3,0,0,0,0.0,0
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Ospite,Reims,Elie,Difensore centrale,Titolare,8.5,ryzrBvZ9,0,0,0,0,0,0,0,0,0.0138,0.95,114,120,0.5,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0.0,3,0,0,0.333333,1,0.666667,3,2,6,0,0,0.059983,0.0,0.0,0.0138,1,1,0,0,0,0.0138,0,0,0,0.666667,12,8,90,0,0.95082,122,116,0.916667,24,22,0,0,0,0,0,0,0,0,0,1.0,1,1,0,128,0,0,0,90,0,0.0,0,2,0,0.0,0,0,22,0,0.0,6,0.0,0,0,3,0,0,0,0.0,0
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Ospite,Reims,Tia Ange,Centrocampista,Subentrato,6.8,ryzrBvZ9,0,0,0,0,2,0,0,0,0.0,0.84375,27,32,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.031001,0.1444,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.666667,3,2,29,0,0.84375,32,27,0.785714,14,11,0,0,1,1,0,0,0,0,1,0.0,0,0,3,37,0,0,0,29,0,0.0,0,2,0,0.0,0,0,5,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Ospite,Reims,Zabi Patrick,Centrocampista,Titolare,7.9,ryzrBvZ9,0,0,0,0,2,1,0,0,0.0138,0.945205,69,73,0.4,0,0,0,0,0,0,1,1,0,0,0,2,0.0,1,0,0.0,3,0,0,0.333333,1,0.428571,7,3,10,0,0,0.311706,0.0629,0.4272,0.0138,2,1,0,0,0,0.0138,1,0,0,1.0,2,2,61,0,0.945205,73,69,1.0,16,16,0,0,0,0,1,0,0,1,1,1.0,2,2,0,86,0,0,0,61,1,0.0,0,2,1,1.0,2,2,5,0,0.0,2,0.0,0,0,4,0,0,0,0.0,0
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Ospite,Reims,Pallois Nicolas,Difensore centrale,Titolare,8.4,ryzrBvZ9,0,0,0,0,1,0,0,0,0.0138,0.93,93,100,0.6,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0,0,0.666667,2,3,2,0.5,1,0.666667,3,2,5,0,0,0.029563,0.0,0.0,0.0138,0,0,0,0,0,0.0138,1,0,0,0.857143,14,12,90,0,0.931373,102,95,0.9375,16,15,0,0,0,0,0,0,0,0,0,0.0,0,0,0,115,0,0,0,90,0,0.0,0,0,0,0.0,0,0,15,0,0.0,7,0.0,0,0,3,2,0,0,0.0,0
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Casa,Guingamp,Ahile Tanguy,Attaccante,Titolare,6.4,pQTMS30C,0,0,0,0,5,1,0,0,0.0,0.75,15,20,0.571429,0,0,0,0,0,0,0,0,0,0,0,0,0.666667,3,2,0.0,1,1,0,0.0,0,0.666667,6,4,7,0,0,0.079588,0.0348,0.0,0.0,1,4,0,0,0,0.0,0,0,0,0.0,0,0,62,0,0.75,20,15,0.5,6,3,0,0,0,1,1,0,2,0,2,0.0,0,0,4,36,0,0,0,62,1,0.0,0,3,0,1.0,4,4,0,0,0.0,1,0.0,0,0,4,0,0,0,0.0,0
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Casa,Guingamp,Mafouta Louis,Attaccante,Subentrato,6.3,pQTMS30C,0,0,0,0,0,0,0,0,-0.0824,0.8,4,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.012548,0.0331,0.0177,0.9176,0,0,0,1,0,-0.0824,0,0,0,0.0,0,0,28,0,0.833333,6,5,0.666667,3,2,0,0,1,0,2,0,0,1,2,0.0,0,0,1,9,1,0,0,28,1,0.0,0,0,0,0.0,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Casa,Guingamp,Ortola Adrian,Portiere,Titolare,6.2,pQTMS30C,0,0,0,0,0,0,0,0,-0.0824,0.913043,21,23,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.000618,0.0,0.0,0.9176,0,0,0,1,0,-0.0824,0,1,4,0.333333,3,1,90,0,0.884615,26,23,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,32,1,0,0,90,0,0.0,0,0,0,0.0,0,0,0,0,0.0,8,0.0,0,0,0,0,0,0,0.0,0
