Competizione,Turno,Data,Casa,Ospite,Lato,Squadra,Modulo,Gruppo,Ordine,Numero,Giocatore,Ruolo,Rating,Entrato al,Uscito al,ID partita
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Ospite,Montpellier,4-2-3-1,Titolare,10,8,Orakpo V.,,6.5,,,ENdFhWIr
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Ospite,Montpellier,4-2-3-1,Titolare,11,9,Mendy A.,,7.3,,,ENdFhWIr
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Ospite,Montpellier,4-2-3-1,Panchina,1,16,Dzodic V.,Portiere,,,,ENdFhWIr
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Ospite,Montpellier,4-2-3-1,Panchina,2,14,Ebener A.,,,,,ENdFhWIr
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Ospite,Montpellier,4-2-3-1,Panchina,3,18,El Hannach N.,,,,,ENdFhWIr
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Ospite,Montpellier,4-2-3-1,Panchina,4,20,Gueguin A.,,,,,ENdFhWIr
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Ospite,Montpellier,4-2-3-1,Panchina,5,12,Issoufou Y.,,6.5,59',,ENdFhWIr
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Ospite,Montpellier,4-2-3-1,Panchina,6,19,Mohamed I.,,,,,ENdFhWIr
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Ospite,Montpellier,4-2-3-1,Panchina,7,15,Ndiaye J.,,,,,ENdFhWIr
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Ospite,Montpellier,4-2-3-1,Panchina,8,17,Vidal-Cartoux N.,,,,,ENdFhWIr
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Ospite,Montpellier,4-2-3-1,Panchina,9,13,Zeghadi M.,,,,,ENdFhWIr
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Casa,Perigny,5-3-2,Titolare,1,1,Baudry E.,Portiere,7.1,,,txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Casa,Perigny,5-3-2,Titolare,2,11,Jolivet W.,,6.5,,,txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Casa,Perigny,5-3-2,Titolare,3,2,Aboubakar O.,,5.7,,,txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Casa,Perigny,5-3-2,Titolare,4,5,Servant C.,,5.9,,,txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Casa,Perigny,5-3-2,Titolare,5,4,Courthes C.,,6.5,,81',txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Casa,Perigny,5-3-2,Titolare,6,3,Paille M.,,7.1,,,txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Casa,Perigny,5-3-2,Titolare,7,7,Kahramanca K.,,5.9,,68',txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Casa,Perigny,5-3-2,Titolare,8,6,Christopher G.,,6.4,,,txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Casa,Perigny,5-3-2,Titolare,9,8,Rousseau R.,Capitano,6.1,,,txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Casa,Perigny,5-3-2,Titolare,10,10,Devaux M.,,5.6,,68',txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Casa,Perigny,5-3-2,Titolare,11,9,Burgeaud R.,,5.0,,81',txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Casa,Perigny,5-3-2,Panchina,1,12,Castel M.,,,,,txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Casa,Perigny,5-3-2,Panchina,2,13,Da Silva B.,,,,,txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Casa,Perigny,5-3-2,Panchina,3,14,Delouche T.,,,81',,txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Casa,Perigny,5-3-2,Panchina,4,17,Faure Q.,,,,,txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Casa,Perigny,5-3-2,Panchina,5,15,Juin B.,,6.2,68',,txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Casa,Perigny,5-3-2,Panchina,6,16,Karalambakis N.,,,,,txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Casa,Perigny,5-3-2,Panchina,7,20,Lambert P.,,,,,txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Casa,Perigny,5-3-2,Panchina,8,19,Pitort K.,,,81',,txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Casa,Perigny,5-3-2,Panchina,9,18,Thiburce G.,,6.3,68',,txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Ospite,Le Mans,3-5-2,Titolare,1,1,Hatfout E.,Portiere,6.8,,,txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Ospite,Le Mans,3-5-2,Titolare,2,2,Boisse N.,,6.8,,,txNHmpyn
