Competizione,Turno,Data,Casa,Ospite,Periodo,Lato,Squadra,ID partita,Cartellini gialli,Cartellini rossi,Goal previsti (xG),Possesso palla,Tiri totali,Tiri in porta,Grandi occasioni,Calci d'angolo,Passaggi,xG sui Tiri in porta (xGOT),Tiri fuori,Tiri fermati,Tiri dall'area di rigore,Tiri da fuori area,Pali colpiti,Gol di testa,Palloni toccati nell'area avversaria,Passaggi filtranti riusciti,Fuorigioco,Punizioni,Passaggi lunghi,Passaggi offensivi,Cross,Assist previsti (xA),Rimesse Laterali,Falli,Tackles,Contrasti vinti,Respinte difensive,Palle intercettate,Errori che hanno portato al tiro,Errori che hanno portato al gol,Parate,xGot affrontati,Gol evitati
Coppa di Francia,32esimi di finale,19.12.2025,Les Herbiers,Angers,Totale,Casa,Les Herbiers,MVlmkcCj,3.0,1.0,0.45,40%,4.0,3.0,1.0,1.0,76% (267/352),0.55,0.0,1.0,4.0,0.0,0.0,,12.0,0.0,0.0,11.0,31% (16/51),55% (53/97),0% (0/7),0.29,26.0,8.0,78% (14/18),41.0,31.0,11.0,0.0,0.0,3.0,1.05,1.05
Coppa di Francia,32esimi di finale,19.12.2025,Les Herbiers,Angers,Totale,Ospite,Angers,MVlmkcCj,0.0,0.0,1.28,60%,12.0,3.0,1.0,13.0,84% (430/509),1.05,4.0,5.0,8.0,4.0,0.0,,24.0,1.0,5.0,8.0,54% (30/56),71% (97/136),21% (6/28),0.8,23.0,11.0,67% (8/12),33.0,19.0,8.0,0.0,0.0,3.0,0.55,0.55
Coppa di Francia,32esimi di finale,19.12.2025,Les Herbiers,Angers,1° tempo,Casa,Les Herbiers,MVlmkcCj,2.0,,0.39,46%,3.0,2.0,1.0,0.0,79% (176/223),0.52,0.0,1.0,3.0,0.0,0.0,,9.0,0.0,0.0,7.0,39% (9/23),57% (31/54),0% (0/4),0.22,8.0,5.0,80% (8/10),25.0,15.0,7.0,0.0,0.0,1.0,0.63,0.63
Coppa di Francia,32esimi di finale,19.12.2025,Les Herbiers,Angers,1° tempo,Ospite,Angers,MVlmkcCj,0.0,,0.58,54%,5.0,1.0,0.0,6.0,84% (218/261),0.63,2.0,2.0,4.0,1.0,0.0,,10.0,0.0,1.0,5.0,59% (17/29),68% (42/62),23% (3/13),0.32,10.0,7.0,67% (2/3),15.0,11.0,2.0,0.0,0.0,2.0,0.52,0.52
Coppa di Francia,32esimi di finale,19.12.2025,Les Herbiers,Angers,2° tempo,Casa,Les Herbiers,MVlmkcCj,1.0,1.0,0.06,33%,1.0,1.0,0.0,1.0,71% (91/129),0.03,0.0,0.0,1.0,0.0,0.0,,3.0,0.0,0.0,4.0,25% (7/28),51% (22/43),0% (0/3),0.07,18.0,3.0,75% (6/8),16.0,16.0,4.0,0.0,0.0,2.0,0.42,0.42
Coppa di Francia,32esimi di finale,19.12.2025,Les Herbiers,Angers,2° tempo,Ospite,Angers,MVlmkcCj,0.0,0.0,0.7,67%,7.0,2.0,1.0,7.0,85% (212/248),0.42,2.0,3.0,4.0,3.0,0.0,,14.0,1.0,4.0,3.0,48% (13/27),74% (55/74),20% (3/15),0.48,13.0,4.0,67% (6/9),18.0,8.0,6.0,0.0,0.0,1.0,0.03,0.03
Coppa di Francia,32esimi di finale,19.12.2025,Avranches,Brest,Totale,Casa,Avranches,UX98duKG,1.0,0.0,1.28,48%,11.0,4.0,2.0,7.0,82% (346/421),0.94,4.0,3.0,4.0,7.0,1.0,,9.0,0.0,2.0,14.0,42% (21/50),72% (56/78),23% (3/13),0.77,12.0,16.0,63% (12/19),43.0,16.0,13.0,0.0,0.0,1.0,1.15,0.15
Coppa di Francia,32esimi di finale,19.12.2025,Avranches,Brest,Totale,Ospite,Brest,UX98duKG,3.0,1.0,0.6,52%,10.0,3.0,0.0,5.0,85% (383/451),1.15,6.0,1.0,6.0,4.0,0.0,,20.0,0.0,1.0,16.0,69% (38/55),67% (94/141),33% (6/18),0.78,21.0,14.0,92% (11/12),46.0,15.0,17.0,0.0,0.0,3.0,0.94,-0.06
Coppa di Francia,32esimi di finale,19.12.2025,Avranches,Brest,1° tempo,Casa,Avranches,UX98duKG,0.0,0.0,1.22,45%,9.0,2.0,2.0,3.0,87% (173/199),0.3,4.0,3.0,4.0,5.0,1.0,,7.0,0.0,0.0,8.0,60% (12/20),86% (30/35),43% (3/7),0.69,6.0,7.0,63% (5/8),22.0,7.0,9.0,0.0,0.0,1.0,1.15,0.15
Coppa di Francia,32esimi di finale,19.12.2025,Avranches,Brest,1° tempo,Ospite,Brest,UX98duKG,1.0,1.0,0.17,55%,3.0,2.0,0.0,2.0,88% (219/248),1.15,1.0,0.0,3.0,0.0,0.0,,6.0,0.0,0.0,7.0,86% (24/28),74% (60/81),25% (3/12),0.23,15.0,8.0,88% (7/8),18.0,4.0,4.0,0.0,0.0,1.0,0.3,-0.7
Coppa di Francia,32esimi di finale,19.12.2025,Avranches,Brest,2° tempo,Casa,Avranches,UX98duKG,1.0,,0.06,52%,2.0,2.0,0.0,4.0,78% (173/222),0.64,0.0,0.0,0.0,2.0,0.0,,2.0,0.0,2.0,6.0,30% (9/30),60% (26/43),0% (0/6),0.08,6.0,9.0,64% (7/11),21.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0
Coppa di Francia,32esimi di finale,19.12.2025,Avranches,Brest,2° tempo,Ospite,Brest,UX98duKG,2.0,,0.43,48%,7.0,1.0,0.0,3.0,81% (164/203),0.0,5.0,1.0,3.0,4.0,0.0,,14.0,0.0,1.0,9.0,52% (14/27),57% (34/60),50% (3/6),0.55,6.0,6.0,100% (4/4),28.0,11.0,13.0,0.0,0.0,2.0,0.64,0.64
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Totale,Casa,Canet Roussillon,ENdFhWIr,2.0,,0.34,41%,4.0,1.0,1.0,2.0,68% (212/310),0.06,2.0,1.0,3.0,1.0,0.0,,8.0,0.0,1.0,17.0,36% (27/74),50% (30/60),40% (2/5),0.25,31.0,19.0,87% (13/15),60.0,21.0,12.0,0.0,0.0,5.0,2.01,1.01
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Totale,Ospite,Montpellier,ENdFhWIr,1.0,,2.3,59%,16.0,6.0,3.0,3.0,79% (348/440),2.01,8.0,2.0,11.0,5.0,0.0,,20.0,0.0,1.0,19.0,35% (18/51),71% (85/120),41% (9/22),1.21,25.0,17.0,81% (17/21),69.0,15.0,9.0,0.0,0.0,1.0,0.06,0.06
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,1° tempo,Casa,Canet Roussillon,ENdFhWIr,1.0,,0.24,40%,2.0,0.0,1.0,0.0,71% (105/148),0.0,1.0,1.0,2.0,0.0,0.0,,3.0,0.0,0.0,10.0,41% (16/39),53% (20/38),0% (0/1),0.13,21.0,7.0,67% (4/6),30.0,7.0,6.0,0.0,0.0,2.0,0.3,0.3
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,1° tempo,Ospite,Montpellier,ENdFhWIr,0.0,,0.6,60%,6.0,2.0,1.0,2.0,81% (171/212),0.3,2.0,2.0,5.0,1.0,0.0,,8.0,0.0,1.0,7.0,25% (5/20),68% (43/63),36% (5/14),0.61,14.0,10.0,89% (8/9),28.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,2° tempo,Casa,Canet Roussillon,ENdFhWIr,1.0,,0.1,41%,2.0,1.0,0.0,2.0,66% (107/162),0.06,1.0,0.0,1.0,1.0,0.0,,5.0,0.0,1.0,7.0,31% (11/35),45% (10/22),50% (2/4),0.12,10.0,12.0,100% (9/9),30.0,14.0,6.0,0.0,0.0,3.0,1.71,0.71
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,2° tempo,Ospite,Montpellier,ENdFhWIr,1.0,,1.7,59%,10.0,4.0,2.0,1.0,78% (177/228),1.71,6.0,0.0,6.0,4.0,0.0,,12.0,0.0,0.0,12.0,42% (13/31),74% (42/57),50% (4/8),0.6,11.0,7.0,75% (9/12),41.0,5.0,4.0,0.0,0.0,1.0,0.06,0.06
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Totale,Casa,Perigny,txNHmpyn,1.0,,0.88,25%,4.0,2.0,1.0,3.0,50% (103/204),1.07,1.0,1.0,2.0,2.0,0.0,,7.0,0.0,2.0,17.0,19% (10/53),23% (13/56),20% (2/10),0.08,27.0,11.0,60% (9/15),49.0,42.0,16.0,0.0,0.0,4.0,2.62,0.62
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Totale,Ospite,Le Mans,txNHmpyn,2.0,,1.47,75%,12.0,6.0,2.0,7.0,82% (501/610),2.62,5.0,1.0,8.0,4.0,0.0,,25.0,2.0,5.0,11.0,54% (31/57),56% (80/142),10% (3/30),1.24,29.0,17.0,57% (12/21),56.0,20.0,9.0,0.0,0.0,1.0,1.07,0.07
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,1° tempo,Casa,Perigny,txNHmpyn,1.0,,0.84,27%,3.0,2.0,1.0,2.0,60% (62/103),1.07,0.0,1.0,2.0,1.0,0.0,,5.0,0.0,0.0,11.0,23% (5/22),38% (8/21),0% (0/5),0.04,12.0,4.0,100% (5/5),20.0,13.0,12.0,0.0,0.0,2.0,1.68,0.68
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,1° tempo,Ospite,Le Mans,txNHmpyn,1.0,,0.89,73%,5.0,3.0,1.0,3.0,83% (243/293),1.68,2.0,0.0,4.0,1.0,0.0,,14.0,1.0,1.0,4.0,54% (13/24),52% (32/61),13% (2/15),0.9,11.0,11.0,58% (7/12),22.0,8.0,4.0,0.0,0.0,1.0,1.07,0.07
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,2° tempo,Casa,Perigny,txNHmpyn,0.0,,0.04,24%,1.0,0.0,0.0,1.0,41% (41/101),0.0,1.0,0.0,0.0,1.0,0.0,,2.0,0.0,2.0,6.0,16% (5/31),14% (5/35),40% (2/5),0.04,15.0,7.0,40% (4/10),29.0,29.0,4.0,0.0,0.0,2.0,0.94,-0.06
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,2° tempo,Ospite,Le Mans,txNHmpyn,1.0,,0.58,76%,7.0,3.0,1.0,4.0,81% (258/317),0.94,3.0,1.0,4.0,3.0,0.0,,11.0,1.0,4.0,7.0,55% (18/33),59% (48/81),7% (1/15),0.34,18.0,6.0,56% (5/9),34.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0
Coppa di Francia,32esimi di finale,19.12.2025,Lens,Feignies-Aulnoye,Totale,Casa,Lens,OzP43mX0,1.0,,3.18,77%,23.0,9.0,7.0,11.0,91% (763/834),3.22,8.0,6.0,15.0,8.0,0.0,1.0,39.0,0.0,1.0,12.0,81% (39/48),82% (218/267),22% (7/32),1.7,21.0,13.0,75% (12/16),43.0,13.0,13.0,0.0,1.0,1.0,0.72,-0.28
Coppa di Francia,32esimi di finale,19.12.2025,Lens,Feignies-Aulnoye,Totale,Ospite,Feignies-Aulnoye,OzP43mX0,2.0,,0.51,23%,5.0,2.0,1.0,1.0,73% (177/244),0.72,2.0,1.0,3.0,2.0,0.0,0.0,7.0,0.0,0.0,13.0,44% (18/41),64% (30/47),10% (1/10),0.22,14.0,12.0,72% (13/18),40.0,28.0,7.0,1.0,2.0,6.0,3.22,0.22
Coppa di Francia,32esimi di finale,19.12.2025,Lens,Feignies-Aulnoye,1° tempo,Casa,Lens,OzP43mX0,,,0.69,80%,10.0,5.0,3.0,5.0,91% (429/469),1.45,3.0,2.0,7.0,3.0,0.0,1.0,20.0,0.0,0.0,3.0,76% (13/17),81% (120/148),29% (4/14),0.89,12.0,8.0,100% (8/8),19.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0
Coppa di Francia,32esimi di finale,19.12.2025,Lens,Feignies-Aulnoye,1° tempo,Ospite,Feignies-Aulnoye,OzP43mX0,,,0.02,20%,1.0,0.0,0.0,1.0,70% (80/114),0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,8.0,50% (9/18),52% (11/21),0% (0/7),0.02,10.0,3.0,64% (7/11),21.0,17.0,6.0,0.0,2.0,3.0,1.45,-0.55
Coppa di Francia,32esimi di finale,19.12.2025,Lens,Feignies-Aulnoye,2° tempo,Casa,Lens,OzP43mX0,1.0,,2.49,74%,13.0,4.0,4.0,6.0,92% (334/365),1.77,5.0,4.0,8.0,5.0,0.0,,19.0,0.0,1.0,9.0,84% (26/31),82% (98/119),17% (3/18),0.81,9.0,5.0,50% (4/8),24.0,5.0,7.0,0.0,1.0,1.0,0.72,-0.28
Coppa di Francia,32esimi di finale,19.12.2025,Lens,Feignies-Aulnoye,2° tempo,Ospite,Feignies-Aulnoye,OzP43mX0,2.0,,0.49,26%,4.0,2.0,1.0,0.0,75% (97/130),0.72,2.0,0.0,3.0,1.0,0.0,,5.0,0.0,0.0,5.0,39% (9/23),73% (19/26),33% (1/3),0.2,4.0,9.0,86% (6/7),19.0,11.0,1.0,1.0,0.0,3.0,1.77,0.77
Coppa di Francia,32esimi di finale,20.12.2025,Bayeux,Blois,Totale,Casa,Bayeux,IFgWllI7,3.0,,2.15,35%,13.0,5.0,4.0,6.0,56% (127/228),1.66,5.0,3.0,11.0,2.0,0.0,,23.0,2.0,6.0,16.0,31% (19/62),45% (40/88),19% (4/21),1.52,28.0,14.0,69% (22/32),68.0,40.0,10.0,0.0,0.0,4.0,2.55,1.55
Coppa di Francia,32esimi di finale,20.12.2025,Bayeux,Blois,Totale,Ospite,Blois,IFgWllI7,2.0,,1.43,65%,16.0,5.0,2.0,11.0,79% (344/438),2.55,3.0,8.0,12.0,4.0,0.0,,36.0,0.0,3.0,14.0,67% (41/61),68% (100/148),31% (9/29),0.89,35.0,16.0,42% (5/12),56.0,29.0,12.0,0.0,0.0,3.0,1.66,-0.34
Coppa di Francia,32esimi di finale,20.12.2025,Bayeux,Blois,1° tempo,Casa,Bayeux,IFgWllI7,1.0,,1.71,33%,8.0,4.0,2.0,1.0,55% (66/119),1.26,1.0,3.0,7.0,1.0,0.0,,14.0,1.0,2.0,5.0,40% (12/30),33% (13/39),75% (3/4),0.73,10.0,10.0,60% (6/10),26.0,26.0,7.0,0.0,0.0,1.0,0.19,0.19
Coppa di Francia,32esimi di finale,20.12.2025,Bayeux,Blois,1° tempo,Ospite,Blois,IFgWllI7,0.0,,0.26,67%,6.0,1.0,0.0,7.0,79% (188/239),0.19,0.0,5.0,4.0,2.0,0.0,,12.0,0.0,2.0,10.0,59% (17/29),60% (53/89),21% (3/14),0.2,17.0,5.0,43% (3/7),29.0,9.0,7.0,0.0,0.0,2.0,1.26,-0.74
Coppa di Francia,32esimi di finale,20.12.2025,Bayeux,Blois,2° tempo,Casa,Bayeux,IFgWllI7,2.0,,0.44,37%,5.0,1.0,2.0,5.0,56% (61/109),0.4,4.0,0.0,4.0,1.0,0.0,,9.0,1.0,4.0,11.0,22% (7/32),55% (27/49),6% (1/17),0.79,18.0,4.0,73% (16/22),42.0,14.0,3.0,0.0,0.0,3.0,2.36,1.36
Coppa di Francia,32esimi di finale,20.12.2025,Bayeux,Blois,2° tempo,Ospite,Blois,IFgWllI7,2.0,,1.17,63%,10.0,4.0,2.0,4.0,78% (156/199),2.36,3.0,3.0,8.0,2.0,0.0,,24.0,0.0,1.0,4.0,75% (24/32),80% (47/59),40% (6/15),0.69,18.0,11.0,40% (2/5),27.0,20.0,5.0,0.0,0.0,1.0,0.4,0.4
Coppa di Francia,32esimi di finale,20.12.2025,Olympique Marcquois,Troyes,Totale,Casa,Olympique Marcquois,6JteE4oJ,1.0,,1.25,43%,13.0,4.0,1.0,5.0,78% (294/376),1.39,5.0,4.0,8.0,5.0,0.0,,19.0,0.0,3.0,17.0,26% (14/53),66% (63/95),38% (5/13),0.57,22.0,8.0,76% (16/21),53.0,24.0,11.0,1.0,0.0,4.0,1.64,-1.36
Coppa di Francia,32esimi di finale,20.12.2025,Olympique Marcquois,Troyes,Totale,Ospite,Troyes,6JteE4oJ,0.0,,1.99,57%,19.0,9.0,3.0,4.0,83% (418/504),1.64,7.0,3.0,16.0,3.0,1.0,,30.0,1.0,1.0,8.0,59% (48/82),65% (102/157),29% (7/24),2.12,27.0,17.0,46% (12/26),58.0,11.0,10.0,1.0,0.0,3.0,1.39,0.39
Coppa di Francia,32esimi di finale,20.12.2025,Olympique Marcquois,Troyes,1° tempo,Casa,Olympique Marcquois,6JteE4oJ,,,0.92,37%,7.0,3.0,1.0,3.0,77% (131/171),1.34,2.0,2.0,5.0,2.0,0.0,,8.0,0.0,2.0,9.0,10% (2/21),70% (32/46),33% (1/3),0.4,13.0,6.0,80% (8/10),29.0,12.0,7.0,1.0,0.0,2.0,0.39,0.39
Coppa di Francia,32esimi di finale,20.12.2025,Olympique Marcquois,Troyes,1° tempo,Ospite,Troyes,6JteE4oJ,,,0.95,63%,4.0,3.0,2.0,2.0,82% (232/283),0.39,1.0,0.0,4.0,0.0,1.0,,10.0,0.0,0.0,6.0,57% (28/49),58% (48/83),11% (1/9),1.22,14.0,9.0,43% (6/14),30.0,3.0,6.0,1.0,0.0,2.0,1.34,0.34
Coppa di Francia,32esimi di finale,20.12.2025,Olympique Marcquois,Troyes,2° tempo,Casa,Olympique Marcquois,6JteE4oJ,1.0,,0.33,48%,6.0,1.0,0.0,2.0,80% (163/205),0.05,3.0,2.0,3.0,3.0,0.0,,11.0,0.0,1.0,8.0,38% (12/32),63% (31/49),40% (4/10),0.17,9.0,2.0,73% (8/11),24.0,12.0,4.0,0.0,0.0,2.0,1.25,-1.75
Coppa di Francia,32esimi di finale,20.12.2025,Olympique Marcquois,Troyes,2° tempo,Ospite,Troyes,6JteE4oJ,0.0,,1.04,52%,15.0,6.0,1.0,2.0,84% (186/221),1.25,6.0,3.0,12.0,3.0,0.0,,20.0,1.0,1.0,2.0,61% (20/33),73% (54/74),40% (6/15),0.9,13.0,8.0,50% (6/12),28.0,8.0,4.0,0.0,0.0,1.0,0.05,0.05
Coppa di Francia,32esimi di finale,20.12.2025,Freyming,Chantilly,Totale,Casa,Freyming,x0QEUPVa,,,0.26,33%,7.0,2.0,0.0,3.0,63% (130/208),0.18,3.0,2.0,2.0,5.0,0.0,0.0,8.0,0.0,2.0,13.0,33% (20/61),36% (25/70),12% (2/17),0.33,27.0,12.0,59% (13/22),58.0,32.0,12.0,1.0,0.0,3.0,1.97,-1.03
Coppa di Francia,32esimi di finale,20.12.2025,Freyming,Chantilly,Totale,Ospite,Chantilly,x0QEUPVa,,,1.56,67%,14.0,6.0,3.0,8.0,82% (347/425),1.97,6.0,2.0,11.0,3.0,0.0,1.0,24.0,2.0,3.0,12.0,44% (24/54),65% (82/127),14% (4/29),0.98,20.0,13.0,87% (13/15),54.0,28.0,2.0,1.0,0.0,2.0,0.18,0.18
Coppa di Francia,32esimi di finale,20.12.2025,Freyming,Chantilly,1° tempo,Casa,Freyming,x0QEUPVa,,,0.09,32%,3.0,1.0,0.0,3.0,64% (74/116),0.04,1.0,1.0,1.0,2.0,0.0,,6.0,0.0,1.0,6.0,32% (10/31),37% (15/41),13% (1/8),0.27,14.0,7.0,64% (7/11),25.0,14.0,5.0,0.0,0.0,1.0,0.37,0.37
Coppa di Francia,32esimi di finale,20.12.2025,Freyming,Chantilly,1° tempo,Ospite,Chantilly,x0QEUPVa,,,0.35,68%,4.0,1.0,0.0,2.0,85% (212/250),0.37,2.0,1.0,4.0,0.0,0.0,,9.0,1.0,1.0,7.0,48% (14/29),64% (35/55),19% (3/16),0.55,12.0,6.0,67% (2/3),29.0,18.0,1.0,0.0,0.0,1.0,0.04,0.04
Coppa di Francia,32esimi di finale,20.12.2025,Freyming,Chantilly,2° tempo,Casa,Freyming,x0QEUPVa,,,0.17,35%,4.0,1.0,0.0,0.0,61% (56/92),0.14,2.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,7.0,33% (10/30),34% (10/29),11% (1/9),0.06,13.0,5.0,55% (6/11),33.0,18.0,7.0,1.0,0.0,2.0,1.6,-1.4
Coppa di Francia,32esimi di finale,20.12.2025,Freyming,Chantilly,2° tempo,Ospite,Chantilly,x0QEUPVa,,,1.21,65%,10.0,5.0,3.0,6.0,77% (135/175),1.6,4.0,1.0,7.0,3.0,0.0,1.0,15.0,1.0,2.0,5.0,40% (10/25),65% (47/72),8% (1/13),0.43,8.0,7.0,92% (11/12),25.0,10.0,1.0,1.0,0.0,1.0,0.14,0.14
Coppa di Francia,32esimi di finale,20.12.2025,AS Le Gosier,Lorient,Totale,Casa,AS Le Gosier,xIea0NKi,3.0,,0.11,24%,3.0,0.0,0.0,0.0,75% (160/213),0.0,0.0,3.0,2.0,1.0,0.0,0.0,3.0,1.0,1.0,9.0,44% (24/55),52% (22/42),14% (1/7),0.22,7.0,9.0,41% (7/17),34.0,20.0,12.0,0.0,0.0,4.0,5.11,-1.89
Coppa di Francia,32esimi di finale,20.12.2025,AS Le Gosier,Lorient,Totale,Ospite,Lorient,xIea0NKi,0.0,,3.89,76%,31.0,11.0,8.0,7.0,93% (636/687),5.11,13.0,7.0,18.0,13.0,1.0,1.0,39.0,3.0,4.0,9.0,80% (33/41),86% (177/205),33% (6/18),2.33,11.0,9.0,100% (9/9),37.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0
Coppa di Francia,32esimi di finale,20.12.2025,AS Le Gosier,Lorient,1° tempo,Casa,AS Le Gosier,xIea0NKi,,,0.08,19%,2.0,0.0,0.0,0.0,64% (59/92),0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,30% (9/30),38% (8/21),50% (1/2),0.03,4.0,4.0,43% (3/7),15.0,10.0,7.0,0.0,0.0,1.0,3.85,-1.15
Coppa di Francia,32esimi di finale,20.12.2025,AS Le Gosier,Lorient,1° tempo,Ospite,Lorient,xIea0NKi,,,2.86,81%,18.0,6.0,7.0,2.0,92% (352/382),3.85,8.0,4.0,11.0,7.0,1.0,1.0,24.0,2.0,0.0,4.0,86% (19/22),87% (102/117),40% (4/10),1.63,7.0,2.0,100% (4/4),18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Coppa di Francia,32esimi di finale,20.12.2025,AS Le Gosier,Lorient,2° tempo,Casa,AS Le Gosier,xIea0NKi,3.0,,0.03,28%,1.0,0.0,0.0,0.0,83% (101/121),0.0,0.0,1.0,1.0,0.0,0.0,,2.0,1.0,1.0,7.0,60% (15/25),67% (14/21),0% (0/5),0.19,3.0,5.0,40% (4/10),19.0,10.0,5.0,0.0,0.0,3.0,1.26,-0.74
Coppa di Francia,32esimi di finale,20.12.2025,AS Le Gosier,Lorient,2° tempo,Ospite,Lorient,xIea0NKi,0.0,,1.03,72%,13.0,5.0,1.0,5.0,93% (284/305),1.26,5.0,3.0,7.0,6.0,0.0,,15.0,1.0,4.0,5.0,74% (14/19),85% (75/88),25% (2/8),0.7,4.0,7.0,100% (5/5),19.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0
Coppa di Francia,32esimi di finale,20.12.2025,Lusitanos,Lilla,Totale,Casa,Lusitanos,jNQd592l,1.0,,0.36,35%,9.0,3.0,1.0,4.0,70% (212/301),0.68,2.0,4.0,3.0,6.0,0.0,,6.0,0.0,0.0,9.0,40% (27/67),60% (39/65),8% (1/12),0.21,19.0,11.0,35% (6/17),43.0,24.0,14.0,2.0,0.0,3.0,1.03,0.03
Coppa di Francia,32esimi di finale,20.12.2025,Lusitanos,Lilla,Totale,Ospite,Lilla,jNQd592l,2.0,,1.3,65%,16.0,4.0,1.0,4.0,84% (474/563),1.03,6.0,6.0,12.0,4.0,1.0,,48.0,0.0,0.0,11.0,51% (22/43),75% (186/248),12% (2/17),2.15,31.0,9.0,58% (7/12),45.0,12.0,9.0,0.0,0.0,3.0,0.68,0.68
Coppa di Francia,32esimi di finale,20.12.2025,Lusitanos,Lilla,1° tempo,Casa,Lusitanos,jNQd592l,1.0,,0.1,37%,4.0,1.0,0.0,2.0,69% (112/162),0.03,1.0,2.0,1.0,3.0,0.0,,4.0,0.0,0.0,5.0,33% (12/36),52% (15/29),0% (0/5),0.03,6.0,4.0,13% (1/8),24.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0
Coppa di Francia,32esimi di finale,20.12.2025,Lusitanos,Lilla,1° tempo,Ospite,Lilla,jNQd592l,0.0,,0.17,63%,5.0,0.0,0.0,1.0,84% (234/280),0.0,3.0,2.0,2.0,3.0,0.0,,11.0,0.0,0.0,4.0,54% (13/24),69% (75/109),0% (0/5),0.33,15.0,5.0,0% (0/2),17.0,5.0,7.0,0.0,0.0,1.0,0.03,0.03
Coppa di Francia,32esimi di finale,20.12.2025,Lusitanos,Lilla,2° tempo,Casa,Lusitanos,jNQd592l,0.0,,0.26,33%,5.0,2.0,1.0,2.0,72% (100/139),0.65,1.0,2.0,2.0,3.0,0.0,,2.0,0.0,0.0,4.0,48% (15/31),67% (24/36),14% (1/7),0.18,13.0,7.0,56% (5/9),19.0,14.0,9.0,2.0,0.0,3.0,1.03,0.03
Coppa di Francia,32esimi di finale,20.12.2025,Lusitanos,Lilla,2° tempo,Ospite,Lilla,jNQd592l,2.0,,1.13,67%,11.0,4.0,1.0,3.0,85% (240/283),1.03,3.0,4.0,10.0,1.0,1.0,,37.0,0.0,0.0,7.0,47% (9/19),80% (111/139),17% (2/12),1.82,16.0,4.0,70% (7/10),28.0,7.0,2.0,0.0,0.0,2.0,0.65,0.65
Coppa di Francia,32esimi di finale,20.12.2025,Biesheim,Metz,Totale,Casa,Biesheim,x4GQoO5b,1.0,,1.26,43%,12.0,3.0,3.0,4.0,80% (287/360),0.47,8.0,1.0,7.0,5.0,0.0,,17.0,0.0,0.0,12.0,48% (23/48),64% (54/84),18% (3/17),0.62,21.0,10.0,88% (15/17),47.0,29.0,6.0,1.0,0.0,1.0,2.18,-0.82
Coppa di Francia,32esimi di finale,20.12.2025,Biesheim,Metz,Totale,Ospite,Metz,x4GQoO5b,2.0,,2.33,57%,14.0,4.0,4.0,4.0,81% (381/472),2.18,8.0,2.0,11.0,3.0,0.0,,21.0,0.0,0.0,10.0,44% (35/79),64% (85/133),33% (7/21),2.39,28.0,12.0,76% (16/21),40.0,23.0,6.0,1.0,0.0,3.0,0.47,0.47
Coppa di Francia,32esimi di finale,20.12.2025,Biesheim,Metz,1° tempo,Casa,Biesheim,x4GQoO5b,1.0,,0.48,38%,5.0,2.0,1.0,2.0,75% (110/146),0.23,3.0,0.0,3.0,2.0,0.0,,11.0,0.0,0.0,8.0,43% (10/23),61% (25/41),9% (1/11),0.19,12.0,6.0,80% (8/10),27.0,16.0,2.0,0.0,0.0,0.0,0.79,-0.21
Coppa di Francia,32esimi di finale,20.12.2025,Biesheim,Metz,1° tempo,Ospite,Metz,x4GQoO5b,2.0,,1.07,62%,6.0,1.0,2.0,2.0,81% (200/248),0.79,5.0,0.0,5.0,1.0,0.0,,9.0,0.0,0.0,6.0,39% (14/36),66% (44/67),30% (3/10),0.9,16.0,8.0,70% (7/10),23.0,14.0,3.0,1.0,0.0,2.0,0.23,0.23
Coppa di Francia,32esimi di finale,20.12.2025,Biesheim,Metz,2° tempo,Casa,Biesheim,x4GQoO5b,,,0.78,48%,7.0,1.0,2.0,2.0,83% (177/214),0.24,5.0,1.0,4.0,3.0,0.0,,6.0,0.0,0.0,4.0,52% (13/25),67% (29/43),33% (2/6),0.43,9.0,4.0,100% (7/7),20.0,13.0,4.0,1.0,0.0,1.0,1.39,-0.61
