Competizione,Turno,Data,Casa,Ospite,Periodo,Lato,Squadra,ID partita,Cartellini gialli,Cartellini rossi,Goal previsti (xG),Possesso palla,Tiri totali,Tiri in porta,Grandi occasioni,Calci d'angolo,Passaggi,xG sui Tiri in porta (xGOT),Tiri fuori,Tiri fermati,Tiri dall'area di rigore,Tiri da fuori area,Pali colpiti,Gol di testa,Palloni toccati nell'area avversaria,Passaggi filtranti riusciti,Fuorigioco,Punizioni,Passaggi lunghi,Passaggi offensivi,Cross,Assist previsti (xA),Rimesse Laterali,Falli,Tackles,Contrasti vinti,Respinte difensive,Palle intercettate,Errori che hanno portato al tiro,Errori che hanno portato al gol,Parate,xGot affrontati,Gol evitati
Coppa di Francia,7° turno,15.11.2025,Le Cellier Mauves,Laval,Totale,Casa,Le Cellier Mauves,fRZuW33L,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Le Cellier Mauves,Laval,Totale,Ospite,Laval,fRZuW33L,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Le Cellier Mauves,Laval,2° tempo,Casa,Le Cellier Mauves,fRZuW33L,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Le Cellier Mauves,Laval,2° tempo,Ospite,Laval,fRZuW33L,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Ivry,Le Mans,Totale,Casa,Ivry,KCeovnwh,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Ivry,Le Mans,Totale,Ospite,Le Mans,KCeovnwh,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Ivry,Le Mans,2° tempo,Casa,Ivry,KCeovnwh,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Ivry,Le Mans,2° tempo,Ospite,Le Mans,KCeovnwh,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Seyssinet,Aubagne,Totale,Casa,Seyssinet,AR9KQAfC,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Seyssinet,Aubagne,Totale,Ospite,Aubagne,AR9KQAfC,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Seyssinet,Aubagne,1° tempo,Casa,Seyssinet,AR9KQAfC,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Seyssinet,Aubagne,1° tempo,Ospite,Aubagne,AR9KQAfC,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Oissel,Quevilly Rouen,Totale,Casa,Oissel,8dvYsood,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Oissel,Quevilly Rouen,Totale,Ospite,Quevilly Rouen,8dvYsood,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Oissel,Quevilly Rouen,2° tempo,Casa,Oissel,8dvYsood,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Oissel,Quevilly Rouen,2° tempo,Ospite,Quevilly Rouen,8dvYsood,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Espoir,Eveil,Totale,Casa,Espoir,YHUGfVbS,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Espoir,Eveil,Totale,Ospite,Eveil,YHUGfVbS,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Espoir,Eveil,2° tempo,Casa,Espoir,YHUGfVbS,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Espoir,Eveil,2° tempo,Ospite,Eveil,YHUGfVbS,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Montmorillon,Beaucouze,Totale,Casa,Montmorillon,UoT32cAk,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Montmorillon,Beaucouze,Totale,Ospite,Beaucouze,UoT32cAk,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
