Competizione,Turno,Data,Casa,Ospite,Periodo,Minuto,Lato,Tipo evento,Giocatore,Punteggio dopo,ID partita
Coppa di Francia,7° turno,15.11.2025,Sarreguemines,Furiani Agliani,2 Tempo,67',Ospite,Cartellino Rosso,Vicart H.,,UaYKmTUN
Coppa di Francia,7° turno,15.11.2025,Sarreguemines,Furiani Agliani,2 Tempo,79',Casa,Gol,Schnepp L.,4-3,UaYKmTUN
Coppa di Francia,7° turno,15.11.2025,Sarreguemines,Furiani Agliani,2 Tempo,90+5',Casa,Gol,Djerrah K.,5-3,UaYKmTUN
Coppa di Francia,7° turno,15.11.2025,St. Colomban Locmine,Guingamp,1 Tempo,6',Casa,Rigore Assegnato,Didot M.,1-0,ns8jLnk3
Coppa di Francia,7° turno,15.11.2025,St. Colomban Locmine,Guingamp,1 Tempo,6',Casa,Rigore,Didot M.,1-0,ns8jLnk3
Coppa di Francia,7° turno,15.11.2025,St. Colomban Locmine,Guingamp,1 Tempo,29',Ospite,Gol,Hatchi J.,1-1,ns8jLnk3
Coppa di Francia,7° turno,15.11.2025,St. Colomban Locmine,Guingamp,2 Tempo,57',Ospite,Gol,Ahile T.,1-2,ns8jLnk3
Coppa di Francia,7° turno,15.11.2025,Villars-l'Isle,Sarre Union,2 Tempo,54',Ospite,Gol,Guerriero L.,0-1,pdvWh6M9
Coppa di Francia,7° turno,15.11.2025,Villars-l'Isle,Sarre Union,2 Tempo,69',Casa,Gol,Charon B.,1-1,pdvWh6M9
Coppa di Francia,7° turno,15.11.2025,Villars-l'Isle,Sarre Union,2 Tempo,82',Ospite,Cartellino Giallo,Ercker T.,,pdvWh6M9
Coppa di Francia,7° turno,15.11.2025,Villars-l'Isle,Sarre Union,2 Tempo,82',Ospite,Cartellino Rosso,Ercker T.,,pdvWh6M9
Coppa di Francia,7° turno,15.11.2025,Andrezieux,Hauts Lyonnais,1 Tempo,15',Casa,Cartellino Rosso,Abdelmoula M.,,WCWOuKVg
Coppa di Francia,7° turno,15.11.2025,Andrezieux,Hauts Lyonnais,2 Tempo,72',Casa,Gol,Ley F.,1-0,WCWOuKVg
Coppa di Francia,7° turno,15.11.2025,Andrezieux,Hauts Lyonnais,2 Tempo,76',Ospite,Gol,Moke Njedi A.,1-1,WCWOuKVg
Coppa di Francia,7° turno,15.11.2025,Les Bleuets,Concarneau,1 Tempo,15',Ospite,Gol,Goujon L.,0-1,UPa7H4lS
Coppa di Francia,7° turno,15.11.2025,Les Bleuets,Concarneau,1 Tempo,45',Ospite,Gol,Samoura A.,0-2,UPa7H4lS
Coppa di Francia,7° turno,15.11.2025,Les Bleuets,Concarneau,2 Tempo,68',Ospite,Gol,Le Bonniec M.,0-3,UPa7H4lS
Coppa di Francia,7° turno,15.11.2025,FC Rhone,Grasse,1 Tempo,5',Ospite,Gol,Chatelain K.,0-1,IN9n8y0f
Coppa di Francia,7° turno,15.11.2025,FC Rhone,Grasse,2 Tempo,64',Casa,Gol,Catil H.,1-1,IN9n8y0f
Coppa di Francia,7° turno,15.11.2025,FC Rhone,Grasse,Rigori,1,Ospite,Rigore Assegnato,Kebe M.,,IN9n8y0f
Coppa di Francia,7° turno,15.11.2025,FC Rhone,Grasse,Rigori,1,Ospite,Rigore,Kebe M.,,IN9n8y0f
Coppa di Francia,7° turno,15.11.2025,FC Rhone,Grasse,Rigori,1,Casa,Rigore Assegnato,,,IN9n8y0f
Coppa di Francia,7° turno,15.11.2025,FC Rhone,Grasse,Rigori,1,Casa,Rigore,,,IN9n8y0f
Coppa di Francia,7° turno,15.11.2025,FC Rhone,Grasse,Rigori,2,Ospite,Rigore Assegnato,,,IN9n8y0f
Coppa di Francia,7° turno,15.11.2025,FC Rhone,Grasse,Rigori,2,Ospite,Rigore,,,IN9n8y0f
Coppa di Francia,7° turno,15.11.2025,FC Rhone,Grasse,Rigori,2,Casa,Rigore Assegnato,,,IN9n8y0f
Coppa di Francia,7° turno,15.11.2025,FC Rhone,Grasse,Rigori,2,Casa,Rigore,,,IN9n8y0f
Coppa di Francia,7° turno,15.11.2025,FC Rhone,Grasse,Rigori,3,Ospite,Rigore Assegnato,Kone S.,,IN9n8y0f
Coppa di Francia,7° turno,15.11.2025,FC Rhone,Grasse,Rigori,3,Ospite,Rigore sbagliato,Kone S.,,IN9n8y0f
Coppa di Francia,7° turno,15.11.2025,FC Rhone,Grasse,Rigori,3,Casa,Rigore Assegnato,,,IN9n8y0f
Coppa di Francia,7° turno,15.11.2025,FC Rhone,Grasse,Rigori,3,Casa,Rigore,,,IN9n8y0f
Coppa di Francia,7° turno,15.11.2025,FC Rhone,Grasse,Rigori,4,Ospite,Rigore Assegnato,,,IN9n8y0f
Coppa di Francia,7° turno,15.11.2025,FC Rhone,Grasse,Rigori,4,Ospite,Rigore,,,IN9n8y0f
Coppa di Francia,7° turno,15.11.2025,FC Rhone,Grasse,Rigori,4,Casa,Rigore Assegnato,,,IN9n8y0f
Coppa di Francia,7° turno,15.11.2025,FC Rhone,Grasse,Rigori,4,Casa,Rigore,,,IN9n8y0f
Coppa di Francia,7° turno,15.11.2025,FC Rhone,Grasse,Rigori,5,Ospite,Rigore Assegnato,,,IN9n8y0f
