league,season,date,home_team,away_team,p_home_open_est,p_draw_open_est,p_away_open_est,p_over25_open_est,p_under25_open_est
serie_a,2021,2020-10-19,Verona,Genoa,,,,0.5452,0.4548
serie_a,2122,2022-01-10,Torino,Fiorentina,0.3205,0.2849,0.3947,0.4938,0.5062
