season,team,date,competition,home_away,opponent,metodo_nome,pagina
1819,Sevilla,2019-02-20,Europa League,H,Lazio,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Betis,2019-02-21,Europa League,H,Rennes,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Valencia,2019-02-21,Europa League,H,Celtic,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Villarreal,2019-02-21,Europa League,H,Sporting CP,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Sevilla,2019-03-07,Europa League,H,Slavia Prague,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Valencia,2019-03-07,Europa League,H,Krasnodar,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Villarreal,2019-03-07,Europa League,A,Zenit Saint Petersburg,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Sevilla,2019-03-14,Europa League,A,Slavia Prague,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Valencia,2019-03-14,Europa League,A,Krasnodar,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Villarreal,2019-03-14,Europa League,H,Zenit Saint Petersburg,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Valencia,2019-04-11,Europa League,A,Villarreal,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Villarreal,2019-04-11,Europa League,H,Valencia,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Valencia,2019-04-18,Europa League,H,Villarreal,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Villarreal,2019-04-18,Europa League,A,Valencia,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Valencia,2019-05-02,Europa League,A,Arsenal,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Valencia,2019-05-09,Europa League,H,Arsenal,canonical_team,2018–19 UEFA Europa League knockout phase
1920,Espanol,2019-09-19,Europa League,H,Ferencváros,canonical_team,2019–20 UEFA Europa League group stage
1920,Getafe,2019-09-19,Europa League,H,Trabzonspor,canonical_team,2019–20 UEFA Europa League group stage
1920,Sevilla,2019-09-19,Europa League,A,Qarabağ,canonical_team,2019–20 UEFA Europa League group stage
1920,Espanol,2019-10-03,Europa League,A,CSKA Moscow,canonical_team,2019–20 UEFA Europa League group stage
1920,Getafe,2019-10-03,Europa League,A,Krasnodar,canonical_team,2019–20 UEFA Europa League group stage
1920,Sevilla,2019-10-03,Europa League,H,APOEL,canonical_team,2019–20 UEFA Europa League group stage
1920,Espanol,2019-10-24,Europa League,A,Ludogorets Razgrad,canonical_team,2019–20 UEFA Europa League group stage
1920,Getafe,2019-10-24,Europa League,H,Basel,canonical_team,2019–20 UEFA Europa League group stage
1920,Sevilla,2019-10-24,Europa League,H,F91 Dudelange,canonical_team,2019–20 UEFA Europa League group stage
1920,Espanol,2019-11-07,Europa League,H,Ludogorets Razgrad,canonical_team,2019–20 UEFA Europa League group stage
1920,Getafe,2019-11-07,Europa League,A,Basel,canonical_team,2019–20 UEFA Europa League group stage
1920,Sevilla,2019-11-07,Europa League,A,F91 Dudelange,canonical_team,2019–20 UEFA Europa League group stage
1920,Espanol,2019-11-28,Europa League,A,Ferencváros,canonical_team,2019–20 UEFA Europa League group stage
1920,Getafe,2019-11-28,Europa League,A,Trabzonspor,canonical_team,2019–20 UEFA Europa League group stage
1920,Sevilla,2019-11-28,Europa League,H,Qarabağ,canonical_team,2019–20 UEFA Europa League group stage
1920,Espanol,2019-12-12,Europa League,H,CSKA Moscow,canonical_team,2019–20 UEFA Europa League group stage
1920,Getafe,2019-12-12,Europa League,H,Krasnodar,canonical_team,2019–20 UEFA Europa League group stage
1920,Sevilla,2019-12-12,Europa League,A,APOEL,canonical_team,2019–20 UEFA Europa League group stage
1920,Espanol,2020-02-20,Europa League,A,Wolverhampton Wanderers,canonical_team,2019–20 UEFA Europa League knockout phase
1920,Getafe,2020-02-20,Europa League,H,Ajax,canonical_team,2019–20 UEFA Europa League knockout phase
1920,Sevilla,2020-02-20,Europa League,A,CFR Cluj,canonical_team,2019–20 UEFA Europa League knockout phase
1920,Espanol,2020-02-27,Europa League,H,Wolverhampton Wanderers,canonical_team,2019–20 UEFA Europa League knockout phase
1920,Getafe,2020-02-27,Europa League,A,Ajax,canonical_team,2019–20 UEFA Europa League knockout phase
1920,Sevilla,2020-02-27,Europa League,H,CFR Cluj,canonical_team,2019–20 UEFA Europa League knockout phase
1920,Getafe,2020-08-05,Europa League,A,Inter Milan,canonical_team,2019–20 UEFA Europa League knockout phase
1920,Sevilla,2020-08-06,Europa League,H,Roma,canonical_team,2019–20 UEFA Europa League knockout phase
1920,Sevilla,2020-08-11,Europa League,A,Wolverhampton Wanderers,canonical_team,2019–20 UEFA Europa League knockout phase
2021,Sevilla,2020-08-16,Europa League,H,Manchester United,canonical_team,2019–20 UEFA Europa League knockout phase
2021,Sevilla,2020-08-21,Europa League,H,Inter Milan,canonical_team,2020 UEFA Europa League final
2526,Betis,2025-09-24,Europa League,H,Nottingham Forest,canonical_team,2025–26 UEFA Europa League league phase
2526,Celta,2025-09-25,Europa League,A,VfB Stuttgart,canonical_team,2025–26 UEFA Europa League league phase
2526,Betis,2025-10-02,Europa League,A,Ludogorets Razgrad,canonical_team,2025–26 UEFA Europa League league phase
2526,Celta,2025-10-02,Europa League,H,PAOK,canonical_team,2025–26 UEFA Europa League league phase
2526,Betis,2025-10-23,Europa League,A,Genk,canonical_team,2025–26 UEFA Europa League league phase
2526,Celta,2025-10-23,Europa League,H,Nice,canonical_team,2025–26 UEFA Europa League league phase
2526,Betis,2025-11-06,Europa League,H,Lyon,canonical_team,2025–26 UEFA Europa League league phase
2526,Celta,2025-11-06,Europa League,A,Dinamo Zagreb,canonical_team,2025–26 UEFA Europa League league phase
2526,Betis,2025-11-27,Europa League,H,Utrecht,canonical_team,2025–26 UEFA Europa League league phase
2526,Celta,2025-11-27,Europa League,A,Ludogorets Razgrad,canonical_team,2025–26 UEFA Europa League league phase
2526,Betis,2025-12-11,Europa League,A,Dinamo Zagreb,canonical_team,2025–26 UEFA Europa League league phase
2526,Celta,2025-12-11,Europa League,H,Bologna,canonical_team,2025–26 UEFA Europa League league phase
2526,Betis,2026-01-22,Europa League,A,PAOK,canonical_team,2025–26 UEFA Europa League league phase
2526,Celta,2026-01-22,Europa League,H,Lille,canonical_team,2025–26 UEFA Europa League league phase
2526,Betis,2026-01-29,Europa League,H,Feyenoord,canonical_team,2025–26 UEFA Europa League league phase
2526,Celta,2026-01-29,Europa League,A,Red Star Belgrade,canonical_team,2025–26 UEFA Europa League league phase
2526,Celta,2026-02-19,Europa League,A,PAOK,canonical_team,2025–26 UEFA Europa League knockout phase
2526,Celta,2026-02-26,Europa League,H,PAOK,canonical_team,2025–26 UEFA Europa League knockout phase
2526,Betis,2026-03-12,Europa League,A,Panathinaikos,canonical_team,2025–26 UEFA Europa League knockout phase
2526,Celta,2026-03-12,Europa League,H,Lyon,canonical_team,2025–26 UEFA Europa League knockout phase
2526,Betis,2026-03-19,Europa League,H,Panathinaikos,canonical_team,2025–26 UEFA Europa League knockout phase
2526,Celta,2026-03-19,Europa League,A,Lyon,canonical_team,2025–26 UEFA Europa League knockout phase
2526,Betis,2026-04-08,Europa League,A,Braga,canonical_team,2025–26 UEFA Europa League knockout phase
2526,Celta,2026-04-09,Europa League,A,SC Freiburg,canonical_team,2025–26 UEFA Europa League knockout phase
2526,Betis,2026-04-16,Europa League,H,Braga,canonical_team,2025–26 UEFA Europa League knockout phase
2526,Celta,2026-04-16,Europa League,H,SC Freiburg,canonical_team,2025–26 UEFA Europa League knockout phase
