season,team,date,competition,home_away,opponent,metodo_nome,pagina
2425,Inter,2025-06-17,FIFA Club World Cup,A,Monterrey,canonical_team,2025 FIFA Club World Cup Group E
2425,Juventus,2025-06-18,FIFA Club World Cup,A,Al Ain,canonical_team,2025 FIFA Club World Cup Group G
2425,Inter,2025-06-21,FIFA Club World Cup,H,Urawa Red Diamonds,canonical_team,2025 FIFA Club World Cup Group E
2425,Juventus,2025-06-22,FIFA Club World Cup,H,Wydad AC,canonical_team,2025 FIFA Club World Cup Group G
2425,Inter,2025-06-25,FIFA Club World Cup,H,River Plate,canonical_team,2025 FIFA Club World Cup Group E
2425,Juventus,2025-06-26,FIFA Club World Cup,H,Manchester City,canonical_team,2025 FIFA Club World Cup Group G
2425,Inter,2025-06-30,FIFA Club World Cup,H,Fluminense,canonical_team,2025 FIFA Club World Cup
2425,Juventus,2025-07-01,FIFA Club World Cup,A,Real Madrid,canonical_team,2025 FIFA Club World Cup
