season,team,date,competition,home_away,opponent,metodo_nome,pagina
2021,Bayern Munich,2020-09-24,UEFA Super Cup,H,Sevilla,canonical_team,2020 UEFA Super Cup
2223,Ein Frankfurt,2022-08-10,UEFA Super Cup,A,Real Madrid,canonical_team,2022 UEFA Super Cup
