date,season,league,home_team,away_team,home_goals,away_goals,result,home_sot,away_sot,odds_home,odds_draw,odds_away,odds_over25,odds_under25,home_xg,away_xg,home_npxg,home_ppda,home_deep,away_npxg,away_ppda,away_deep,home_squad_value,away_squad_value,home_absent_count_est,home_absent_value_est,away_absent_count_est,away_absent_value_est,odds_home_open,odds_draw_open,odds_away_open,odds_over25_open,odds_under25_open,home_rest_days_full,away_rest_days_full,home_midweek_europe,away_midweek_europe
2017-08-04,1718,ligue_1,Monaco,Toulouse,3,2,H,7,3,1.29,5.9,12.75,,,2.14636,0.248798,2.14636,2.571428571428572,4.0,0.248798,12.6,3.0,293750000.0,78200000.0,4.0,10500000.0,1.0,6000000.0,1.32,5.72,11.12,1.63,2.29,14.0,14.0,0,0
2017-08-05,1718,ligue_1,Lyon,Strasbourg,4,0,H,7,1,1.34,5.55,10.35,,,1.72783,0.292445,0.967734,5.916666666666667,8.0,0.292445,16.95,4.0,129750000.0,20000000.0,1.0,0.0,0.0,0.0,1.4,5.19,8.99,1.54,2.43,14.0,14.0,0,0
2017-08-05,1718,ligue_1,Metz,Guingamp,1,3,A,4,5,3.01,3.35,2.54,,,0.557371,1.45737,0.557371,12.047619047619047,2.0,0.697272,15.61904761904762,5.0,40400000.0,41850000.0,1.0,600000.0,0.0,0.0,2.95,3.2,2.71,2.14,1.7,14.0,14.0,0,0
2017-08-05,1718,ligue_1,Montpellier,Caen,1,0,H,2,1,1.83,3.69,4.92,,,1.46179,0.31924,1.46179,10.956521739130435,4.0,0.31924,11.714285714285714,2.0,34400000.0,35150000.0,1.0,750000.0,0.0,0.0,1.88,3.54,4.74,2.07,1.74,14.0,14.0,0,0
2017-08-05,1718,ligue_1,Paris SG,Amiens,2,0,H,5,1,1.09,13.0,36.5,,,2.25264,0.190301,2.25264,6.741935483870968,19.0,0.190301,19.0,1.0,563000000.0,26850000.0,0.0,0.0,0.0,0.0,1.13,10.7,26.0,1.35,3.11,14.0,14.0,0,0
2017-08-05,1718,ligue_1,St Etienne,Nice,1,0,H,3,2,2.46,3.23,3.29,,,0.943684,0.593773,0.943684,14.392857142857142,6.0,0.593773,9.433333333333334,4.0,99650000.0,128350000.0,2.0,8000000.0,3.0,21500000.0,2.28,3.17,3.69,2.31,1.6,14.0,14.0,0,0
2017-08-05,1718,ligue_1,Troyes,Rennes,1,1,D,4,4,3.08,3.16,2.6,,,1.33762,1.87176,1.33762,14.523809523809524,3.0,1.87176,5.518518518518518,8.0,24900000.0,54900000.0,0.0,0.0,0.0,0.0,2.8,3.16,2.9,2.3,1.6,14.0,14.0,0,0
2017-08-06,1718,ligue_1,Angers,Bordeaux,2,2,D,5,4,2.5,3.14,3.31,,,1.11146,1.77916,1.11146,11.96,3.0,1.77916,8.392857142857142,8.0,42150000.0,95350000.0,1.0,2000000.0,0.0,0.0,2.63,3.06,3.14,2.42,1.54,14.0,14.0,0,0
2017-08-06,1718,ligue_1,Lille,Nantes,3,0,H,5,4,2.15,3.27,4.01,,,1.90958,1.0773,1.14948,4.441176470588236,9.0,1.0773,8.416666666666666,4.0,43000000.0,50550000.0,2.0,2750000.0,2.0,3500000.0,2.09,3.29,4.2,2.36,1.57,14.0,14.0,0,0
2017-08-06,1718,ligue_1,Marseille,Dijon,3,0,H,5,1,1.31,5.8,11.5,,,2.41348,0.594982,2.41348,16.785714285714285,6.0,0.594982,10.678571428571429,3.0,162000000.0,33500000.0,1.0,12000000.0,1.0,2000000.0,1.4,5.19,8.88,1.65,2.2,14.0,14.0,0,0
2017-08-11,1718,ligue_1,Nice,Troyes,1,2,A,6,4,1.52,4.51,7.06,,,1.92396,0.432943,1.16387,7.045454545454546,1.0,0.432943,26.529411764705884,7.0,128350000.0,24900000.0,3.0,21500000.0,0.0,0.0,1.53,4.5,6.95,1.84,1.97,6.0,6.0,0,0
2017-08-11,1718,ligue_1,Rennes,Lyon,1,2,A,5,8,3.64,3.63,2.12,,,0.712298,1.53095,0.712298,9.346153846153848,1.0,1.53095,9.708333333333334,4.0,54900000.0,129750000.0,0.0,0.0,1.0,0.0,3.69,3.68,2.09,1.78,2.04,6.0,6.0,0,0
2017-08-12,1718,ligue_1,Amiens,Angers,0,2,A,1,6,3.31,3.14,2.51,,,0.705642,1.47376,0.705642,8.9,6.0,1.47376,7.390243902439025,7.0,26850000.0,42150000.0,0.0,0.0,1.0,2000000.0,3.04,3.12,2.66,2.46,1.53,7.0,6.0,0,0
2017-08-12,1718,ligue_1,Bordeaux,Metz,2,0,H,5,1,1.44,5.05,7.76,,,2.14545,0.525091,2.14545,9.0,7.0,0.525091,15.333333333333334,7.0,95350000.0,40400000.0,0.0,0.0,0.0,0.0,1.46,4.6,8.15,1.7,2.13,6.0,7.0,0,0
2017-08-12,1718,ligue_1,Caen,St Etienne,0,1,A,4,4,3.01,3.24,2.64,,,0.75531,1.14769,0.75531,8.148148148148149,1.0,1.14769,6.92,2.0,35150000.0,99650000.0,0.0,0.0,3.0,10500000.0,3.08,3.08,2.66,2.42,1.54,7.0,7.0,0,0
2017-08-12,1718,ligue_1,Nantes,Marseille,0,1,A,3,10,3.17,3.3,2.49,,,1.29602,1.91985,1.29602,16.055555555555557,6.0,1.91985,6.333333333333333,4.0,50550000.0,162000000.0,3.0,6500000.0,1.0,12000000.0,3.46,3.43,2.25,2.02,1.79,6.0,6.0,0,0
2017-08-12,1718,ligue_1,Toulouse,Montpellier,1,0,H,4,1,2.38,3.19,3.5,,,1.72539,0.790815,0.965298,6.2,3.0,0.790815,8.142857142857142,3.0,78200000.0,34400000.0,1.0,6000000.0,1.0,750000.0,2.28,3.13,3.74,2.22,1.65,8.0,7.0,0,0
2017-08-13,1718,ligue_1,Dijon,Monaco,1,4,A,3,6,7.05,4.67,1.51,,,1.15256,1.82196,1.15256,11.291666666666666,1.0,1.82196,8.08,5.0,33500000.0,293750000.0,1.0,2000000.0,4.0,10500000.0,6.62,4.4,1.55,1.6,2.3,7.0,9.0,0,0
2017-08-13,1718,ligue_1,Guingamp,Paris SG,0,3,A,0,8,14.55,6.55,1.25,,,0.0609477,2.51121,0.0609477,31.466666666666665,1.0,2.51121,5.956521739130435,17.0,41850000.0,563000000.0,0.0,0.0,0.0,0.0,12.75,6.0,1.28,1.54,2.43,8.0,8.0,0,0
2017-08-13,1718,ligue_1,Strasbourg,Lille,3,0,H,9,2,3.7,3.59,2.12,,,3.20079,1.11214,2.44069,6.571428571428571,6.0,1.11214,6.111111111111111,3.0,20000000.0,43000000.0,0.0,0.0,2.0,2750000.0,3.65,3.44,2.17,2.08,1.74,8.0,7.0,0,0
2017-08-18,1718,ligue_1,Metz,Monaco,0,1,A,5,5,9.21,5.73,1.36,,,0.799504,1.93555,0.799504,9.77777777777778,5.0,1.93555,6.285714285714286,8.0,40400000.0,293750000.0,0.0,0.0,3.0,8500000.0,10.3,5.93,1.33,1.45,2.7,6.0,5.0,0,0
2017-08-19,1718,ligue_1,Montpellier,Strasbourg,1,1,D,5,1,2.03,3.36,4.33,,,1.91128,0.639177,1.91128,9.482758620689657,6.0,0.639177,8.393939393939394,6.0,34400000.0,20000000.0,1.0,750000.0,1.0,800000.0,1.86,3.74,4.51,1.86,1.94,7.0,6.0,0,0
2017-08-19,1718,ligue_1,Nice,Guingamp,2,0,H,8,1,1.86,3.64,4.82,,,1.41445,0.455777,1.41445,10.214285714285714,9.0,0.455777,27.375,5.0,128350000.0,41850000.0,2.0,11500000.0,0.0,0.0,2.07,3.22,4.3,2.0,1.81,8.0,6.0,0,0
